name,postal,geometry,ref_lon,ref_lat
Hainan,HA,"c(108.75, 18.75)",108.75,18.75
Hainan,HA,"c(109.25, 18.75)",109.25,18.75
Hainan,HA,"c(109.75, 18.75)",109.75,18.75
Hainan,HA,"c(110.25, 18.75)",110.25,18.75
Hainan,HA,"c(108.75, 19.25)",108.75,19.25
Hainan,HA,"c(109.25, 19.25)",109.25,19.25
Hainan,HA,"c(109.75, 19.25)",109.75,19.25
Hainan,HA,"c(110.25, 19.25)",110.25,19.25
Hainan,HA,"c(109.75, 19.75)",109.75,19.75
Hainan,HA,"c(110.25, 19.75)",110.25,19.75
Hainan,HA,"c(110.75, 19.75)",110.75,19.75
Guangdong,GD,"c(110.25, 20.75)",110.25,20.75
Yunnan,YN,"c(101.25, 21.25)",101.25,21.25
Yunnan,YN,"c(101.75, 21.25)",101.75,21.25
Guangdong,GD,"c(110.25, 21.25)",110.25,21.25
Yunnan,YN,"c(100.25, 21.75)",100.25,21.75
Yunnan,YN,"c(100.75, 21.75)",100.75,21.75
Yunnan,YN,"c(101.25, 21.75)",101.25,21.75
Guangxi,GX,"c(107.25, 21.75)",107.25,21.75
Guangxi,GX,"c(107.75, 21.75)",107.75,21.75
Guangxi,GX,"c(108.25, 21.75)",108.25,21.75
Guangxi,GX,"c(108.75, 21.75)",108.75,21.75
Guangxi,GX,"c(109.25, 21.75)",109.25,21.75
Guangxi,GX,"c(109.75, 21.75)",109.75,21.75
Guangdong,GD,"c(110.25, 21.75)",110.25,21.75
Guangdong,GD,"c(110.75, 21.75)",110.75,21.75
Guangdong,GD,"c(111.25, 21.75)",111.25,21.75
Guangdong,GD,"c(112.25, 21.75)",112.25,21.75
Yunnan,YN,"c(99.25, 22.25)",99.25,22.25
Yunnan,YN,"c(99.75, 22.25)",99.75,22.25
Yunnan,YN,"c(100.25, 22.25)",100.25,22.25
Yunnan,YN,"c(100.75, 22.25)",100.75,22.25
Yunnan,YN,"c(101.25, 22.25)",101.25,22.25
Guangxi,GX,"c(106.75, 22.25)",106.75,22.25
Guangxi,GX,"c(107.25, 22.25)",107.25,22.25
Guangxi,GX,"c(107.75, 22.25)",107.75,22.25
Guangxi,GX,"c(108.25, 22.25)",108.25,22.25
Guangxi,GX,"c(108.75, 22.25)",108.75,22.25
Guangxi,GX,"c(109.25, 22.25)",109.25,22.25
Guangxi,GX,"c(109.75, 22.25)",109.75,22.25
Guangxi,GX,"c(110.25, 22.25)",110.25,22.25
Guangdong,GD,"c(110.75, 22.25)",110.75,22.25
Guangdong,GD,"c(111.25, 22.25)",111.25,22.25
Guangdong,GD,"c(111.75, 22.25)",111.75,22.25
Guangdong,GD,"c(112.25, 22.25)",112.25,22.25
Guangdong,GD,"c(112.75, 22.25)",112.75,22.25
Guangdong,GD,"c(113.25, 22.25)",113.25,22.25
Yunnan,YN,"c(99.75, 22.75)",99.75,22.75
Yunnan,YN,"c(100.25, 22.75)",100.25,22.75
Yunnan,YN,"c(100.75, 22.75)",100.75,22.75
Yunnan,YN,"c(101.25, 22.75)",101.25,22.75
Yunnan,YN,"c(101.75, 22.75)",101.75,22.75
Yunnan,YN,"c(102.25, 22.75)",102.25,22.75
Yunnan,YN,"c(102.75, 22.75)",102.75,22.75
Yunnan,YN,"c(103.25, 22.75)",103.25,22.75
Yunnan,YN,"c(103.75, 22.75)",103.75,22.75
Yunnan,YN,"c(104.25, 22.75)",104.25,22.75
Guangxi,GX,"c(107.25, 22.75)",107.25,22.75
Guangxi,GX,"c(107.75, 22.75)",107.75,22.75
Guangxi,GX,"c(108.25, 22.75)",108.25,22.75
Guangxi,GX,"c(108.75, 22.75)",108.75,22.75
Guangxi,GX,"c(109.25, 22.75)",109.25,22.75
Guangxi,GX,"c(109.75, 22.75)",109.75,22.75
Guangxi,GX,"c(110.25, 22.75)",110.25,22.75
Guangxi,GX,"c(110.75, 22.75)",110.75,22.75
Guangdong,GD,"c(111.25, 22.75)",111.25,22.75
Guangdong,GD,"c(111.75, 22.75)",111.75,22.75
Guangdong,GD,"c(112.25, 22.75)",112.25,22.75
Guangdong,GD,"c(112.75, 22.75)",112.75,22.75
Guangdong,GD,"c(113.25, 22.75)",113.25,22.75
