Year,half_month,Fujian,Guangdong,Guangxi,Hainan,Yunnan,Zhejiang,Shanghai,Chongqing,Jiangsu,Anhui,Jiangxi,Henan,Hubei,Hunan,Sichuan,Hebei,Shanxi,Tianjin,Shandong,Shaanxi,Liaoning
2016,101,,,,,0.38095238,,,,,,,,,,,,,,,,
2016,116,,,,,,,,,,,,,,,,,,,,,
2016,201,,,,,0.47619048,,,,,,,,,,,,,,,,
2016,216,,,,,0.95238095,,,,,,,,,,,,,,,,
2016,301,0.447761194,1.953846154,1.861702128,12.75862069,1.23809524,,,,,,,,,,,,,,,,
2016,316,2.736318408,2.261538462,5.744680851,10.86206897,0.47619048,,,,,,,,,,,,,,,,
2016,401,3.631840796,2.615384615,6.515957447,15.25862069,1.19047619,5.97972973,,,,,,,,,,,,,,,
2016,416,4.626865672,3.553846154,4.015957447,20.51724138,1.0952381,9.62837838,,,,,,,,,,,,,,,
2016,501,5.870646766,3.984615385,4.946808511,14.56896552,1.9047619,14.4932432,2.62,6.25,2.4,3.82,14.1,10.1,10.9,17.9,4.9,,,,,,
2016,516,9.353233831,4.092307692,7.287234043,12.93103448,3.28571429,17.2297297,2.62,6.25,2.4,3.82,14.1,10.1,10.9,17.9,4.9,,,,,,
2016,601,12.43781095,3.738461538,5.505319149,18.87931034,5.80952381,18.9527027,4.95,11.1,4.86,9.06,23.6,21.39,13.42,17.9,7.6,8.591885442,1.041162228,2.02020202,2.776349614,23.15294118,0.56779661
2016,616,15.72139303,4.430769231,7.792553191,22.84482759,11.2857143,16.6216216,4.95,11.1,4.86,9.06,23.6,21.39,13.42,17.9,7.6,8.591885442,1.041162228,2.02020202,2.776349614,23.15294118,0.56779661
2016,701,10.84577114,3.892307692,5.265957447,15.17241379,11.1428571,23.2094595,6.18,10.34,5.99,14.6,12.48,31.88,19.83,9.65,8.33,10.97852029,6.295399516,3.787878788,2.159383033,20.8,2.262711864
2016,716,11.84079602,3.307692308,5.984042553,14.9137931,10.4285714,18.9527027,6.18,10.34,5.99,14.6,12.48,31.88,19.83,9.65,8.33,10.97852029,6.295399516,3.787878788,2.159383033,20.8,2.262711864
2016,801,9.800995025,2.692307692,5.45212766,11.81034483,10.5238095,24.8310811,5.49,9.8,7.13,11.96,12.67,32.4,13.76,10.95,13.36,40.57279236,8.232445521,3.194444444,18.66323907,36.32941176,3.076271186
2016,816,11.24378109,2.692307692,5.079787234,17.24137931,11.5238095,18.6486486,5.49,9.8,7.13,11.96,12.67,32.4,13.76,10.95,13.36,40.57279236,8.232445521,3.194444444,18.66323907,36.32941176,3.076271186
2016,901,11.49253731,3.553846154,4.574468085,23.01724138,10.6666667,17.7364865,4.66,7.73,4.78,9.57,8.76,32.07,8.64,10.95,7.56,24.10501193,5.811138015,3.194444444,8.483290488,13.17647059,2.491525424
2016,916,14.37810945,2.876923077,4.521276596,14.9137931,8.66666667,18.5472973,4.66,7.73,4.78,9.57,8.76,32.07,8.64,10.95,7.56,24.10501193,5.811138015,3.194444444,8.483290488,13.17647059,2.491525424
2016,1001,11.04477612,2.692307692,3.138297872,14.22413793,9.52380952,15.8108108,3.23,5.95,3.99,5.7,15.33,14.41,7.22,3.44,8.98,,,,,,
2016,1016,10.09950249,2.630769231,3.324468085,23.53448276,3.95238095,14.4932432,3.23,5.95,3.99,5.7,15.33,14.41,7.22,3.44,8.98,,,,,,
2016,1101,5.970149254,2.215384615,2.10106383,15.94827586,4,,,,,,,,,,,,,,,,
2016,1116,5.323383085,2.553846154,2.074468085,17.75862069,2.04761905,,,,,,,,,,,,,,,,
2016,1201,,,,,,,,,,,,,,,,,,,,,
2016,1216,,,,,,,,,,,,,,,,,,,,,
2017,101,,,,,1.04761905,,,,,,,,,,,,,,,,
2017,116,,,,,1.42857143,,,,,,,,,,,,,,,,
2017,201,,,,,1.66666667,,,,,,,,,,,,,,,,
2017,216,,,,,0.66666667,,,,,,,,,,,,,,,,
2017,301,3.184079602,2.184615385,0.638297872,9.74137931,0.76190476,,,,,,,,,,,,,,,,
2017,316,3.28358209,2.569230769,5.079787234,9.051724138,0.85714286,,,,,,,,,,,,,,,,
2017,401,5.323383085,2.953846154,1.968085106,9.051724138,1.19047619,5.371621622,,,,,,,,,,,,,,,
2017,416,10.24875622,3.353846154,2.606382979,9.913793103,2,11.65540541,,,,,,,,,,,,,,,
2017,501,10.99502488,2.953846154,3.35106383,11.03448276,1.66666667,16.52027027,4.51,5.99,1.27,5.11,0.95,14.7,7.11,6.9,10.15,,,,,,
2017,516,14.37810945,3,4.760638298,11.29310345,2.14285714,17.53378378,4.51,5.99,1.27,5.11,0.95,14.7,7.11,6.9,10.15,,,,,,
2017,601,12.3880597,2.8,4.095744681,12.06896552,3.28571429,18.85135135,5.65,9.45,3.43,8.31,15.9,17.36,10.83,31.2,15.39,6.443914081,0.605326877,1.931818182,4.781491003,5.270588235,2.5
2017,616,16.06965174,3.215384615,5.079787234,14.05172414,4.19047619,22.90540541,5.65,9.45,3.43,8.31,15.9,17.36,10.83,31.2,15.39,6.443914081,0.605326877,1.931818182,4.781491003,5.270588235,2.5
2017,701,12.73631841,3.523076923,5.265957447,12.5,5.80952381,23.00675676,7.58,12.33,4.66,14.99,7.9,26.22,13.54,12.2,18.23,11.33651551,3.753026634,3.51010101,10.64267352,2.917647059,2.144067797
2017,716,8.656716418,3.261538462,5.39893617,14.56896552,6.19047619,16.11486486,7.58,12.33,4.66,14.99,7.9,26.22,13.54,12.2,18.23,11.33651551,3.753026634,3.51010101,10.64267352,2.917647059,2.144067797
2017,801,10.69651741,2.846153846,5.664893617,12.67241379,5.66666667,17.22972973,7.76,9.45,4.74,18.14,9.62,31.91,9.85,4.14,12.62,22.3150358,3.87409201,2.891414141,13.36760925,2.164705882,3.06779661
2017,816,8.55721393,2.846153846,4.680851064,15.60344828,5.33333333,16.62162162,7.76,9.45,4.74,18.14,9.62,31.91,9.85,4.14,12.62,22.3150358,3.87409201,2.891414141,13.36760925,2.164705882,3.06779661
2017,901,10.19900498,3.353846154,5,14.13793103,5.42857143,20.06756757,6.79,8.54,5,16.69,8.89,23.62,17.98,12.61,6.87,13.8424821,4.939467312,3.825757576,12.03084833,2.164705882,1.957627119
2017,916,13.08457711,2.8,6.409574468,13.18965517,5.28571429,19.86486486,6.79,8.54,5,16.69,8.89,23.62,17.98,12.61,6.87,13.8424821,4.939467312,3.825757576,12.03084833,2.164705882,1.957627119
2017,1001,6.31840796,2.753846154,4.015957447,19.56896552,6.28571429,15.91216216,4.96,5.09,1.94,6.85,4.63,13.09,5.87,5.55,3.26,,,,,,
2017,1016,5.074626866,2.753846154,2.95212766,14.56896552,4.38095238,13.07432432,4.96,5.09,1.94,6.85,4.63,13.09,5.87,5.55,3.26,,,,,,
2017,1101,3.631840796,1.907692308,1.728723404,13.18965517,3.80952381,6.891891892,,,,,,,,,,,,,,,
2017,1116,4.427860697,1.907692308,1.329787234,13.87931034,1.71428571,4.155405405,,,,,,,,,,,,,,,
2017,1201,,,,,,,,,,,,,,,,,,,,,
2017,1216,,,,,,,,,,,,,,,,,,,,,
2018,101,,,,9.310344828,,,,,,,,,,,,,,,,,
2018,116,,,,8.534482759,,,,,,,,,,,,,,,,,
2018,201,,,,8.017241379,,,,,,,,,,,,,,,,,
2018,216,,,,7.068965517,,,,,,,,,,,,,,,,,
2018,301,,1.769230769,2.446808511,7.24137931,0,,,,,,,,,,,,,,,,
2018,316,,2.230769231,3.271276596,8.189655172,0.33333333,,,,,,,,,,,,,,,,
2018,401,5.621890547,2.307692308,1.462765957,9.913793103,1.80952381,7.398648649,,,,,,,,,,,,,,,
2018,416,3.930348259,2.446153846,3.085106383,11.12068966,0.71428571,9.831081081,,,,,,,,,,,,,,,
2018,501,7.064676617,2.553846154,4.521276596,14.74137931,0.85714286,17.33108108,2.92,7.44,3.07,7.48,17.5,10.5,7.06,13.93,12.24,,,,,,
2018,516,8.308457711,1.969230769,4.60106383,11.98275862,2.14285714,18.5472973,2.92,7.44,3.07,7.48,17.5,10.5,7.06,13.93,12.24,,,,,,
2018,601,15.47263682,2.507692308,5.984042553,16.81034483,2.47619048,19.56081081,6.01,12.3,3.45,11.27,13.56,16.06,7.83,13.83,11.95,17.66109785,1.041162228,1.25,5.244215938,3.011764706,0.101694915
2018,616,14.82587065,3.292307692,6.223404255,13.18965517,4.76190476,20.57432432,6.01,12.3,3.45,11.27,13.56,16.06,7.83,13.83,11.95,17.66109785,1.041162228,1.25,5.244215938,3.011764706,0.101694915
2018,701,15.72139303,3.2,5.239361702,10.68965517,7.57142857,18.14189189,7.32,11.64,3.07,14.24,11,24.9,8.22,13.09,15.96,18.01909308,5.060532688,2.386363636,11.31105398,14.49411765,1.008474576
2018,716,10.74626866,3.153846154,6.382978723,22.15517241,6.71428571,17.83783784,7.32,11.64,3.07,14.24,11,24.9,8.22,13.09,15.96,18.01909308,5.060532688,2.386363636,11.31105398,14.49411765,1.008474576
2018,801,9.353233831,3.046153846,6.303191489,18.44827586,8.9047619,16.82432432,7.12,9.4,3.64,14.75,7.55,23.01,5.88,13.23,14.02,23.03102625,6.634382567,2.878787879,14.70437018,10.54117647,2.516949153
2018,816,11.14427861,3.630769231,5.824468085,21.20689655,8.80952381,20.47297297,7.12,9.4,3.64,14.75,7.55,23.01,5.88,13.23,14.02,23.03102625,6.634382567,2.878787879,14.70437018,10.54117647,2.516949153
2018,901,14.47761194,4.061538462,4.760638298,16.98275862,8.19047619,20.37162162,6.09,8.85,2.89,11.67,8,13.49,7.54,11.53,7.75,19.09307876,4.01937046,0.808080808,9.460154242,11.10588235,1.406779661
2018,916,17.81094527,3.092307692,5.186170213,15.60344828,6.9047619,20.57432432,6.09,8.85,2.89,11.67,8,13.49,7.54,11.53,7.75,19.09307876,4.01937046,0.808080808,9.460154242,11.10588235,1.406779661
2018,1001,7.910447761,2.723076923,2.978723404,14.39655172,5.19047619,16.41891892,2.47,5.05,1.21,6.63,6.7,9.5,3.53,9.78,3.78,,,,,,
2018,1016,8.656716418,2.984615385,3.35106383,15.25862069,4.71428571,10.74324324,2.47,5.05,1.21,6.63,6.7,9.5,3.53,9.78,3.78,,,,,,
2018,1101,6.766169154,1.923076923,2.367021277,11.29310345,1.80952381,6.587837838,,,,,,,,,,,,,,,
2018,1116,6.119402985,1.953846154,1.888297872,7.931034483,1.52380952,4.966216216,,,,,,,,,,,,,,,
2018,1201,,,,,,,,,,,,,,,,,,,,,
2018,1216,,,,,,,,,,,,,,,,,,,,,
2019,101,,,,8.793103448,,,,,,,,,,,,,,,,,
2019,116,,,,9.224137931,1.04761905,,,,,,,,,,,,,,,,
2019,201,,,,7.672413793,0.61904762,,,,,,,,,,,,,,,,
2019,216,,,,6.551724138,0.66666667,,,,,,,,,,,,,,,,
2019,301,4.875621891,2.123076923,,6.724137931,0.61904762,,,,,,,,,,,,,,,,
2019,316,6.766169154,2.553846154,,7.672413793,0.66666667,,,,,,,,,,,,,,,,
2019,401,7.562189055,2.6,2.659574468,9.74137931,1.19047619,6.689189189,,,,,,,,,,,,,,,
2019,416,10.99502488,3,4.414893617,7.672413793,1.14285714,11.65540541,,,,,,,,,,,,,,,
2019,501,9.303482587,3.4,4.494680851,12.4137931,1,13.58108108,2.81,5.78,2.5,4.75,15.38,4.69,6.21,12.6,9.14,,,,,,
2019,516,13.93034826,3.646153846,5.159574468,12.24137931,1.14285714,17.12837838,2.81,5.78,2.5,4.75,15.38,4.69,6.21,12.6,9.14,,,,,,
2019,601,14.67661692,3.292307692,5.824468085,19.13793103,2.14285714,18.75,3.93,9.23,2.92,7.59,14.34,11.57,8.08,26.47,12.89,10.26252983,0.629539952,0.643939394,2.159383033,1.882352941,0
2019,616,17.11442786,3.784615385,9.441489362,12.32758621,6.33333333,17.73648649,3.93,9.23,2.92,7.59,14.34,11.57,8.08,26.47,12.89,10.26252983,0.629539952,0.643939394,2.159383033,1.882352941,0
2019,701,13.73134328,3.630769231,5.904255319,18.18965517,7.04761905,21.28378378,6.38,10.68,4.92,12.06,11.38,22.92,8.03,26.53,28.31,16.22911695,2.542372881,0.631313131,4.473007712,11.29411765,1.008474576
2019,716,10.24875622,3.969230769,7.393617021,9.310344828,7.19047619,24.83108108,6.38,10.68,4.92,12.06,11.38,22.92,8.03,26.53,28.31,16.22911695,2.542372881,0.631313131,4.473007712,11.29411765,1.008474576
2019,801,11.34328358,4.276923077,7.367021277,19.82758621,6.57142857,18.24324324,4.97,8.39,4.07,12.24,10.56,26.38,10.22,16.48,11.64,24.22434368,4.987893462,2.386363636,15.57840617,6.305882353,1.796610169
2019,816,10.39800995,4.369230769,7.473404255,15.60344828,8.19047619,19.66216216,4.97,8.39,4.07,12.24,10.56,26.38,10.22,16.48,11.64,24.22434368,4.987893462,2.386363636,15.57840617,6.305882353,1.796610169
2019,901,10.34825871,4.169230769,5.664893617,17.4137931,10.2380952,21.68918919,3.93,13.55,3.47,11.69,7.69,18.91,3.99,13.91,11.48,13.12649165,3.123486683,0.492424242,8.946015424,4.047058824,0.56779661
2019,916,6.815920398,3.846153846,8.856382979,21.81034483,5.9047619,14.29054054,3.93,13.55,3.47,11.69,7.69,18.91,3.99,13.91,11.48,13.12649165,3.123486683,0.492424242,8.946015424,4.047058824,0.56779661
2019,1001,4.527363184,3.584615385,5.319148936,13.87931034,6.19047619,15,2.45,8.35,1.68,5,2.86,9.68,7.14,4.98,8.57,,,,,,
2019,1016,3.333333333,2.753846154,4.521276596,14.13793103,4.28571429,11.95945946,2.45,8.35,1.68,5,2.86,9.68,7.14,4.98,8.57,,,,,,
2019,1101,2.835820896,1.923076923,3.776595745,11.29310345,3.14285714,,,,,,,,,,,,,,,,
2019,1116,1.592039801,1.676923077,2.95212766,9.913793103,2.52380952,,,,,,,,,,,,,,,,
2019,1201,,,,,,,,,,,,,,,,,,,,,
2019,1216,,,,,,,,,,,,,,,,,,,,,
