Year,half_month,Guangdong,Guangxi,Guizhou,Hunan,Beijing
2016,101,,,,,
2016,116,,,,,
2016,201,,,,,
2016,216,,,,,
2016,301,1.495327103,,,,
2016,316,2.130841121,,,,
2016,401,2.878504673,10.87837838,,,
2016,416,3.813084112,7.756756757,,,
2016,501,9.794392523,11.63513514,5.29,3.12,
2016,516,8.485981308,18.06756757,5.29,3.12,
2016,601,5.906542056,11.25675676,7.81,9.83,3.74
2016,616,8,31.87837838,7.81,9.83,3.74
2016,701,9.682242991,11.44594595,8.87,8.89,3.57
2016,716,7.813084112,18.91891892,8.87,8.89,3.57
2016,801,5.943925234,11.25675676,11.03,6.49,4.87
2016,816,6.242990654,13.24324324,11.03,6.49,4.87
2016,901,5.981308411,3.594594595,9.05,6.49,5.87
2016,916,6.990654206,9.743243243,9.05,6.49,5.87
2016,1001,4.037383178,4.824324324,5.74,3.52,
2016,1016,4.485981308,3.878378378,5.74,3.52,
2016,1101,2.953271028,0.945945946,,,
2016,1116,2.878504673,1.22972973,,,
2016,1201,,,,,
2016,1216,,,,,
2017,101,,,,,
2017,116,,,,,
2017,201,,,,,
2017,216,,,,,
2017,301,1.906542056,,,,
2017,316,2.130841121,,,,
2017,401,3.775700935,2.932432432,,,
2017,416,3.626168224,3.594594595,,,
2017,501,5.08411215,8.986486486,4.61,1.35,
2017,516,5.271028037,6.810810811,4.61,1.35,
2017,601,6.504672897,8.324324324,7.59,3.77,2.34
2017,616,6.242990654,16.55405405,7.59,3.77,2.34
2017,701,6.093457944,9.175675676,7.43,5.59,7.45
2017,716,6.429906542,17.12162162,7.43,5.59,7.45
2017,801,6.728971963,7.189189189,5.75,5.18,10.76
2017,816,5.757009346,11.06756757,5.75,5.18,10.76
2017,901,5.457943925,8.324324324,5.42,6.72,3.69
2017,916,7.476635514,14.28378378,5.42,6.72,3.69
2017,1001,5.271028037,3.5,4.09,3.76,
2017,1016,4.448598131,3.405405405,4.09,3.76,
2017,1101,2.841121495,1.608108108,,,
2017,1116,2.803738318,0,,,
2017,1201,,,,,
2017,1216,,,,,
2018,101,,,,,
2018,116,,,,,
2018,201,,,,,
2018,216,,,,,
2018,301,2.018691589,,,,
2018,316,2.61682243,,,,
2018,401,3.551401869,2.459459459,,,
2018,416,3.102803738,2.081081081,,,
2018,501,4.934579439,6.905405405,4.71,1.44,
2018,516,7.551401869,15.22972973,4.71,1.44,
2018,601,5.794392523,12.10810811,6.73,2.28,1.27
2018,616,5.943925234,10.02702703,6.73,2.28,1.27
2018,701,7.289719626,8.135135135,9.28,5.18,3.99
2018,716,6.841121495,5.391891892,9.28,5.18,3.99
2018,801,7.364485981,8.418918919,9.01,3.4,8.71
2018,816,6.654205607,9.175675676,9.01,3.4,8.71
2018,901,7.327102804,5.486486486,5.84,3.81,4.86
2018,916,5.420560748,5.675675676,5.84,3.81,4.86
2018,1001,5.271028037,3.121621622,3.96,0.86,
2018,1016,4,3.121621622,3.96,0.86,
2018,1101,4.074766355,2.554054054,,,
2018,1116,3.065420561,2.554054054,,,
2018,1201,,,,,
2018,1216,,,,,
2019,101,,,,,
2019,116,,,,,
2019,201,,,,,
2019,216,,,,,
2019,301,1.831775701,,,,
2019,316,3.065420561,,,,
2019,401,4.037383178,1.797297297,,,
2019,416,4.672897196,6.527027027,,,
2019,501,5.196261682,2.175675676,4.13,0.78,
2019,516,7.551401869,8.608108108,4.13,0.78,
2019,601,6.990654206,4.162162162,5.45,5.11,1.06
2019,616,7.551401869,12.95945946,5.45,5.11,1.06
2019,701,6.990654206,3.972972973,8.11,6.04,3.05
2019,716,7.364485981,8.324324324,8.11,6.04,3.05
2019,801,7.065420561,6.810810811,10.08,6.06,9.3
2019,816,6.280373832,7.094594595,10.08,6.06,9.3
2019,901,5.943925234,4.351351351,7.86,4.49,1.16
2019,916,5.906542056,16.83783784,7.86,4.49,1.16
2019,1001,5.23364486,3.310810811,4.34,1.58,
2019,1016,4.710280374,2.648648649,4.34,1.58,
2019,1101,3.700934579,2.175675676,,,
2019,1116,2.691588785,2.081081081,,,
2019,1201,,,,,
2019,1216,,,,,
