"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Guizhou","gfdl-esm4","ssp370",NA,0.557189493646057,3.4226982368218
"2",837,"Guizhou","gfdl-esm4","ssp370",NA,0.0227645406322643,5.64531431093323
"3",838,"Guizhou","gfdl-esm4","ssp370",NA,0.222362825005913,4.90748089800826
"4",839,"Guizhou","gfdl-esm4","ssp370",NA,0.390147330949581,5.95384347098217
"5",840,"Guizhou","gfdl-esm4","ssp370",NA,0.485583152705938,7.1361514584049
"6",841,"Guizhou","gfdl-esm4","ssp370",NA,0.311252979099863,10.514007970789
"7",842,"Guizhou","gfdl-esm4","ssp370",NA,0.60444690487242,4.85152768983948
"8",843,"Guizhou","gfdl-esm4","ssp370",NA,1.16290088864584,5.72113841968581
"9",844,"Guizhou","gfdl-esm4","ssp370",NA,1.11029000605593,11.7067184951279
"10",845,"Guizhou","gfdl-esm4","ssp370",NA,1.8184536768112,7.15481118003093
"11",846,"Guizhou","gfdl-esm4","ssp370",NA,1.28975006031156,9.51041132329587
"12",847,"Guizhou","gfdl-esm4","ssp370",NA,0.980549695148231,7.28902426918787
"13",848,"Guizhou","gfdl-esm4","ssp370",NA,2.42980196185242,9.58937686459051
"14",849,"Guizhou","gfdl-esm4","ssp370",NA,2.97228194247329,11.6886937403417
"15",850,"Guizhou","gfdl-esm4","ssp370",NA,2.64044505279834,17.0827041793656
"16",851,"Guizhou","gfdl-esm4","ssp370",NA,0.686546658419372,15.2112420721369
"17",852,"Guizhou","gfdl-esm4","ssp370",NA,0.948022996369048,18.9445460728237
"18",853,"Guizhou","gfdl-esm4","ssp370",5.29,2.18296189976832,17.409314769703
"19",854,"Guizhou","gfdl-esm4","ssp370",5.29,0.887992384578555,22.927532690698
"20",855,"Guizhou","gfdl-esm4","ssp370",5.29,1.38093302858729,22.2022874098558
"21",856,"Guizhou","gfdl-esm4","ssp370",5.29,1.80639341721282,22.1706436324906
"22",857,"Guizhou","gfdl-esm4","ssp370",5.29,4.09786374547396,22.5461176945613
"23",858,"Guizhou","gfdl-esm4","ssp370",7.09,6.10599784965926,20.504234297197
"24",859,"Guizhou","gfdl-esm4","ssp370",7.81,10.7683996574137,21.3188524183336
"25",860,"Guizhou","gfdl-esm4","ssp370",7.81,6.71981494182066,22.6955815241887
"26",861,"Guizhou","gfdl-esm4","ssp370",7.81,3.45816679768937,22.4607967837826
"27",862,"Guizhou","gfdl-esm4","ssp370",8.26428571428571,10.2774812784476,24.7050936856113
"28",863,"Guizhou","gfdl-esm4","ssp370",8.87,0.655450724476435,23.5542183341561
"29",864,"Guizhou","gfdl-esm4","ssp370",8.87,0.835489483770388,26.7605627038977
"30",865,"Guizhou","gfdl-esm4","ssp370",8.87,0.570346541177599,23.9371113200764
"31",866,"Guizhou","gfdl-esm4","ssp370",8.87,0.418321741784054,22.7759446364183
"32",867,"Guizhou","gfdl-esm4","ssp370",11.03,0.722602788326305,25.6343511225103
"33",868,"Guizhou","gfdl-esm4","ssp370",11.03,1.15642922527283,27.5331687843407
"34",869,"Guizhou","gfdl-esm4","ssp370",11.03,1.49522872580437,24.2997413719094
"35",870,"Guizhou","gfdl-esm4","ssp370",11.03,2.40565356498397,24.9206137856285
"36",871,"Guizhou","gfdl-esm4","ssp370",9.89857142857143,7.66782553929111,25.3314082219051
"37",872,"Guizhou","gfdl-esm4","ssp370",9.05,0.249691325796168,22.0879413311298
"38",873,"Guizhou","gfdl-esm4","ssp370",9.05,2.10746473523853,21.2179220681662
"39",874,"Guizhou","gfdl-esm4","ssp370",9.05,0.333247579910676,23.8369077577696
"40",875,"Guizhou","gfdl-esm4","ssp370",8.10428571428571,1.18122660244318,18.3566196986607
"41",876,"Guizhou","gfdl-esm4","ssp370",5.74,1.73383034707033,18.2014087048206
"42",877,"Guizhou","gfdl-esm4","ssp370",5.74,0.905044172670767,18.8700601766398
"43",878,"Guizhou","gfdl-esm4","ssp370",5.74,3.26348990937222,17.7263716142256
"44",879,"Guizhou","gfdl-esm4","ssp370",5.74,2.08001648435359,17.604188822652
"45",880,"Guizhou","gfdl-esm4","ssp370",5.74,1.828156880337,17.5708662431319
"46",881,"Guizhou","gfdl-esm4","ssp370",NA,0.874365008397605,15.0348868904533
"47",882,"Guizhou","gfdl-esm4","ssp370",NA,1.87805960006269,16.3584183577653
"48",883,"Guizhou","gfdl-esm4","ssp370",NA,3.13550285218958,8.25734829745452
"49",884,"Guizhou","gfdl-esm4","ssp370",NA,1.95666955009513,4.62960681286489
"50",885,"Guizhou","gfdl-esm4","ssp370",NA,0.685101972989147,7.59329223632815
"51",886,"Guizhou","gfdl-esm4","ssp370",NA,0.456535890772791,6.6836624313187
"52",887,"Guizhou","gfdl-esm4","ssp370",NA,0.267873325365644,5.30706988324178
"53",888,"Guizhou","gfdl-esm4","ssp370",NA,0.104393556523444,6.8333186893673
"54",889,"Guizhou","gfdl-esm4","ssp370",NA,0.788419764929651,6.54989053914837
"55",890,"Guizhou","gfdl-esm4","ssp370",NA,0.200668421330392,5.73693076332849
