"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Hunan","gfdl-esm4","ssp370",NA,0.0618131975118429,3.74576297336157
"2",837,"Hunan","gfdl-esm4","ssp370",NA,0.00862196249207565,5.63315444219682
"3",838,"Hunan","gfdl-esm4","ssp370",NA,0.323005246010715,4.38853510296536
"4",839,"Hunan","gfdl-esm4","ssp370",NA,0.406618699779366,6.32072667924187
"5",840,"Hunan","gfdl-esm4","ssp370",NA,0.739670595242257,6.31658198038739
"6",841,"Hunan","gfdl-esm4","ssp370",NA,0.321440903657536,9.18905422876754
"7",842,"Hunan","gfdl-esm4","ssp370",NA,1.1567101869202,4.21255954560782
"8",843,"Hunan","gfdl-esm4","ssp370",NA,2.65660152838661,6.1820262848385
"9",844,"Hunan","gfdl-esm4","ssp370",NA,1.92873875549334,13.730234127953
"10",845,"Hunan","gfdl-esm4","ssp370",NA,6.31484133314189,4.15529113042925
"11",846,"Hunan","gfdl-esm4","ssp370",NA,7.33698219765496,7.65531492687409
"12",847,"Hunan","gfdl-esm4","ssp370",NA,0.980031040113058,8.93844575427829
"13",848,"Hunan","gfdl-esm4","ssp370",NA,2.68244234834388,11.1633122277638
"14",849,"Hunan","gfdl-esm4","ssp370",NA,4.22031641102356,13.499400499132
"15",850,"Hunan","gfdl-esm4","ssp370",NA,5.66346486978416,17.9169915335519
"16",851,"Hunan","gfdl-esm4","ssp370",NA,3.52096090704695,13.5321589999729
"17",852,"Hunan","gfdl-esm4","ssp370",NA,1.66926321741292,19.6934944152832
"18",853,"Hunan","gfdl-esm4","ssp370",3.12,4.27585817637919,17.2709285917736
"19",854,"Hunan","gfdl-esm4","ssp370",3.12,6.61435872261791,23.7604865543426
"20",855,"Hunan","gfdl-esm4","ssp370",3.12,7.64930016639483,21.9764945136176
"21",856,"Hunan","gfdl-esm4","ssp370",3.12,8.32007736028443,21.8902825976175
"22",857,"Hunan","gfdl-esm4","ssp370",3.12,10.8403087672416,22.0380283052959
"23",858,"Hunan","gfdl-esm4","ssp370",7.91285714285714,11.2100739888059,21.3005168975346
"24",859,"Hunan","gfdl-esm4","ssp370",9.83,16.0189437769207,21.6492123195103
"25",860,"Hunan","gfdl-esm4","ssp370",9.83,2.96507264176528,25.6935717385913
"26",861,"Hunan","gfdl-esm4","ssp370",9.83,1.71620573673863,26.6301872737824
"27",862,"Hunan","gfdl-esm4","ssp370",9.42714285714286,3.10341443836738,28.3111421009851
"28",863,"Hunan","gfdl-esm4","ssp370",8.89,0.989835264902337,26.8308101351299
"29",864,"Hunan","gfdl-esm4","ssp370",8.89,1.16963825189487,29.6976073855446
"30",865,"Hunan","gfdl-esm4","ssp370",8.89,4.46877424689254,26.5961814274864
"31",866,"Hunan","gfdl-esm4","ssp370",8.89,1.02514546281002,24.1743548680866
"32",867,"Hunan","gfdl-esm4","ssp370",6.49,0.45184592800719,28.7443146599664
"33",868,"Hunan","gfdl-esm4","ssp370",6.49,1.42637566892258,29.5943788316515
"34",869,"Hunan","gfdl-esm4","ssp370",6.49,0.112579034423886,27.0183669922844
"35",870,"Hunan","gfdl-esm4","ssp370",6.49,1.05834677195032,29.3246784634061
