"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Guangxi","gfdl-esm4","ssp585",NA,0.00187041087417488,11.6743863658745
"2",837,"Guangxi","gfdl-esm4","ssp585",NA,0.00577715305064144,11.8224559623654
"3",838,"Guangxi","gfdl-esm4","ssp585",NA,0.0225494100711995,13.3688761222263
"4",839,"Guangxi","gfdl-esm4","ssp585",NA,0.0629268975813722,14.5066317005318
"5",840,"Guangxi","gfdl-esm4","ssp585",NA,0.579942165136689,17.8061253138951
"6",841,"Guangxi","gfdl-esm4","ssp585",NA,1.25259420722774,17.0030319598543
"7",842,"Guangxi","gfdl-esm4","ssp585",NA,0.00385340065154846,16.0911514410452
"8",843,"Guangxi","gfdl-esm4","ssp585",NA,0.552759106951974,18.3068797392004
"9",844,"Guangxi","gfdl-esm4","ssp585",NA,0.271818428687353,10.0327360778296
"10",845,"Guangxi","gfdl-esm4","ssp585",NA,0.025521750327595,15.2314253606716
"11",846,"Guangxi","gfdl-esm4","ssp585",NA,0.512519695107241,19.9384936420858
"12",847,"Guangxi","gfdl-esm4","ssp585",NA,1.6894257187599,17.219016913406
"13",848,"Guangxi","gfdl-esm4","ssp585",NA,3.92379535621308,18.9441192370503
"14",849,"Guangxi","gfdl-esm4","ssp585",10.87837838,3.16153307624128,17.74131941595
"15",850,"Guangxi","gfdl-esm4","ssp585",10.87837838,0.931282203241341,22.0340671058463
"16",851,"Guangxi","gfdl-esm4","ssp585",9.98648648771428,1.19360820470503,22.5432816192884
"17",852,"Guangxi","gfdl-esm4","ssp585",7.756756757,7.65357116279288,21.0347889619715
"18",853,"Guangxi","gfdl-esm4","ssp585",8.31081081171429,1.56408315345311,26.9226364520418
"19",854,"Guangxi","gfdl-esm4","ssp585",11.63513514,3.41988833558718,25.1813657616367
"20",855,"Guangxi","gfdl-esm4","ssp585",11.63513514,9.69725292972756,25.3572617474724
"21",856,"Guangxi","gfdl-esm4","ssp585",18.06756757,6.90322927839344,22.8843512527081
"22",857,"Guangxi","gfdl-esm4","ssp585",18.06756757,4.63532257000935,27.0915836622735
"23",858,"Guangxi","gfdl-esm4","ssp585",13.2027027057143,4.48712648844279,25.6217765231093
"24",859,"Guangxi","gfdl-esm4","ssp585",11.25675676,4.25569310207216,26.1561578830751
"25",860,"Guangxi","gfdl-esm4","ssp585",23.0405405428571,6.80984086949467,26.6627083914621
"26",861,"Guangxi","gfdl-esm4","ssp585",31.87837838,13.794153827402,26.2553524754629
"27",862,"Guangxi","gfdl-esm4","ssp585",23.1216216242857,7.13655479687918,27.4532384535846
"28",863,"Guangxi","gfdl-esm4","ssp585",11.44594595,7.84025590067366,28.9380856810498
"29",864,"Guangxi","gfdl-esm4","ssp585",13.5810810842857,8.51179116060825,28.6828577891118
"30",865,"Guangxi","gfdl-esm4","ssp585",18.91891892,6.42612612462884,28.8216053169315
"31",866,"Guangxi","gfdl-esm4","ssp585",18.91891892,16.1761243151044,28.1976798947118
"32",867,"Guangxi","gfdl-esm4","ssp585",11.25675676,13.959089091358,27.790807284828
"33",868,"Guangxi","gfdl-esm4","ssp585",11.25675676,5.79275842713661,28.1796141039424
"34",869,"Guangxi","gfdl-esm4","ssp585",12.9594594571429,10.0177336755587,27.6409362280069
"35",870,"Guangxi","gfdl-esm4","ssp585",13.24324324,7.28316814449255,27.4831480394893
"36",871,"Guangxi","gfdl-esm4","ssp585",7.72972972857143,6.06461339031785,28.1246676917838
"37",872,"Guangxi","gfdl-esm4","ssp585",3.594594595,2.49220172708933,29.1619298085445
"38",873,"Guangxi","gfdl-esm4","ssp585",6.22972972985714,14.5141471485498,24.1692826471409
"39",874,"Guangxi","gfdl-esm4","ssp585",9.743243243,0.765010248604911,23.6098160431165
"40",875,"Guangxi","gfdl-esm4","ssp585",8.33783783757143,7.14588553014154,22.9400387547597
"41",876,"Guangxi","gfdl-esm4","ssp585",4.824324324,0.195299878827381,24.4332848813354
"42",877,"Guangxi","gfdl-esm4","ssp585",4.68918918885714,0.57081880287168,19.6843550481716
"43",878,"Guangxi","gfdl-esm4","ssp585",3.878378378,0.0436752191577214,19.8572038410091
"44",879,"Guangxi","gfdl-esm4","ssp585",3.878378378,1.02509496267824,22.2842932949547
"45",880,"Guangxi","gfdl-esm4","ssp585",1.36486486485714,0.60207323240106,21.3968161703158
"46",881,"Guangxi","gfdl-esm4","ssp585",0.945945946,2.79374610657237,21.7108588723576
"47",882,"Guangxi","gfdl-esm4","ssp585",1.14864864885714,4.68015735666903,19.204161161535
"48",883,"Guangxi","gfdl-esm4","ssp585",1.22972973,0.237055706035614,17.9808586056493
"49",884,"Guangxi","gfdl-esm4","ssp585",1.22972973,0.465634979246265,17.4092280027246
"50",885,"Guangxi","gfdl-esm4","ssp585",NA,1.21541271641708,11.0811018743435
"51",886,"Guangxi","gfdl-esm4","ssp585",NA,1.88637050856643,14.8878692370503
"52",887,"Guangxi","gfdl-esm4","ssp585",NA,1.27653590192066,12.8286705722328
"53",888,"Guangxi","gfdl-esm4","ssp585",NA,2.63949360332891,10.4253998059185
"54",889,"Guangxi","gfdl-esm4","ssp585",NA,1.76879574706022,13.1322539000952
"55",890,"Guangxi","gfdl-esm4","ssp585",NA,0.954401857088058,10.9766523088728
"56",891,"Guangxi","gfdl-esm4","ssp585",NA,2.6185785450529,12.1423702977285
"57",892,"Guangxi","gfdl-esm4","ssp585",NA,3.38795735714446,13.2573885877593
"58",893,"Guangxi","gfdl-esm4","ssp585",NA,1.22178842671455,10.5667036809841
"59",894,"Guangxi","gfdl-esm4","ssp585",NA,1.65054964265437,7.19066541655727
"60",895,"Guangxi","gfdl-esm4","ssp585",NA,4.70057531624486,12.3765986081933
