"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.74261198965835,12.1827823927423
"2",837,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.192763826833302,11.6855708787421
"3",838,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.449081518392112,14.5600351541984
"4",839,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.717103225999549,16.8579883222821
"5",840,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.88062028986908,14.2390185444295
"6",841,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.52698516119159,16.2160184459526
"7",842,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.09309362481897,12.1319962701878
"8",843,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.635393326300487,12.2420121906185
"9",844,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.58276158109703,15.1765857856815
"10",845,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.83983349971064,14.7310723312763
"11",846,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.06146784920437,11.6946887617352
"12",847,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.25021848975504,17.6317416663931
"13",848,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.44320486229367,14.7962862928375
"14",849,"Guangxi","ipsl-cm6a-lr","ssp585",10.87837838,4.1625681960572,15.990088967716
"15",850,"Guangxi","ipsl-cm6a-lr","ssp585",10.87837838,3.57783280863298,18.486321559874
"16",851,"Guangxi","ipsl-cm6a-lr","ssp585",9.98648648771428,0.717188295410695,21.6391213809743
"17",852,"Guangxi","ipsl-cm6a-lr","ssp585",7.756756757,7.72954199332162,23.8381100951123
"18",853,"Guangxi","ipsl-cm6a-lr","ssp585",8.31081081171429,4.87060041600831,22.2453984108292
"19",854,"Guangxi","ipsl-cm6a-lr","ssp585",11.63513514,5.4801884777548,22.432804857783
"20",855,"Guangxi","ipsl-cm6a-lr","ssp585",11.63513514,2.37663499209756,28.4683021353073
"21",856,"Guangxi","ipsl-cm6a-lr","ssp585",18.06756757,14.8596303690344,25.4542737431887
"22",857,"Guangxi","ipsl-cm6a-lr","ssp585",18.06756757,3.03332284288009,26.6635310325302
"23",858,"Guangxi","ipsl-cm6a-lr","ssp585",13.2027027057143,14.4351540080628,26.374583319656
"24",859,"Guangxi","ipsl-cm6a-lr","ssp585",11.25675676,3.14638706821053,27.1545903566505
"25",860,"Guangxi","ipsl-cm6a-lr","ssp585",23.0405405428571,8.93639934812711,27.5275579372374
"26",861,"Guangxi","ipsl-cm6a-lr","ssp585",31.87837838,8.22632370476671,29.2787366851037
"27",862,"Guangxi","ipsl-cm6a-lr","ssp585",23.1216216242857,2.77724734049238,27.9682065819492
"28",863,"Guangxi","ipsl-cm6a-lr","ssp585",11.44594595,2.11683748179581,30.0453291692654
"29",864,"Guangxi","ipsl-cm6a-lr","ssp585",13.5810810842857,7.71775439638153,30.468226995388
"30",865,"Guangxi","ipsl-cm6a-lr","ssp585",18.91891892,10.8013875187616,28.9601034212513
"31",866,"Guangxi","ipsl-cm6a-lr","ssp585",18.91891892,13.0634091719273,28.9816753996521
"32",867,"Guangxi","ipsl-cm6a-lr","ssp585",11.25675676,11.5329815138934,29.5008509018842
"33",868,"Guangxi","ipsl-cm6a-lr","ssp585",11.25675676,3.58866571369686,30.305758436187
"34",869,"Guangxi","ipsl-cm6a-lr","ssp585",12.9594594571429,6.93606021603474,29.1905274976202
"35",870,"Guangxi","ipsl-cm6a-lr","ssp585",13.24324324,3.66774730215352,28.2317080201221
"36",871,"Guangxi","ipsl-cm6a-lr","ssp585",7.72972972857143,8.25629167327647,27.1232727050781
"37",872,"Guangxi","ipsl-cm6a-lr","ssp585",3.594594595,2.2710605140267,26.5671013327206
"38",873,"Guangxi","ipsl-cm6a-lr","ssp585",6.22972972985714,0.419304009482089,26.9021349995076
"39",874,"Guangxi","ipsl-cm6a-lr","ssp585",9.743243243,0.00598527614111394,24.6380520860688
"40",875,"Guangxi","ipsl-cm6a-lr","ssp585",8.33783783757143,0.0184439819071593,25.1868969829143
"41",876,"Guangxi","ipsl-cm6a-lr","ssp585",4.824324324,0.0133104821731397,22.1875691902738
"42",877,"Guangxi","ipsl-cm6a-lr","ssp585",4.68918918885714,2.7613266132423,25.2285887133174
"43",878,"Guangxi","ipsl-cm6a-lr","ssp585",3.878378378,6.41958741864379,20.8800710982635
"44",879,"Guangxi","ipsl-cm6a-lr","ssp585",3.878378378,0.0840665366595509,18.5411101012671
"45",880,"Guangxi","ipsl-cm6a-lr","ssp585",1.36486486485714,0.275363674991546,20.1080269436877
"46",881,"Guangxi","ipsl-cm6a-lr","ssp585",0.945945946,0.183729629137846,19.5019961060596
"47",882,"Guangxi","ipsl-cm6a-lr","ssp585",1.14864864885714,0.0232653854991517,15.9014880268514
"48",883,"Guangxi","ipsl-cm6a-lr","ssp585",1.22972973,0.045904844218279,14.044533404182
"49",884,"Guangxi","ipsl-cm6a-lr","ssp585",1.22972973,0.0465592364301247,15.3893372607832
"50",885,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.182256998361344,12.6617998908548
"51",886,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.00520910886436713,12.9489842519039
"52",887,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.177344139566314,12.886869594029
"53",888,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.177667312433003,13.9095545151655
"54",889,"Guangxi","ipsl-cm6a-lr","ssp585",NA,3.32037654090741,13.2768653164391
"55",890,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.0410719250733357,12.4783005145418
"56",891,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.140389714628128,14.0037779735918
"57",892,"Guangxi","ipsl-cm6a-lr","ssp585",NA,3.30034425627612,12.6183371664096
"58",893,"Guangxi","ipsl-cm6a-lr","ssp585",NA,6.9346936575275,13.6619193453749
"59",894,"Guangxi","ipsl-cm6a-lr","ssp585",NA,3.42760414168573,10.7767864323464
"60",895,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.47494224724829,15.2531221790474
"61",896,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.724784036573809,18.5704595485655
"62",897,"Guangxi","ipsl-cm6a-lr","ssp585",NA,2.08342627078691,18.865194163603
"63",898,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.54435050443276,20.2977173877364
"64",899,"Guangxi","ipsl-cm6a-lr","ssp585",NA,1.19798796154872,16.4891065581506
"65",900,"Guangxi","ipsl-cm6a-lr","ssp585",NA,0.287806602716329,17.7279209169019
"66",901,"Guangxi","ipsl-cm6a-lr","ssp585",2.932432432,0.250420178269122,20.8141511292017
"67",902,"Guangxi","ipsl-cm6a-lr","ssp585",2.932432432,0.438249593651012,20.2108573336561
"68",903,"Guangxi","ipsl-cm6a-lr","ssp585",3.02702702671429,13.8734280329841,21.2242281873687
