"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.155767302306601,6.81155985737897
"2",837,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.016610246163839,5.82122292990215
"3",838,"Guizhou","mpi-esm1-2-hr","ssp126",NA,1.13241578873895,5.52924979073663
"4",839,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.454829164749014,7.4719172551082
"5",840,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.747910882412695,5.36960650433553
"6",841,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.406274121013376,3.08025284651874
"7",842,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.0364091003263768,9.53305335411661
"8",843,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.981781321378959,13.6268600296188
"9",844,"Guizhou","mpi-esm1-2-hr","ssp126",NA,1.2999971357859,12.8136504791595
"10",845,"Guizhou","mpi-esm1-2-hr","ssp126",NA,2.40343007014887,10.5732477544428
"11",846,"Guizhou","mpi-esm1-2-hr","ssp126",NA,3.33216120641977,11.7767269595639
"12",847,"Guizhou","mpi-esm1-2-hr","ssp126",NA,1.69511797828958,10.5274782956302
"13",848,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.231448009122127,17.2102608146249
"14",849,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.139340057130839,19.810699060461
"15",850,"Guizhou","mpi-esm1-2-hr","ssp126",NA,0.578919705217781,12.4647000155606
"16",851,"Guizhou","mpi-esm1-2-hr","ssp126",NA,2.32374412374306,11.6061525449648
"17",852,"Guizhou","mpi-esm1-2-hr","ssp126",NA,1.62704951420172,16.0461500901443
"18",853,"Guizhou","mpi-esm1-2-hr","ssp126",5.29,2.42455961280739,20.1467895507813
"19",854,"Guizhou","mpi-esm1-2-hr","ssp126",5.29,3.23952014632456,14.6596516703512
"20",855,"Guizhou","mpi-esm1-2-hr","ssp126",5.29,2.53606326072358,19.3231202513307
"21",856,"Guizhou","mpi-esm1-2-hr","ssp126",5.29,5.11718590350378,19.4306774097485
