"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Beijing","mri-esm2-0","ssp370",NA,0,-2.91178741455076
"2",837,"Beijing","mri-esm2-0","ssp370",NA,0,-2.25202516828262
"3",838,"Beijing","mri-esm2-0","ssp370",NA,0.678445450486314,-4.0391895839146
"4",839,"Beijing","mri-esm2-0","ssp370",NA,0.678792904870663,-5.39167360578262
"5",840,"Beijing","mri-esm2-0","ssp370",NA,0.00658113909334394,-5.49587151663642
"6",841,"Beijing","mri-esm2-0","ssp370",NA,0.137316407913854,-2.23007049560545
"7",842,"Beijing","mri-esm2-0","ssp370",NA,0.119232983700255,-4.88870631626672
"8",843,"Beijing","mri-esm2-0","ssp370",NA,0.566218942854643,-0.773333522251652
"9",844,"Beijing","mri-esm2-0","ssp370",NA,0.00189567743810975,0.0565963745117415
"10",845,"Beijing","mri-esm2-0","ssp370",NA,0,6.71574554443362
"11",846,"Beijing","mri-esm2-0","ssp370",NA,1.391546010778,-0.0473067147390954
"12",847,"Beijing","mri-esm2-0","ssp370",NA,0.00464343117008476,6.67898439679829
"13",848,"Beijing","mri-esm2-0","ssp370",NA,0.33189135462765,9.76276931762698
"14",849,"Beijing","mri-esm2-0","ssp370",NA,1.08245954198927,12.3324894496373
"15",850,"Beijing","mri-esm2-0","ssp370",NA,0.0585725364804343,12.539765385219
"16",851,"Beijing","mri-esm2-0","ssp370",NA,0.343044442213016,15.3700462341309
"17",852,"Beijing","mri-esm2-0","ssp370",NA,0.60297339245413,12.666518511091
"18",853,"Beijing","mri-esm2-0","ssp370",NA,6.96991717458591,16.6171961103167
"19",854,"Beijing","mri-esm2-0","ssp370",NA,0.582444492036822,17.5968588692802
"20",855,"Beijing","mri-esm2-0","ssp370",NA,0.0238570974943286,16.747390638079
"21",856,"Beijing","mri-esm2-0","ssp370",NA,2.63371728647793,19.3058644975935
"22",857,"Beijing","mri-esm2-0","ssp370",NA,2.23993699253567,18.27429460798
"23",858,"Beijing","mri-esm2-0","ssp370",3.74,8.37215728411787,20.008324105399
"24",859,"Beijing","mri-esm2-0","ssp370",3.74,9.85266362745279,22.3954221452986
"25",860,"Beijing","mri-esm2-0","ssp370",3.74,3.60033824244965,24.0145191737584
"26",861,"Beijing","mri-esm2-0","ssp370",3.74,2.69419530750383,24.7215978349959
"27",862,"Beijing","mri-esm2-0","ssp370",3.66714285714286,2.73886215892552,24.7825463431222
"28",863,"Beijing","mri-esm2-0","ssp370",3.57,10.1485670282922,23.2435410635812
"29",864,"Beijing","mri-esm2-0","ssp370",3.57,9.54759216547244,24.2815921238491
"30",865,"Beijing","mri-esm2-0","ssp370",3.57,11.1167577265795,26.163155582973
"31",866,"Beijing","mri-esm2-0","ssp370",3.57,1.10498268011595,25.4656823294504
"32",867,"Beijing","mri-esm2-0","ssp370",4.87,3.81918253912902,26.0522176470076
"33",868,"Beijing","mri-esm2-0","ssp370",4.87,3.08754861200344,25.5131197248187
"34",869,"Beijing","mri-esm2-0","ssp370",4.87,4.62778806453831,26.1383878435408
"35",870,"Beijing","mri-esm2-0","ssp370",4.87,3.74236225132855,24.5186379568918
"36",871,"Beijing","mri-esm2-0","ssp370",5.44142857142857,0.422965947771964,22.8140001569476
"37",872,"Beijing","mri-esm2-0","ssp370",5.87,1.64563084414502,20.2004704066686
"38",873,"Beijing","mri-esm2-0","ssp370",5.87,0.300920815854105,20.8902134486607
"39",874,"Beijing","mri-esm2-0","ssp370",5.87,0.243344128401597,21.4516589573452
"40",875,"Beijing","mri-esm2-0","ssp370",5.87,0.0826397157132824,19.3251962934222
"41",876,"Beijing","mri-esm2-0","ssp370",NA,0.00740543214955583,18.4355451311384
"42",877,"Beijing","mri-esm2-0","ssp370",NA,0.0212966780704197,13.4900037493025
"43",878,"Beijing","mri-esm2-0","ssp370",NA,0.0504211585069113,12.7387901306153
"44",879,"Beijing","mri-esm2-0","ssp370",NA,0.00274260145748225,8.49529309953964
"45",880,"Beijing","mri-esm2-0","ssp370",NA,0,10.6019035339356
"46",881,"Beijing","mri-esm2-0","ssp370",NA,0.0616873658275706,7.67471357073105
"47",882,"Beijing","mri-esm2-0","ssp370",NA,0,1.99179502214707
"48",883,"Beijing","mri-esm2-0","ssp370",NA,1.54654395321683,-3.76523546491348
"49",884,"Beijing","mri-esm2-0","ssp370",NA,0,0.103358023507277
"50",885,"Beijing","mri-esm2-0","ssp370",NA,0,0.792315782819499
"51",886,"Beijing","mri-esm2-0","ssp370",NA,0.215591114887762,-3.9156053815569
"52",887,"Beijing","mri-esm2-0","ssp370",NA,0,-4.15868116106304
"53",888,"Beijing","mri-esm2-0","ssp370",NA,0,-3.7806446620396
"54",889,"Beijing","mri-esm2-0","ssp370",NA,0.140656432911003,-4.18977148873463
"55",890,"Beijing","mri-esm2-0","ssp370",NA,0.00776550587033854,-5.85191955566404
"56",891,"Beijing","mri-esm2-0","ssp370",NA,0.00593519061372456,-4.98108193533759
"57",892,"Beijing","mri-esm2-0","ssp370",NA,0.0400272913858706,-7.97701165335516
"58",893,"Beijing","mri-esm2-0","ssp370",NA,0.0112687322403612,-6.49922845023017
"59",894,"Beijing","mri-esm2-0","ssp370",NA,0.0950119008328849,-0.222021484374977
"60",895,"Beijing","mri-esm2-0","ssp370",NA,0.0150300204885362,1.24859989711219
"61",896,"Beijing","mri-esm2-0","ssp370",NA,0.00262508385406234,-0.0426407950264844
"62",897,"Beijing","mri-esm2-0","ssp370",NA,0.118263032858782,4.10741958618166
"63",898,"Beijing","mri-esm2-0","ssp370",NA,0.00775554511035028,1.22461962018696
"64",899,"Beijing","mri-esm2-0","ssp370",NA,0.0979315699363984,7.2943659101214
