"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Hunan","mri-esm2-0","ssp585",NA,8.26845439928547,6.80165888468427
"2",837,"Hunan","mri-esm2-0","ssp585",NA,1.72527849029263,3.68175338260713
"3",838,"Hunan","mri-esm2-0","ssp585",NA,0.114812133785693,5.6622863164024
"4",839,"Hunan","mri-esm2-0","ssp585",NA,1.60303406096968,5.22114104013597
"5",840,"Hunan","mri-esm2-0","ssp585",NA,13.8570735799151,4.89623231433689
"6",841,"Hunan","mri-esm2-0","ssp585",NA,6.13191251216319,6.08812424190463
"7",842,"Hunan","mri-esm2-0","ssp585",NA,2.9511849039149,6.22635748726983
"8",843,"Hunan","mri-esm2-0","ssp585",NA,7.02765400998422,4.64072582910934
"9",844,"Hunan","mri-esm2-0","ssp585",NA,7.30775074692116,6.6829294598292
"10",845,"Hunan","mri-esm2-0","ssp585",NA,2.68704304235143,5.95192562284926
"11",846,"Hunan","mri-esm2-0","ssp585",NA,0.633327283003382,11.8004463559106
"12",847,"Hunan","mri-esm2-0","ssp585",NA,6.59894520544445,13.3444252135262
"13",848,"Hunan","mri-esm2-0","ssp585",NA,2.56016180451297,10.963524421813
"14",849,"Hunan","mri-esm2-0","ssp585",NA,5.17293480457478,19.0243483770461
"15",850,"Hunan","mri-esm2-0","ssp585",NA,10.2314917441683,14.9983934796046
"16",851,"Hunan","mri-esm2-0","ssp585",NA,16.8655051666844,15.8541166638571
"17",852,"Hunan","mri-esm2-0","ssp585",NA,6.42280512855515,18.4961608523414
"18",853,"Hunan","mri-esm2-0","ssp585",3.12,13.3328644170498,22.0676482790993
"19",854,"Hunan","mri-esm2-0","ssp585",3.12,14.6994877396342,22.7722749982562
"20",855,"Hunan","mri-esm2-0","ssp585",3.12,7.48174891453865,22.3099907284691
"21",856,"Hunan","mri-esm2-0","ssp585",3.12,7.14806670336787,23.9273698110429
"22",857,"Hunan","mri-esm2-0","ssp585",3.12,9.86558675769109,26.391378323994
"23",858,"Hunan","mri-esm2-0","ssp585",7.91285714285714,12.6329825970645,26.6929758586581
"24",859,"Hunan","mri-esm2-0","ssp585",9.83,7.8268415295757,25.1238981701079
"25",860,"Hunan","mri-esm2-0","ssp585",9.83,9.17109208180591,25.5583413260324
"26",861,"Hunan","mri-esm2-0","ssp585",9.83,11.8624322619715,24.9878388177781
"27",862,"Hunan","mri-esm2-0","ssp585",9.42714285714286,8.82259462294834,26.8857891869924
"28",863,"Hunan","mri-esm2-0","ssp585",8.89,15.6540116089218,27.7591242230128
"29",864,"Hunan","mri-esm2-0","ssp585",8.89,2.78898674471618,29.8763191102043
"30",865,"Hunan","mri-esm2-0","ssp585",8.89,0.331445645893577,27.6343736315531
"31",866,"Hunan","mri-esm2-0","ssp585",8.89,7.53094974091125,27.8238467383006
"32",867,"Hunan","mri-esm2-0","ssp585",6.49,4.10410129102274,26.8420173523918
"33",868,"Hunan","mri-esm2-0","ssp585",6.49,3.62896148803884,30.4313410925487
"34",869,"Hunan","mri-esm2-0","ssp585",6.49,3.26098468010839,27.1535423642113
"35",870,"Hunan","mri-esm2-0","ssp585",6.49,5.33032521434507,28.6008624848866
"36",871,"Hunan","mri-esm2-0","ssp585",6.49,5.5221157672934,26.7376701839387
"37",872,"Hunan","mri-esm2-0","ssp585",6.49,7.36462462720867,24.2997780572801
"38",873,"Hunan","mri-esm2-0","ssp585",6.49,3.19668304309744,23.5218613760812
"39",874,"Hunan","mri-esm2-0","ssp585",6.49,0.301510165594924,23.7637005881658
"40",875,"Hunan","mri-esm2-0","ssp585",5.64142857142857,2.38685406268684,21.1260147821336
"41",876,"Hunan","mri-esm2-0","ssp585",3.52,7.76391086409214,17.9664953443739
"42",877,"Hunan","mri-esm2-0","ssp585",3.52,2.57283284189985,21.1627888270787
"43",878,"Hunan","mri-esm2-0","ssp585",3.52,2.47121578778596,14.8146881345719
"44",879,"Hunan","mri-esm2-0","ssp585",3.52,1.08586577478361,14.7627559359112
"45",880,"Hunan","mri-esm2-0","ssp585",3.52,0.267777760804425,15.6563604566786
"46",881,"Hunan","mri-esm2-0","ssp585",NA,0.00497956361219362,13.0427326141842
"47",882,"Hunan","mri-esm2-0","ssp585",NA,0.00182089003958806,12.1768003917876
"48",883,"Hunan","mri-esm2-0","ssp585",NA,0.136734550414985,9.56551562112478
"49",884,"Hunan","mri-esm2-0","ssp585",NA,0.00336220938541893,9.8753849332295
"50",885,"Hunan","mri-esm2-0","ssp585",NA,2.49312248035624,9.51441878061448
"51",886,"Hunan","mri-esm2-0","ssp585",NA,0.435086286110423,5.9834895784893
"52",887,"Hunan","mri-esm2-0","ssp585",NA,1.48386420468601,6.05871770949593
"53",888,"Hunan","mri-esm2-0","ssp585",NA,0.0512969739767349,4.88121245853487
"54",889,"Hunan","mri-esm2-0","ssp585",NA,1.94535979813476,8.61010822114493
"55",890,"Hunan","mri-esm2-0","ssp585",NA,2.01356617282207,4.42602570548892
"56",891,"Hunan","mri-esm2-0","ssp585",NA,0.17580396046729,5.17582388983835
"57",892,"Hunan","mri-esm2-0","ssp585",NA,0.00259218999027715,7.4791197519454
"58",893,"Hunan","mri-esm2-0","ssp585",NA,0.0135282157511288,9.71549571203809
"59",894,"Hunan","mri-esm2-0","ssp585",NA,1.1723408157325,10.4692846752349
"60",895,"Hunan","mri-esm2-0","ssp585",NA,3.91478547647109,14.2001703171503
"61",896,"Hunan","mri-esm2-0","ssp585",NA,7.1299547124324,12.3271457248264
