"","Week_index","Province","gcm","ssp","MOI","pr","tas"
"1",836,"Hunan","ukesm1-0-ll","ssp585",NA,2.49220767375716,11.2319210113041
"2",837,"Hunan","ukesm1-0-ll","ssp585",NA,5.93033606568757,6.70062093583367
"3",838,"Hunan","ukesm1-0-ll","ssp585",NA,6.05832404557337,5.56994284977991
"4",839,"Hunan","ukesm1-0-ll","ssp585",NA,4.49687696846013,5.25500925457669
"5",840,"Hunan","ukesm1-0-ll","ssp585",NA,4.24258729759848,1.54360672481479
"6",841,"Hunan","ukesm1-0-ll","ssp585",NA,7.89833232585287,0.929451303633455
"7",842,"Hunan","ukesm1-0-ll","ssp585",NA,1.56612637247235,-0.926104639446902
"8",843,"Hunan","ukesm1-0-ll","ssp585",NA,0.397129113720699,0.031637173607259
"9",844,"Hunan","ukesm1-0-ll","ssp585",NA,7.39612776413066,5.74690332564099
"10",845,"Hunan","ukesm1-0-ll","ssp585",NA,0.0482818716201499,7.36843534197128
"11",846,"Hunan","ukesm1-0-ll","ssp585",NA,4.38579942983129,13.9954099624876
"12",847,"Hunan","ukesm1-0-ll","ssp585",NA,4.02484215415565,13.4307255336217
"13",848,"Hunan","ukesm1-0-ll","ssp585",NA,11.7710126361869,9.62262678600495
"14",849,"Hunan","ukesm1-0-ll","ssp585",NA,5.25301685351483,13.233547586108
"15",850,"Hunan","ukesm1-0-ll","ssp585",NA,3.29729733781018,14.0781811426557
"16",851,"Hunan","ukesm1-0-ll","ssp585",NA,6.33772794072424,16.7261143760076
"17",852,"Hunan","ukesm1-0-ll","ssp585",NA,6.43413066459938,16.6946354941716
"18",853,"Hunan","ukesm1-0-ll","ssp585",3.12,2.7468931191314,16.9603863186307
"19",854,"Hunan","ukesm1-0-ll","ssp585",3.12,5.33370305350088,18.9303582327707
"20",855,"Hunan","ukesm1-0-ll","ssp585",3.12,6.68791761567523,23.2848277137393
"21",856,"Hunan","ukesm1-0-ll","ssp585",3.12,8.969426814461,19.0987510802254
"22",857,"Hunan","ukesm1-0-ll","ssp585",3.12,3.16916486594242,21.6662254454598
"23",858,"Hunan","ukesm1-0-ll","ssp585",7.91285714285714,14.6347759460761,25.3412784515866
"24",859,"Hunan","ukesm1-0-ll","ssp585",9.83,5.70875517208671,24.847975606767
"25",860,"Hunan","ukesm1-0-ll","ssp585",9.83,11.4501849302737,24.9456111484104
"26",861,"Hunan","ukesm1-0-ll","ssp585",9.83,21.4632723715307,28.3624511113243
"27",862,"Hunan","ukesm1-0-ll","ssp585",9.42714285714286,10.3091313594567,24.902798377143
"28",863,"Hunan","ukesm1-0-ll","ssp585",8.89,2.1419907480127,26.2686141604469
"29",864,"Hunan","ukesm1-0-ll","ssp585",8.89,4.13888824572106,30.425545174735
"30",865,"Hunan","ukesm1-0-ll","ssp585",8.89,4.43864349229963,30.0989218333411
"31",866,"Hunan","ukesm1-0-ll","ssp585",8.89,8.2733614217042,29.6478212871249
"32",867,"Hunan","ukesm1-0-ll","ssp585",6.49,0.742918345187198,30.9515067933098
"33",868,"Hunan","ukesm1-0-ll","ssp585",6.49,1.3982353423931,30.6359836154514
"34",869,"Hunan","ukesm1-0-ll","ssp585",6.49,0.000316100730352836,24.8636224655878
"35",870,"Hunan","ukesm1-0-ll","ssp585",6.49,0.811605502472698,28.9091954428052
"36",871,"Hunan","ukesm1-0-ll","ssp585",6.49,2.5211676159805,29.1154804048084
"37",872,"Hunan","ukesm1-0-ll","ssp585",6.49,4.52663542356017,27.1980621822297
"38",873,"Hunan","ukesm1-0-ll","ssp585",6.49,2.68093674380257,26.0483679514083
"39",874,"Hunan","ukesm1-0-ll","ssp585",6.49,8.49346443305876,24.9520358857655
"40",875,"Hunan","ukesm1-0-ll","ssp585",5.64142857142857,3.3200482733134,18.9941483876062
"41",876,"Hunan","ukesm1-0-ll","ssp585",3.52,0.54215792323313,19.4429058619908
"42",877,"Hunan","ukesm1-0-ll","ssp585",3.52,0.00217752008211392,17.8533401004852
"43",878,"Hunan","ukesm1-0-ll","ssp585",3.52,0.436912468882968,17.3660002329993
"44",879,"Hunan","ukesm1-0-ll","ssp585",3.52,6.26515810345154,16.1127051217216
"45",880,"Hunan","ukesm1-0-ll","ssp585",3.52,3.62325448183713,17.2755756802029
"46",881,"Hunan","ukesm1-0-ll","ssp585",NA,3.46589662547428,11.1300859118265
"47",882,"Hunan","ukesm1-0-ll","ssp585",NA,0.00312253873744339,8.64888661702476
"48",883,"Hunan","ukesm1-0-ll","ssp585",NA,0.000653011414085216,8.02910324581088
"49",884,"Hunan","ukesm1-0-ll","ssp585",NA,0.00133798793545533,9.8847099909707
"50",885,"Hunan","ukesm1-0-ll","ssp585",NA,0.0299163096964808,8.91434455750483
"51",886,"Hunan","ukesm1-0-ll","ssp585",NA,0.298353129483075,10.8736088586232
"52",887,"Hunan","ukesm1-0-ll","ssp585",NA,4.09195587699937,13.5153817191957
"53",888,"Hunan","ukesm1-0-ll","ssp585",NA,2.4615539066677,10.3749731275771
"54",889,"Hunan","ukesm1-0-ll","ssp585",NA,1.04823979637721,6.51484160650346
"55",890,"Hunan","ukesm1-0-ll","ssp585",NA,10.9247302072033,6.73594055175784
"56",891,"Hunan","ukesm1-0-ll","ssp585",NA,5.52150536267878,1.79597056555372
"57",892,"Hunan","ukesm1-0-ll","ssp585",NA,0.662262789215414,1.04713731796025
"58",893,"Hunan","ukesm1-0-ll","ssp585",NA,0.00266405071930161,3.34117091345411
"59",894,"Hunan","ukesm1-0-ll","ssp585",NA,0,9.14971997700042
"60",895,"Hunan","ukesm1-0-ll","ssp585",NA,0.74010363042102,8.25292751978316
"61",896,"Hunan","ukesm1-0-ll","ssp585",NA,2.85299541392305,11.1645302061051
"62",897,"Hunan","ukesm1-0-ll","ssp585",NA,10.078864417801,9.31187555222287
"63",898,"Hunan","ukesm1-0-ll","ssp585",NA,2.60282421581905,10.2860515655033
"64",899,"Hunan","ukesm1-0-ll","ssp585",NA,3.8593258018279,14.5478795490568
"65",900,"Hunan","ukesm1-0-ll","ssp585",NA,7.2851465858743,12.7279379829528
"66",901,"Hunan","ukesm1-0-ll","ssp585",NA,2.88859794489196,15.0540823679122
"67",902,"Hunan","ukesm1-0-ll","ssp585",NA,9.26514529583723,20.1837617298914
"68",903,"Hunan","ukesm1-0-ll","ssp585",NA,3.00398166341438,13.5328045315213
"69",904,"Hunan","ukesm1-0-ll","ssp585",NA,0.00274845397793147,18.3962135436043
"70",905,"Hunan","ukesm1-0-ll","ssp585",NA,1.79603998210171,20.0145845685687
"71",906,"Hunan","ukesm1-0-ll","ssp585",1.35,6.16332082578473,21.6218606979128
"72",907,"Hunan","ukesm1-0-ll","ssp585",1.35,6.66509857459719,20.3617924402631
"73",908,"Hunan","ukesm1-0-ll","ssp585",1.35,7.86658411921703,21.2619925726028
"74",909,"Hunan","ukesm1-0-ll","ssp585",1.35,15.347163138722,22.255818939209
"75",910,"Hunan","ukesm1-0-ll","ssp585",2.73285714285714,11.7101057976925,24.0614595080179
"76",911,"Hunan","ukesm1-0-ll","ssp585",3.77,2.52591206783239,23.7918150281149
"77",912,"Hunan","ukesm1-0-ll","ssp585",3.77,4.91260562488865,27.3956126985096
"78",913,"Hunan","ukesm1-0-ll","ssp585",3.77,2.16382566734085,27.3159983317058
"79",914,"Hunan","ukesm1-0-ll","ssp585",4.29,9.0799618656482,27.4293849400112
