"","Week_index","Province","MOI"
"1",836,"Beijing",NA
"2",836,"Guangdong",NA
"3",836,"Guangxi",NA
"4",836,"Guizhou",NA
"5",836,"Hunan",NA
"6",837,"Beijing",NA
"7",837,"Guangdong",NA
"8",837,"Guangxi",NA
"9",837,"Guizhou",NA
"10",837,"Hunan",NA
"11",838,"Beijing",NA
"12",838,"Guangdong",NA
"13",838,"Guangxi",NA
"14",838,"Guizhou",NA
"15",838,"Hunan",NA
"16",839,"Beijing",NA
"17",839,"Guangdong",NA
"18",839,"Guangxi",NA
"19",839,"Guizhou",NA
"20",839,"Hunan",NA
"21",840,"Beijing",NA
"22",840,"Guangdong",NA
"23",840,"Guangxi",NA
"24",840,"Guizhou",NA
"25",840,"Hunan",NA
"26",841,"Beijing",NA
"27",841,"Guangdong",NA
"28",841,"Guangxi",NA
"29",841,"Guizhou",NA
"30",841,"Hunan",NA
"31",842,"Beijing",NA
"32",842,"Guangdong",NA
"33",842,"Guangxi",NA
"34",842,"Guizhou",NA
"35",842,"Hunan",NA
"36",843,"Beijing",NA
"37",843,"Guangdong",NA
"38",843,"Guangxi",NA
"39",843,"Guizhou",NA
"40",843,"Hunan",NA
"41",844,"Beijing",NA
"42",844,"Guangdong",NA
"43",844,"Guangxi",NA
"44",844,"Guizhou",NA
"45",844,"Hunan",NA
"46",845,"Beijing",NA
"47",845,"Guangdong",1.495327103
"48",845,"Guangxi",NA
"49",845,"Guizhou",NA
"50",845,"Hunan",NA
"51",846,"Beijing",NA
"52",846,"Guangdong",1.495327103
"53",846,"Guangxi",NA
"54",846,"Guizhou",NA
"55",846,"Hunan",NA
"56",847,"Beijing",NA
"57",847,"Guangdong",1.94926568728571
"58",847,"Guangxi",NA
"59",847,"Guizhou",NA
"60",847,"Hunan",NA
"61",848,"Beijing",NA
"62",848,"Guangdong",2.130841121
"63",848,"Guangxi",NA
"64",848,"Guizhou",NA
"65",848,"Hunan",NA
"66",849,"Beijing",NA
"67",849,"Guangdong",2.45126835757143
"68",849,"Guangxi",10.87837838
"69",849,"Guizhou",NA
"70",849,"Hunan",NA
"71",850,"Beijing",NA
"72",850,"Guangdong",2.878504673
"73",850,"Guangxi",10.87837838
"74",850,"Guizhou",NA
"75",850,"Hunan",NA
"76",851,"Beijing",NA
"77",851,"Guangdong",3.14552736985714
"78",851,"Guangxi",9.98648648771428
"79",851,"Guizhou",NA
"80",851,"Hunan",NA
"81",852,"Beijing",NA
"82",852,"Guangdong",3.813084112
"83",852,"Guangxi",7.756756757
"84",852,"Guizhou",NA
"85",852,"Hunan",NA
"86",853,"Beijing",NA
"87",853,"Guangdong",4.66755674214286
"88",853,"Guangxi",8.31081081171429
"89",853,"Guizhou",5.29
"90",853,"Hunan",3.12
"91",854,"Beijing",NA
"92",854,"Guangdong",9.794392523
"93",854,"Guangxi",11.63513514
"94",854,"Guizhou",5.29
"95",854,"Hunan",3.12
"96",855,"Beijing",NA
"97",855,"Guangdong",9.794392523
"98",855,"Guangxi",11.63513514
"99",855,"Guizhou",5.29
"100",855,"Hunan",3.12
"101",856,"Beijing",NA
"102",856,"Guangdong",8.485981308
"103",856,"Guangxi",18.06756757
"104",856,"Guizhou",5.29
"105",856,"Hunan",3.12
"106",857,"Beijing",NA
"107",857,"Guangdong",8.485981308
"108",857,"Guangxi",18.06756757
"109",857,"Guizhou",5.29
"110",857,"Hunan",3.12
"111",858,"Beijing",3.74
"112",858,"Guangdong",6.64352469942857
"113",858,"Guangxi",13.2027027057143
"114",858,"Guizhou",7.09
"115",858,"Hunan",7.91285714285714
"116",859,"Beijing",3.74
"117",859,"Guangdong",5.906542056
"118",859,"Guangxi",11.25675676
"119",859,"Guizhou",7.81
"120",859,"Hunan",9.83
"121",860,"Beijing",3.74
"122",860,"Guangdong",7.10280373828571
"123",860,"Guangxi",23.0405405428571
"124",860,"Guizhou",7.81
"125",860,"Hunan",9.83
"126",861,"Beijing",3.74
"127",861,"Guangdong",8
"128",861,"Guangxi",31.87837838
"129",861,"Guizhou",7.81
"130",861,"Hunan",9.83
"131",862,"Beijing",3.66714285714286
"132",862,"Guangdong",8.72096128185714
"133",862,"Guangxi",23.1216216242857
"134",862,"Guizhou",8.26428571428571
"135",862,"Hunan",9.42714285714286
"136",863,"Beijing",3.57
"137",863,"Guangdong",9.682242991
"138",863,"Guangxi",11.44594595
"139",863,"Guizhou",8.87
"140",863,"Hunan",8.89
"141",864,"Beijing",3.57
"142",864,"Guangdong",9.148197597
"143",864,"Guangxi",13.5810810842857
"144",864,"Guizhou",8.87
"145",864,"Hunan",8.89
"146",865,"Beijing",3.57
"147",865,"Guangdong",7.813084112
"148",865,"Guangxi",18.91891892
"149",865,"Guizhou",8.87
"150",865,"Hunan",8.89
"151",866,"Beijing",3.57
"152",866,"Guangdong",7.813084112
"153",866,"Guangxi",18.91891892
"154",866,"Guizhou",8.87
"155",866,"Hunan",8.89
"156",867,"Beijing",4.87
"157",867,"Guangdong",5.943925234
"158",867,"Guangxi",11.25675676
"159",867,"Guizhou",11.03
"160",867,"Hunan",6.49
"161",868,"Beijing",4.87
"162",868,"Guangdong",5.943925234
"163",868,"Guangxi",11.25675676
"164",868,"Guizhou",11.03
"165",868,"Hunan",6.49
"166",869,"Beijing",4.87
"167",869,"Guangdong",6.20026702257143
"168",869,"Guangxi",12.9594594571429
"169",869,"Guizhou",11.03
"170",869,"Hunan",6.49
"171",870,"Beijing",4.87
"172",870,"Guangdong",6.242990654
"173",870,"Guangxi",13.24324324
"174",870,"Guizhou",11.03
"175",870,"Hunan",6.49
"176",871,"Beijing",5.44142857142857
"177",871,"Guangdong",6.09345794371429
"178",871,"Guangxi",7.72972972857143
"179",871,"Guizhou",9.89857142857143
"180",871,"Hunan",6.49
"181",872,"Beijing",5.87
"182",872,"Guangdong",5.981308411
