lat,lon,ref_lat,ref_lon
46.6,12.4,46.75,12.25
46.5,12.4,46.75,12.25
46.5,12.5,46.75,12.75
46.4,12,46.25,11.75
46.4,12.1,46.25,12.25
46.4,12.4,46.25,12.25
46.3,12,46.25,11.75
46.3,12.2,46.25,12.25
46.2,8.9,46.25,8.75
46.2,12.2,46.25,12.25
46.1,12.2,46.25,12.25
46,9,46.25,9.25
46,11.9,46.25,11.75
45.9,9,45.75,8.75
45.8,9,45.75,8.75
45.7,12.2,45.75,12.25
45.7,12.4,45.75,12.25
45.7,12.5,45.75,12.25
45.5,11.3,45.75,11.25
45.5,11.4,45.75,11.25
45.5,12.2,45.75,12.25
45.5,12.3,45.75,12.25
45.1,9.6,45.25,9.75
45.1,9.7,45.25,9.75
45,9.7,45.25,9.75
45,9.8,45.25,9.75
44.9,11.6,44.75,11.75
44.9,11.7,44.75,11.75
44.8,10.3,44.75,10.25
44.8,10.4,44.75,10.25
44.8,10.6,44.75,10.75
44.8,11.5,44.75,11.75
44.8,11.6,44.75,11.75
44.8,11.7,44.75,11.75
44.7,10.5,44.75,10.25
44.7,10.6,44.75,10.75
44.7,10.7,44.75,10.75
44.7,10.9,44.75,10.75
44.7,11,44.75,11.25
44.6,10.8,44.75,10.75
44.6,10.9,44.75,10.75
44.6,11,44.75,11.25
44.6,11.4,44.75,11.25
44.5,11.3,44.75,11.25
44.5,11.4,44.75,11.25
44.5,12.3,44.75,12.25
44.4,12.2,44.25,12.25
44.3,12,44.25,11.75
44.3,12.1,44.25,12.25
44.3,12.3,44.25,12.25
44.2,12,44.25,12.25
44.2,12.1,44.25,12.25
44.2,12.2,44.25,12.25
44.2,12.3,44.25,12.25
44.2,12.4,44.25,12.25
44.1,10.8,44.25,10.75
44.1,12.2,44.25,12.25
44.1,12.3,44.25,12.25
44.1,12.5,44.25,12.25
44.1,12.6,44.25,12.75
44,11.4,44.25,11.25
44,12.5,44.25,12.75
44,12.6,44.25,12.75
43.9,10.7,43.75,10.75
43.9,10.9,43.75,10.75
43.9,11.1,43.75,11.25
43.8,11.2,43.75,11.25
43.8,11.3,43.75,11.25
43.7,7.3,43.75,7.25
43.7,10.8,43.75,10.75
43.7,10.9,43.75,10.75
43.7,11.3,43.75,11.25
43.6,11.5,43.75,11.75
43.3,11.3,43.25,11.25
43.3,11.4,43.25,11.25
43,10.6,43.25,10.75
42.9,10.5,42.75,10.75
42.8,11.1,42.75,11.25
42.6,13,42.75,12.75
42.5,12.9,42.75,12.75
42.4,12.9,42.25,12.75
42.3,12.7,42.25,12.75
42.2,12.6,42.25,12.75
42.1,11.8,42.25,11.75
42.1,12.2,42.25,12.25
42.1,12.6,42.25,12.75
42,12.8,42.25,12.75
41.9,12.2,41.75,12.25
41.9,12.3,41.75,12.25
41.9,12.5,41.75,12.75
41.9,12.6,41.75,12.75
41.9,12.7,41.75,12.75
41.9,12.9,41.75,12.75
41.9,13,41.75,12.75
41.9,13.2,41.75,13.25
41.8,12.5,41.75,12.75
41.8,12.6,41.75,12.75
41.8,12.7,41.75,12.75
41.8,12.8,41.75,12.75
41.8,12.9,41.75,12.75
41.8,13,41.75,12.75
41.8,13.2,41.75,13.25
41.8,19.6,41.75,19.75
41.7,12.5,41.75,12.25
41.7,12.6,41.75,12.75
41.6,12.5,41.75,12.25
41.6,12.6,41.75,12.75
41.6,12.7,41.75,12.75
41.6,12.8,41.75,12.75
41.6,13.3,41.75,13.25
41.6,13.4,41.75,13.25
41.5,12.6,41.75,12.75
41.5,12.7,41.75,12.75
41.5,12.9,41.75,12.75
41.4,12.6,41.25,12.75
41.4,13,41.25,13.25
41.4,13.4,41.25,13.25
41.3,13,41.25,12.75
41.3,13.2,41.25,13.25
41.3,13.3,41.25,13.25
41.3,13.6,41.25,13.75
41.3,19.8,41.25,19.75
41.3,19.9,41.25,19.75
41.2,16.7,41.25,16.75
41.2,19.5,41.25,19.25
41.1,16.8,41.25,16.75
41.1,16.9,41.25,16.75
41.1,17,41.25,17.25
41,16.8,41.25,16.75
40.9,19.6,40.75,19.75
40.7,19.6,40.75,19.75
40.5,19.5,40.75,19.25
40.2,19.6,40.25,19.75
38.1,13.3,38.25,13.25
46.1,11.1,46.25,11.25
46,11.1,46.25,11.25
46,10.9,46.25,10.75
46,11,46.25,10.75
45.9,10.7,45.75,10.75
45.9,10.8,45.75,10.75
45.9,10.9,45.75,10.75
45.9,11,45.75,10.75
45.9,11.1,45.75,11.25
45.8,10.8,45.75,10.75
45.8,10.9,45.75,10.75
45.8,11,45.75,11.25
45.7,10.9,45.75,10.75
45.7,11,45.75,11.25
45.7,11.1,45.75,11.25
