"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",732,"Cote Azur","gfdl-esm4","ssp126",0,0,5.20478864397324
"2",733,"Cote Azur","gfdl-esm4","ssp126",0,3.53258206908192,2.3564392089844
"3",734,"Cote Azur","gfdl-esm4","ssp126",0,0.615183367751472,5.64874529157368
"4",735,"Cote Azur","gfdl-esm4","ssp126",0,5.83859627388717,5.8061462402344
"5",736,"Cote Azur","gfdl-esm4","ssp126",0,0,3.15316598074779
"6",737,"Cote Azur","gfdl-esm4","ssp126",0,0.0419232622724459,3.06512276785717
"7",738,"Cote Azur","gfdl-esm4","ssp126",0,4.02496253643351,3.41688581194199
"8",739,"Cote Azur","gfdl-esm4","ssp126",0,3.7643829820029,2.04818115234377
"9",740,"Cote Azur","gfdl-esm4","ssp126",0,2.14257554595991,4.0686235700335
"10",741,"Cote Azur","gfdl-esm4","ssp126",NA,0.704918750852812,5.67414463588172
"11",742,"Cote Azur","gfdl-esm4","ssp126",NA,0.671107958935733,8.18214024135047
"12",743,"Cote Azur","gfdl-esm4","ssp126",NA,0,10.4388323102679
"13",744,"Cote Azur","gfdl-esm4","ssp126",NA,9.02536976916183,9.69907313755583
"14",745,"Cote Azur","gfdl-esm4","ssp126",NA,2.23381912718261,11.5157366071429
"15",746,"Cote Azur","gfdl-esm4","ssp126",NA,0.338793397947614,10.4562142508371
"16",747,"Cote Azur","gfdl-esm4","ssp126",NA,0.754303981375415,10.5425354003906
"17",748,"Cote Azur","gfdl-esm4","ssp126",0,1.51998553192243,13.6510035923549
"18",749,"Cote Azur","gfdl-esm4","ssp126",0,10.1361617520784,12.4990958077567
"19",750,"Cote Azur","gfdl-esm4","ssp126",0,1.24326889802303,15.3803867885045
"20",751,"Cote Azur","gfdl-esm4","ssp126",0,1.72999234969861,15.7517944335938
"21",752,"Cote Azur","gfdl-esm4","ssp126",0,6.84216083339249,16.4667820521764
"22",753,"Cote Azur","gfdl-esm4","ssp126",0,2.74157523609964,17.9648202078683
"23",754,"Cote Azur","gfdl-esm4","ssp126",5.5,1.84233543196959,15.0932817731585
"24",755,"Cote Azur","gfdl-esm4","ssp126",4.5,2.28115302909698,17.7517333984375
"25",756,"Cote Azur","gfdl-esm4","ssp126",6,1.24869821593165,20.273091343471
"26",757,"Cote Azur","gfdl-esm4","ssp126",3.5,0,21.3713579450335
"27",758,"Cote Azur","gfdl-esm4","ssp126",51,0.875711098446378,21.1996747698103
"28",759,"Cote Azur","gfdl-esm4","ssp126",57,0,23.8354431152344
"29",760,"Cote Azur","gfdl-esm4","ssp126",58,0,25.1894906180246
"30",761,"Cote Azur","gfdl-esm4","ssp126",55.5,0,24.6979439871652
"31",762,"Cote Azur","gfdl-esm4","ssp126",184.5,0,23.6617457798549
"32",763,"Cote Azur","gfdl-esm4","ssp126",173,0,25.0191240583148
"33",764,"Cote Azur","gfdl-esm4","ssp126",159,0,24.2712559291295
"34",765,"Cote Azur","gfdl-esm4","ssp126",169,1.40763701217241,22.9012172154018
"35",766,"Cote Azur","gfdl-esm4","ssp126",62,1.17923676319021,21.7813398088728
"36",767,"Cote Azur","gfdl-esm4","ssp126",63.5,0.452478587560888,22.2714085170201
"37",768,"Cote Azur","gfdl-esm4","ssp126",76,0.830007514118084,20.5690900530134
"38",769,"Cote Azur","gfdl-esm4","ssp126",74,3.25740932000502,21.0213387625558
"39",770,"Cote Azur","gfdl-esm4","ssp126",13,0.131569154992966,21.081929234096
"40",771,"Cote Azur","gfdl-esm4","ssp126",24.5,5.46566751914465,19.8859933035714
"41",772,"Cote Azur","gfdl-esm4","ssp126",22.5,0.977371396480261,19.8678440638951
"42",773,"Cote Azur","gfdl-esm4","ssp126",22.5,26.0348951211199,18.5755161830357
"43",774,"Cote Azur","gfdl-esm4","ssp126",0,5.0771591114296,14.1224783761161
"44",775,"Cote Azur","gfdl-esm4","ssp126",0,0,11.5751325334822
