"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Emilia-Romagna","gfdl-esm4","ssp126",0,0.84846437035984,6.20751805986679
"2",524,"Emilia-Romagna","gfdl-esm4","ssp126",0,0,4.85308990478518
"3",525,"Emilia-Romagna","gfdl-esm4","ssp126",0,0.019907755787634,4.10659751892092
"4",526,"Emilia-Romagna","gfdl-esm4","ssp126",0,1.45532552524596,4.43514540536065
"5",527,"Emilia-Romagna","gfdl-esm4","ssp126",0,4.5667918899978,7.17166508265907
"6",528,"Emilia-Romagna","gfdl-esm4","ssp126",0,1.1908208208037,7.53026869637628
"7",529,"Emilia-Romagna","gfdl-esm4","ssp126",0,0.068513784425964,4.45677937098914
"8",530,"Emilia-Romagna","gfdl-esm4","ssp126",0,0.00883844677446178,7.26572897774835
"9",531,"Emilia-Romagna","gfdl-esm4","ssp126",0,0.476967021099232,8.79320624215265
"10",532,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.108296246389728,5.77746244158066
"11",533,"Emilia-Romagna","gfdl-esm4","ssp126",NA,1.70580927296799,9.01389192853657
"12",534,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.206190537145241,6.310383278983
"13",535,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.101702767727017,11.9131264277867
"14",536,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.544552596543976,13.3861990247454
"15",537,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.652184596109301,15.9584439413889
"16",538,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.255565629400475,15.9650640760149
"17",539,"Emilia-Romagna","gfdl-esm4","ssp126",NA,5.75983518888603,15.4699591500419
"18",540,"Emilia-Romagna","gfdl-esm4","ssp126",NA,0.734568200420783,11.7163885934013
"19",541,"Emilia-Romagna","gfdl-esm4","ssp126",NA,1.49324554601143,16.7496028900147
"20",542,"Emilia-Romagna","gfdl-esm4","ssp126",21.125,0.292337124268929,17.995403453282
"21",543,"Emilia-Romagna","gfdl-esm4","ssp126",23.8125,3.20802647986836,18.8957145145962
"22",544,"Emilia-Romagna","gfdl-esm4","ssp126",38.90625,0,22.448119190761
"23",545,"Emilia-Romagna","gfdl-esm4","ssp126",41.0625,2.62259535898011,19.9424906049456
"24",546,"Emilia-Romagna","gfdl-esm4","ssp126",89.59375,1.43105728847266,19.2281517573766
"25",547,"Emilia-Romagna","gfdl-esm4","ssp126",91.875,0.565479830714009,24.8745701926095
"26",548,"Emilia-Romagna","gfdl-esm4","ssp126",130.25,0.0482653868013066,25.2494246891567
"27",549,"Emilia-Romagna","gfdl-esm4","ssp126",133.40625,0.0545737088032183,24.7597377232143
"28",550,"Emilia-Romagna","gfdl-esm4","ssp126",96.40625,2.63198831583265,21.9623910631453
"29",551,"Emilia-Romagna","gfdl-esm4","ssp126",94.875,0,27.3285600389753
"30",552,"Emilia-Romagna","gfdl-esm4","ssp126",76.5625,0.00170566631173383,26.2598110198975
"31",553,"Emilia-Romagna","gfdl-esm4","ssp126",76.03125,0,29.3996649060931
"32",554,"Emilia-Romagna","gfdl-esm4","ssp126",161.25,0.285218615785457,27.3759443010603
"33",555,"Emilia-Romagna","gfdl-esm4","ssp126",159.46875,0,29.3389545440674
"34",556,"Emilia-Romagna","gfdl-esm4","ssp126",111.03125,0.246219744803966,26.5487416403634
