"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Lushnje","gfdl-esm4","ssp126",0,4.16004788671022,8.91887381417413
"2",1046,"Lushnje","gfdl-esm4","ssp126",0,7.69246247863131,2.06065848214288
"3",1047,"Lushnje","gfdl-esm4","ssp126",0,3.6481753535814,3.74015851702011
"4",1048,"Lushnje","gfdl-esm4","ssp126",0,0.015172403332794,7.71821201869422
"5",1049,"Lushnje","gfdl-esm4","ssp126",0,3.56178795752515,8.71577497209824
"6",1050,"Lushnje","gfdl-esm4","ssp126",0,10.4447626881925,8.63481619698663
"7",1051,"Lushnje","gfdl-esm4","ssp126",0,1.51971670295877,11.0712524414063
"8",1052,"Lushnje","gfdl-esm4","ssp126",0,0.860446126067213,7.62939278738842
"9",1053,"Lushnje","gfdl-esm4","ssp126",0,0,6.37531651088172
"10",1054,"Lushnje","gfdl-esm4","ssp126",NA,0,10.2841561453683
"11",1055,"Lushnje","gfdl-esm4","ssp126",NA,2.29028514534418,11.4152945382255
"12",1056,"Lushnje","gfdl-esm4","ssp126",NA,0.875225157610008,12.6898786272322
"13",1057,"Lushnje","gfdl-esm4","ssp126",NA,2.3299030456006,15.0556492396764
"14",1058,"Lushnje","gfdl-esm4","ssp126",NA,1.24821245611072,16.3046988351005
"15",1059,"Lushnje","gfdl-esm4","ssp126",NA,1.63908197438494,16.6094996861049
"16",1060,"Lushnje","gfdl-esm4","ssp126",NA,9.15036794613115,15.5965427943639
"17",1061,"Lushnje","gfdl-esm4","ssp126",NA,3.29542173546672,15.2961495535715
"18",1062,"Lushnje","gfdl-esm4","ssp126",NA,1.06922439632139,18.1264848981585
"19",1063,"Lushnje","gfdl-esm4","ssp126",NA,0,21.4872244698661
"20",1064,"Lushnje","gfdl-esm4","ssp126",NA,0.0556787638093478,20.0313310895648
"21",1065,"Lushnje","gfdl-esm4","ssp126",NA,0,24.2750880650112
"22",1066,"Lushnje","gfdl-esm4","ssp126",NA,0,23.9578665597098
"23",1067,"Lushnje","gfdl-esm4","ssp126",NA,1.20186012791237,22.478169468471
"24",1068,"Lushnje","gfdl-esm4","ssp126",NA,0.241858102214922,21.400524030413
"25",1069,"Lushnje","gfdl-esm4","ssp126",NA,0.14928701275494,25.5547293526786
"26",1070,"Lushnje","gfdl-esm4","ssp126",NA,2.45055866377827,25.001114327567
"27",1071,"Lushnje","gfdl-esm4","ssp126",NA,0.540218995385138,25.0221583775112
"28",1072,"Lushnje","gfdl-esm4","ssp126",NA,0.193941835771381,22.965482875279
"29",1073,"Lushnje","gfdl-esm4","ssp126",NA,0,25.6762154715402
"30",1074,"Lushnje","gfdl-esm4","ssp126",NA,0,25.8813895089286
