"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",732,"Tirane","gfdl-esm4","ssp370",0,0.18708677297192,4.42630266462056
"2",733,"Tirane","gfdl-esm4","ssp370",0,3.80193497278794,7.11711382184712
"3",734,"Tirane","gfdl-esm4","ssp370",0,3.53193191778181,4.92959202357703
"4",735,"Tirane","gfdl-esm4","ssp370",0,3.84629017457233,7.19305027553016
"5",736,"Tirane","gfdl-esm4","ssp370",0,1.37396802339416,7.24124189104355
"6",737,"Tirane","gfdl-esm4","ssp370",0,1.64258652013294,4.98287789481029
"7",738,"Tirane","gfdl-esm4","ssp370",0,6.52695719665124,7.31886335100449
"8",739,"Tirane","gfdl-esm4","ssp370",0,3.6391455699881,5.65296979631699
"9",740,"Tirane","gfdl-esm4","ssp370",0,2.27917954414027,7.35805664062503
"10",741,"Tirane","gfdl-esm4","ssp370",NA,7.9366099714077,10.5355817522322
"11",742,"Tirane","gfdl-esm4","ssp370",NA,1.64578691926311,8.89373822893418
"12",743,"Tirane","gfdl-esm4","ssp370",NA,2.62552783159273,9.35228663853239
"13",744,"Tirane","gfdl-esm4","ssp370",NA,5.457993228213,11.3672184535436
"14",745,"Tirane","gfdl-esm4","ssp370",NA,3.31513361431592,14.8787170410157
"15",746,"Tirane","gfdl-esm4","ssp370",NA,4.87923220831103,12.4639417375838
"16",747,"Tirane","gfdl-esm4","ssp370",NA,2.5592976081368,12.1865456717355
"17",748,"Tirane","gfdl-esm4","ssp370",NA,0,14.6880257742746
"18",749,"Tirane","gfdl-esm4","ssp370",NA,1.49066358031372,17.4249686104911
"19",750,"Tirane","gfdl-esm4","ssp370",NA,1.58003725809977,18.246719796317
"20",751,"Tirane","gfdl-esm4","ssp370",NA,5.49796447199436,18.3877415248326
"21",752,"Tirane","gfdl-esm4","ssp370",0,6.30610777064119,18.7558903285436
"22",753,"Tirane","gfdl-esm4","ssp370",10,0.364747102815142,20.0318215506418
"23",754,"Tirane","gfdl-esm4","ssp370",0,0.557998527490001,20.6674089704241
"24",755,"Tirane","gfdl-esm4","ssp370",43.5,0.0331151096231354,22.925921194894
"25",756,"Tirane","gfdl-esm4","ssp370",37.5,0,24.4136749267578
"26",757,"Tirane","gfdl-esm4","ssp370",26,0,26.5104352678572
"27",758,"Tirane","gfdl-esm4","ssp370",26,0,25.631236921038
"28",759,"Tirane","gfdl-esm4","ssp370",281,0,26.449600655692
"29",760,"Tirane","gfdl-esm4","ssp370",542.5,0,27.1749882289341
"30",761,"Tirane","gfdl-esm4","ssp370",295,0,27.8941349574498
"31",762,"Tirane","gfdl-esm4","ssp370",68,0,26.9675994873047
"32",763,"Tirane","gfdl-esm4","ssp370",640.5,0,27.4905792236328
"33",764,"Tirane","gfdl-esm4","ssp370",680.25,0,27.8806941441127
"34",765,"Tirane","gfdl-esm4","ssp370",701,0,28.8470899309431
"35",766,"Tirane","gfdl-esm4","ssp370",1047.5,0.739495392398177,27.576063319615
"36",767,"Tirane","gfdl-esm4","ssp370",221,0.862561167195963,25.1645403180804
"37",768,"Tirane","gfdl-esm4","ssp370",260,1.68577555034842,23.2952209472656
"38",769,"Tirane","gfdl-esm4","ssp370",321.5,0.347291505542151,22.2008649553572
"39",770,"Tirane","gfdl-esm4","ssp370",310,0,21.1715680803571
"40",771,"Tirane","gfdl-esm4","ssp370",224.5,1.40482078672254,20.9088793073382
"41",772,"Tirane","gfdl-esm4","ssp370",433.5,1.33047159179114,20.4344508579799
"42",773,"Tirane","gfdl-esm4","ssp370",337.75,1.71248332621222,18.6978284563338
"43",774,"Tirane","gfdl-esm4","ssp370",166.5,8.13902906011208,16.1491224016462
"44",775,"Tirane","gfdl-esm4","ssp370",14,9.25250654446635,12.1250505719866
"45",776,"Tirane","gfdl-esm4","ssp370",7,3.90572931085314,14.947638811384
"46",777,"Tirane","gfdl-esm4","ssp370",7,1.20461120394403,12.9431287493024
"47",778,"Tirane","gfdl-esm4","ssp370",7,0.119321705642505,8.95884966169087
"48",779,"Tirane","gfdl-esm4","ssp370",7,0.0082362898215901,8.43632768903463
"49",780,"Tirane","gfdl-esm4","ssp370",0,1.3098313030371,11.0920458112444
"50",781,"Tirane","gfdl-esm4","ssp370",0,5.14391951996264,8.9892756870815
