"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Fier","gfdl-esm4","ssp585",0,5.74929194886603,9.71241803850449
"2",1046,"Fier","gfdl-esm4","ssp585",0,6.66997655851966,9.70603114536833
"3",1047,"Fier","gfdl-esm4","ssp585",0,0.175132480217144,9.03613978794645
"4",1048,"Fier","gfdl-esm4","ssp585",0,6.38459086268475,10.6714939662389
"5",1049,"Fier","gfdl-esm4","ssp585",0,1.67962455057672,10.7923217773438
"6",1050,"Fier","gfdl-esm4","ssp585",0,2.31752524549457,6.11460920061386
"7",1051,"Fier","gfdl-esm4","ssp585",0,1.71397434189982,9.53273925781252
"8",1052,"Fier","gfdl-esm4","ssp585",0,1.82578311152091,11.1895342145648
"9",1053,"Fier","gfdl-esm4","ssp585",0,3.85361731439064,11.2971566336496
"10",1054,"Fier","gfdl-esm4","ssp585",NA,1.59906374236536,11.182502092634
"11",1055,"Fier","gfdl-esm4","ssp585",NA,4.62249231391719,9.66875610351565
"12",1056,"Fier","gfdl-esm4","ssp585",NA,3.16606909618713,10.2204049246652
"13",1057,"Fier","gfdl-esm4","ssp585",NA,0.499322619621775,11.1143040248326
"14",1058,"Fier","gfdl-esm4","ssp585",NA,1.85643582122533,14.0020080566406
"15",1059,"Fier","gfdl-esm4","ssp585",NA,0.33189195590759,16.8081080845424
"16",1060,"Fier","gfdl-esm4","ssp585",NA,1.29059515519267,15.7749311174665
"17",1061,"Fier","gfdl-esm4","ssp585",NA,5.08519383355243,14.0946855817523
"18",1062,"Fier","gfdl-esm4","ssp585",NA,2.15488806965628,13.9764910016741
"19",1063,"Fier","gfdl-esm4","ssp585",NA,7.07491705875977,15.5628339494978
"20",1064,"Fier","gfdl-esm4","ssp585",NA,5.42713545749263,17.3907366071429
"21",1065,"Fier","gfdl-esm4","ssp585",NA,1.9949719991668,18.942777797154
"22",1066,"Fier","gfdl-esm4","ssp585",0,2.28926898645503,19.8385646275112
"23",1067,"Fier","gfdl-esm4","ssp585",0,0,23.0663827078683
"24",1068,"Fier","gfdl-esm4","ssp585",2,0,24.7112845284598
"25",1069,"Fier","gfdl-esm4","ssp585",0,0.0151841539003986,25.3216927664621
"26",1070,"Fier","gfdl-esm4","ssp585",8.5,0,27.5664350237165
"27",1071,"Fier","gfdl-esm4","ssp585",20,0.0400410848669708,24.3511945452009
"28",1072,"Fier","gfdl-esm4","ssp585",7,0.959756404595932,24.8259565080915
"29",1073,"Fier","gfdl-esm4","ssp585",63,0.03665889993759,27.0307992117746
"30",1074,"Fier","gfdl-esm4","ssp585",41,0,25.5553658621652
"31",1075,"Fier","gfdl-esm4","ssp585",93,0,25.274556187221
"32",1076,"Fier","gfdl-esm4","ssp585",22,0,27.1324358258929
"33",1077,"Fier","gfdl-esm4","ssp585",67,0,25.6107988630023
"34",1078,"Fier","gfdl-esm4","ssp585",85,1.056340924697,24.019189453125
"35",1079,"Fier","gfdl-esm4","ssp585",151,0,26.2751796177456
"36",1080,"Fier","gfdl-esm4","ssp585",189,0.140718511205965,26.1483572823661
"37",1081,"Fier","gfdl-esm4","ssp585",88,0.119353286520761,23.9526262555804
"38",1082,"Fier","gfdl-esm4","ssp585",42,0.0362933526048437,23.2005031040737
"39",1083,"Fier","gfdl-esm4","ssp585",55,0.152006518432505,24.5683707101005
"40",1084,"Fier","gfdl-esm4","ssp585",25,0.622672383074782,22.859769984654
"41",1085,"Fier","gfdl-esm4","ssp585",25,8.74241057255339,20.3389526367188
"42",1086,"Fier","gfdl-esm4","ssp585",2,8.82470091164578,19.2200779506139
"43",1087,"Fier","gfdl-esm4","ssp585",1,7.92996460305793,16.9415876116072
"44",1088,"Fier","gfdl-esm4","ssp585",0,10.2759312260397,17.6770307268415
"45",1089,"Fier","gfdl-esm4","ssp585",0,0.191010233330806,9.06749005998886
"46",1090,"Fier","gfdl-esm4","ssp585",0,4.53030023989933,10.625390625
"47",1091,"Fier","gfdl-esm4","ssp585",0,0.294774952219866,14.1406450544085
"48",1092,"Fier","gfdl-esm4","ssp585",0,1.09635643727545,10.1981924874442
"49",1093,"Fier","gfdl-esm4","ssp585",0,20.2629688960899,11.1571637834822
"50",1094,"Fier","gfdl-esm4","ssp585",0,8.69426446983458,12.0088047572545
"51",1095,"Fier","gfdl-esm4","ssp585",0,6.22000201214437,6.13788975306922
"52",1096,"Fier","gfdl-esm4","ssp585",0,1.97222657672163,9.17750156947547
"53",1097,"Fier","gfdl-esm4","ssp585",0,0.262492873506354,6.53583025251118
"54",1098,"Fier","gfdl-esm4","ssp585",0,1.03020348636034,4.47547956194199
"55",1099,"Fier","gfdl-esm4","ssp585",0,10.732834706349,9.33762294224333
"56",1100,"Fier","gfdl-esm4","ssp585",0,6.16993857713948,5.71131504603797
"57",1101,"Fier","gfdl-esm4","ssp585",0,9.81048805229615,10.4712201799665
"58",1102,"Fier","gfdl-esm4","ssp585",0,5.18341697970754,9.81114676339288
"59",1103,"Fier","gfdl-esm4","ssp585",0,5.27965165030245,9.7593453543527
"60",1104,"Fier","gfdl-esm4","ssp585",0,10.9057724376076,9.29602312360493
"61",1105,"Fier","gfdl-esm4","ssp585",0,10.6297610061509,11.9069196428572
"62",1106,"Fier","gfdl-esm4","ssp585",NA,0,13.8096862792969
"63",1107,"Fier","gfdl-esm4","ssp585",NA,0.548616292819913,10.9792506626674
"64",1108,"Fier","gfdl-esm4","ssp585",NA,1.29395241050848,12.9221871512277
"65",1109,"Fier","gfdl-esm4","ssp585",NA,4.11818734137341,11.8480032784598
"66",1110,"Fier","gfdl-esm4","ssp585",NA,1.2719829577171,12.1255214146206
"67",1111,"Fier","gfdl-esm4","ssp585",NA,0.214605530241637,14.3424970354353
"68",1112,"Fier","gfdl-esm4","ssp585",NA,0.74326958238089,14.5453996930804
"69",1113,"Fier","gfdl-esm4","ssp585",NA,2.05886558563049,16.8222420828683
"70",1114,"Fier","gfdl-esm4","ssp585",NA,3.56614815058752,15.9986947195871
"71",1115,"Fier","gfdl-esm4","ssp585",0,6.04370262507083,16.2040169852121
"72",1116,"Fier","gfdl-esm4","ssp585",0,3.7656681270164,17.7415710449219
"73",1117,"Fier","gfdl-esm4","ssp585",0,0.498750998147963,20.6530875069755
"74",1118,"Fier","gfdl-esm4","ssp585",0,0.424364123942463,22.1704476492746
"75",1119,"Fier","gfdl-esm4","ssp585",0,2.8810231929778,21.2643371582031
"76",1120,"Fier","gfdl-esm4","ssp585",112,0.76543440975781,22.4262285505023
"77",1121,"Fier","gfdl-esm4","ssp585",5,0.0152981515254526,23.9188868931362
"78",1122,"Fier","gfdl-esm4","ssp585",72,0.183778259919823,25.4514142717634
"79",1123,"Fier","gfdl-esm4","ssp585",NA,0.159761777987504,27.1749119349889
"80",1124,"Fier","gfdl-esm4","ssp585",88,1.87060614979211,26.7032845633371
"81",1125,"Fier","gfdl-esm4","ssp585",5,0.379153855776946,26.404434640067
"82",1126,"Fier","gfdl-esm4","ssp585",15,0,24.0783150809152
"83",1127,"Fier","gfdl-esm4","ssp585",20,0.0153159962792415,23.5763532366072
"84",1128,"Fier","gfdl-esm4","ssp585",29,0.623985774914867,26.2853899274554
"85",1129,"Fier","gfdl-esm4","ssp585",8,0.123985669259647,26.9720092773438
"86",1130,"Fier","gfdl-esm4","ssp585",26,11.7024824297654,23.8111206054688
"87",1131,"Fier","gfdl-esm4","ssp585",24,3.14204034449566,22.2554347446987
"88",1132,"Fier","gfdl-esm4","ssp585",186,0.494520114651615,23.6287562779018
"89",1133,"Fier","gfdl-esm4","ssp585",NA,0.0385129133064765,24.5578377859933
"90",1134,"Fier","gfdl-esm4","ssp585",66,0,22.4191441127232
"91",1135,"Fier","gfdl-esm4","ssp585",160,2.19052164627231,20.5025312151228
"92",1136,"Fier","gfdl-esm4","ssp585",NA,6.59247131885162,21.4363473074777
"93",1137,"Fier","gfdl-esm4","ssp585",NA,7.18214496768529,19.7408865792411
"94",1138,"Fier","gfdl-esm4","ssp585",NA,0.0222741929714435,16.7784798758371
"95",1139,"Fier","gfdl-esm4","ssp585",NA,0.236365268938243,7.87145821707592
"96",1140,"Fier","gfdl-esm4","ssp585",NA,2.81109541501792,14.2588832310268
"97",1141,"Fier","gfdl-esm4","ssp585",0,1.50533418221,16.0842311314174
"98",1142,"Fier","gfdl-esm4","ssp585",0,2.35263145259523,16.0659859793527
"99",1143,"Fier","gfdl-esm4","ssp585",0,7.41198820854022,15.1138331821987
