"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1097,"Lezhe","gfdl-esm4","ssp585",0,0.275455688824877,3.80087977818083
"2",1098,"Lezhe","gfdl-esm4","ssp585",0,1.65749641600996,1.43506556919645
"3",1099,"Lezhe","gfdl-esm4","ssp585",0,17.5941735156812,6.312153843471
"4",1100,"Lezhe","gfdl-esm4","ssp585",0,7.87828244668032,2.4914751325335
"5",1101,"Lezhe","gfdl-esm4","ssp585",0,13.9982794444742,7.21268397739958
"6",1102,"Lezhe","gfdl-esm4","ssp585",0,5.72769167494179,7.80891898018975
"7",1103,"Lezhe","gfdl-esm4","ssp585",0,5.49925441321518,7.60257655552458
"8",1104,"Lezhe","gfdl-esm4","ssp585",0,12.2077571174097,6.2783142089844
"9",1105,"Lezhe","gfdl-esm4","ssp585",0,14.4469381742445,10.0191066196987
"10",1106,"Lezhe","gfdl-esm4","ssp585",NA,0.212586290477442,12.6331377301898
"11",1107,"Lezhe","gfdl-esm4","ssp585",NA,2.89591267761093,8.40052403041297
"12",1108,"Lezhe","gfdl-esm4","ssp585",NA,2.53643227208938,11.2829877580915
"13",1109,"Lezhe","gfdl-esm4","ssp585",NA,6.9677461570661,10.6556771414621
"14",1110,"Lezhe","gfdl-esm4","ssp585",NA,3.04130504373461,10.9682556152344
"15",1111,"Lezhe","gfdl-esm4","ssp585",NA,0.0193242069404472,13.3041974748884
"16",1112,"Lezhe","gfdl-esm4","ssp585",NA,1.80874936299265,13.3543422154018
"17",1113,"Lezhe","gfdl-esm4","ssp585",NA,4.27005146380647,15.8091979980469
"18",1114,"Lezhe","gfdl-esm4","ssp585",NA,3.4322282337858,14.8376491001674
"19",1115,"Lezhe","gfdl-esm4","ssp585",NA,7.33002674782516,15.1855712890625
"20",1116,"Lezhe","gfdl-esm4","ssp585",NA,5.58978932884721,17.1196533203125
"21",1117,"Lezhe","gfdl-esm4","ssp585",NA,0.974635863219321,20.1201808384487
"22",1118,"Lezhe","gfdl-esm4","ssp585",NA,0.484272104222327,21.3466125488281
"23",1119,"Lezhe","gfdl-esm4","ssp585",NA,5.0179682441272,20.1362374441964
"24",1120,"Lezhe","gfdl-esm4","ssp585",NA,1.21551970951259,20.8876804896764
"25",1121,"Lezhe","gfdl-esm4","ssp585",NA,0,21.8029767717634
"26",1122,"Lezhe","gfdl-esm4","ssp585",NA,0.307727176030832,24.4470284598214
"27",1123,"Lezhe","gfdl-esm4","ssp585",72.5,0.455479152671095,26.4724234444755
"28",1124,"Lezhe","gfdl-esm4","ssp585",33.5,3.29904654562207,25.9283822195871
"29",1125,"Lezhe","gfdl-esm4","ssp585",30,0.486162362774069,25.8103620256697
"30",1126,"Lezhe","gfdl-esm4","ssp585",17,0.026945931832805,23.4874904087612
"31",1127,"Lezhe","gfdl-esm4","ssp585",18,0.263123253431071,22.8371433803014
"32",1128,"Lezhe","gfdl-esm4","ssp585",NA,0.275562299897761,25.8503618512835
"33",1129,"Lezhe","gfdl-esm4","ssp585",NA,0.0868666954504858,26.8110377720424
"34",1130,"Lezhe","gfdl-esm4","ssp585",40,14.4902517374638,23.3832641601563
"35",1131,"Lezhe","gfdl-esm4","ssp585",38,5.62268813976386,22.3705732073103
"36",1132,"Lezhe","gfdl-esm4","ssp585",70.5,1.09299630816427,23.0091186523438
"37",1133,"Lezhe","gfdl-esm4","ssp585",99.5,0,23.2773638044085
"38",1134,"Lezhe","gfdl-esm4","ssp585",192,0,20.1557686941964
"39",1135,"Lezhe","gfdl-esm4","ssp585",NA,4.31939060134547,18.3123282296317
"40",1136,"Lezhe","gfdl-esm4","ssp585",NA,10.3822999459226,19.9116411481585
"41",1137,"Lezhe","gfdl-esm4","ssp585",NA,11.1308897500359,15.4885759626116
"42",1138,"Lezhe","gfdl-esm4","ssp585",NA,0,14.0919520786831
"43",1139,"Lezhe","gfdl-esm4","ssp585",NA,0.0372678077837918,5.79815063476565
"44",1140,"Lezhe","gfdl-esm4","ssp585",NA,3.10840136288399,11.8074148995536
"45",1141,"Lezhe","gfdl-esm4","ssp585",0,4.88911305770411,14.3893197195871
"46",1142,"Lezhe","gfdl-esm4","ssp585",0,2.78450951866814,14.4932451520648
"47",1143,"Lezhe","gfdl-esm4","ssp585",0,6.01002633463525,13.2399754115514
"48",1144,"Lezhe","gfdl-esm4","ssp585",0,9.79820340497619,10.7373378208706
"49",1145,"Lezhe","gfdl-esm4","ssp585",0,12.048699683094,8.38367832728797
"50",1146,"Lezhe","gfdl-esm4","ssp585",0,9.50002598848577,8.520161655971
"51",1147,"Lezhe","gfdl-esm4","ssp585",0,12.4881783766406,8.26888427734377
"52",1148,"Lezhe","gfdl-esm4","ssp585",0,5.95070473770777,8.25630231584824
"53",1149,"Lezhe","gfdl-esm4","ssp585",NA,12.2483131841623,9.3366158621652
"54",1150,"Lezhe","gfdl-esm4","ssp585",NA,1.63556504662016,6.56261160714288
"55",1151,"Lezhe","gfdl-esm4","ssp585",NA,1.54818128129201,4.94839739118306
"56",1152,"Lezhe","gfdl-esm4","ssp585",NA,3.15925684283554,3.23684082031252
"57",1153,"Lezhe","gfdl-esm4","ssp585",NA,0,2.33645455496654
"58",1154,"Lezhe","gfdl-esm4","ssp585",NA,6.81962733090456,4.33311505998886
"59",1155,"Lezhe","gfdl-esm4","ssp585",NA,0.669921384542249,6.92857404436386
"60",1156,"Lezhe","gfdl-esm4","ssp585",NA,4.80486124101195,8.24649309430806
"61",1157,"Lezhe","gfdl-esm4","ssp585",NA,0.0947432970860973,10.6025983537947
"62",1158,"Lezhe","gfdl-esm4","ssp585",NA,3.87370063690469,9.2369323730469
"63",1159,"Lezhe","gfdl-esm4","ssp585",NA,1.72739966988697,6.91854248046877
