"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Sicily","gfdl-esm4","ssp585",0,0.380609410681895,13.4835580008371
"2",524,"Sicily","gfdl-esm4","ssp585",0,0.271495553897694,11.3535051618304
"3",525,"Sicily","gfdl-esm4","ssp585",0,1.76713169826793,11.562389264788
"4",526,"Sicily","gfdl-esm4","ssp585",0,0.0579946555912362,12.7836591448103
"5",527,"Sicily","gfdl-esm4","ssp585",0,2.27895085429606,12.9384573800223
"6",528,"Sicily","gfdl-esm4","ssp585",0,0.745811416501445,13.2678336007255
"7",529,"Sicily","gfdl-esm4","ssp585",0,0.938213189822688,10.4502894810268
"8",530,"Sicily","gfdl-esm4","ssp585",0,1.32986820702042,10.8331237792969
"9",531,"Sicily","gfdl-esm4","ssp585",0,0.955164872409244,11.8010759626116
"10",532,"Sicily","gfdl-esm4","ssp585",0,8.19468437049571,9.49256940569199
"11",533,"Sicily","gfdl-esm4","ssp585",0,3.71927451467075,11.7857299804688
"12",534,"Sicily","gfdl-esm4","ssp585",0,3.47429718822241,10.7977059500558
"13",535,"Sicily","gfdl-esm4","ssp585",0,0,13.4622305733817
"14",536,"Sicily","gfdl-esm4","ssp585",0,5.54230524867307,14.4851405552456
"15",537,"Sicily","gfdl-esm4","ssp585",0,0.330025493167341,16.5663827078683
"16",538,"Sicily","gfdl-esm4","ssp585",0,0,16.6075160435268
"17",539,"Sicily","gfdl-esm4","ssp585",0,0.499488626207624,18.4779602050781
"18",540,"Sicily","gfdl-esm4","ssp585",0,0.377827082827155,16.7377476283482
"19",541,"Sicily","gfdl-esm4","ssp585",0,0.674929612848376,18.9978533063616
"20",542,"Sicily","gfdl-esm4","ssp585",11,0,22.1812377929688
"21",543,"Sicily","gfdl-esm4","ssp585",13,0,20.7870465959822
"22",544,"Sicily","gfdl-esm4","ssp585",18,0,23.0486650739398
"23",545,"Sicily","gfdl-esm4","ssp585",8,0,21.3256687709264
"24",546,"Sicily","gfdl-esm4","ssp585",NA,0.251353054773062,21.9381086077009
"25",547,"Sicily","gfdl-esm4","ssp585",33,0,25.3545296805246
"26",548,"Sicily","gfdl-esm4","ssp585",6.5,0,27.8008274623326
"27",549,"Sicily","gfdl-esm4","ssp585",9,0,28.0268886021206
"28",550,"Sicily","gfdl-esm4","ssp585",9,0,25.7349007742746
"29",551,"Sicily","gfdl-esm4","ssp585",41,0,27.7505998883929
"30",552,"Sicily","gfdl-esm4","ssp585",58,0,26.8957589285714
"31",553,"Sicily","gfdl-esm4","ssp585",NA,0,28.8026062011719
"32",554,"Sicily","gfdl-esm4","ssp585",101,0,27.5171927315848
"33",555,"Sicily","gfdl-esm4","ssp585",NA,0,29.519682094029
"34",556,"Sicily","gfdl-esm4","ssp585",76,0,27.8894243512835
"35",557,"Sicily","gfdl-esm4","ssp585",NA,0,30.4288705008371
"36",558,"Sicily","gfdl-esm4","ssp585",NA,0,26.7622009277344
"37",559,"Sicily","gfdl-esm4","ssp585",117,14.5910319805677,24.4316388811384
"38",560,"Sicily","gfdl-esm4","ssp585",82.5,5.63877409149427,20.7847229003906
"39",561,"Sicily","gfdl-esm4","ssp585",NA,0,21.4717651367188
"40",562,"Sicily","gfdl-esm4","ssp585",172,10.8238354125725,22.0229997907366
"41",563,"Sicily","gfdl-esm4","ssp585",44,1.3604636625262,20.8503051757813
"42",564,"Sicily","gfdl-esm4","ssp585",NA,12.1608774042605,19.8529907226563
"43",565,"Sicily","gfdl-esm4","ssp585",15,0.0758798614177587,21.2021248953683
"44",566,"Sicily","gfdl-esm4","ssp585",0,0,19.8013375418527
"45",567,"Sicily","gfdl-esm4","ssp585",16.5,0.318127983129151,19.2394914899554
"46",568,"Sicily","gfdl-esm4","ssp585",NA,4.88510721146927,16.0752676827567
"47",569,"Sicily","gfdl-esm4","ssp585",7,5.59037550452298,14.9243931361607
"48",570,"Sicily","gfdl-esm4","ssp585",0,2.4137689640546,15.2384844098773
"49",571,"Sicily","gfdl-esm4","ssp585",0,5.51332940979462,12.533092389788
"50",572,"Sicily","gfdl-esm4","ssp585",0,2.78069953533954,10.2657409667969
"51",573,"Sicily","gfdl-esm4","ssp585",0,4.17805707547814,11.5797014508929
"52",574,"Sicily","gfdl-esm4","ssp585",0,4.54774394207301,10.1836138044085
"53",575,"Sicily","gfdl-esm4","ssp585",NA,3.3267863774589,9.50125383649556
"54",576,"Sicily","gfdl-esm4","ssp585",0,2.92373054253403,9.79545636858261
"55",577,"Sicily","gfdl-esm4","ssp585",0,0.350257775945855,10.3849862234933
"56",578,"Sicily","gfdl-esm4","ssp585",0,9.06966094761239,9.54369070870538
"57",579,"Sicily","gfdl-esm4","ssp585",NA,5.82793701323681,8.19264264787949
"58",580,"Sicily","gfdl-esm4","ssp585",0,2.29388453756526,11.2033020019531
"59",581,"Sicily","gfdl-esm4","ssp585",0,3.24346842498926,10.1625479561942
"60",582,"Sicily","gfdl-esm4","ssp585",0,0.0778572122466617,10.8000209263393
"61",583,"Sicily","gfdl-esm4","ssp585",0,0.110754617136471,12.0124189104353
"62",584,"Sicily","gfdl-esm4","ssp585",NA,6.72397341113538,12.860968889509
"63",585,"Sicily","gfdl-esm4","ssp585",NA,4.54762947296591,11.8900608607701
"64",586,"Sicily","gfdl-esm4","ssp585",NA,2.20634114890085,12.2952776227679
"65",587,"Sicily","gfdl-esm4","ssp585",NA,4.47850176216369,12.887105015346
"66",588,"Sicily","gfdl-esm4","ssp585",NA,2.95309340363019,13.8482125418527
"67",589,"Sicily","gfdl-esm4","ssp585",NA,1.40741191737886,14.2626804896764
"68",590,"Sicily","gfdl-esm4","ssp585",NA,7.6624238855272,12.9940037318639
"69",591,"Sicily","gfdl-esm4","ssp585",NA,4.91710892113458,14.19375
"70",592,"Sicily","gfdl-esm4","ssp585",NA,0.115193887281099,17.6622035435268
"71",593,"Sicily","gfdl-esm4","ssp585",NA,0,19.0466247558594
"72",594,"Sicily","gfdl-esm4","ssp585",NA,0.984247904697051,17.364142717634
"73",595,"Sicily","gfdl-esm4","ssp585",NA,1.58288881523601,17.9494219098773
"74",596,"Sicily","gfdl-esm4","ssp585",NA,0.452589296037331,20.073127092634
"75",597,"Sicily","gfdl-esm4","ssp585",NA,0.457840730502669,21.5861755371094
