"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Tuscany","gfdl-esm4","ssp585",0,3.39446027159543,5.44561593191966
"2",1046,"Tuscany","gfdl-esm4","ssp585",0,3.28359561847589,6.42156263078965
"3",1047,"Tuscany","gfdl-esm4","ssp585",0,0.614331336185257,8.05983123779299
"4",1048,"Tuscany","gfdl-esm4","ssp585",0,3.32582864726386,7.53271963936944
"5",1049,"Tuscany","gfdl-esm4","ssp585",0,5.35051204923158,6.91918552943641
"6",1050,"Tuscany","gfdl-esm4","ssp585",0,1.21749665902046,3.28796103341241
"7",1051,"Tuscany","gfdl-esm4","ssp585",0,9.97018801351387,5.54109780447826
"8",1052,"Tuscany","gfdl-esm4","ssp585",0,1.09422079055678,6.65101776123049
"9",1053,"Tuscany","gfdl-esm4","ssp585",0,5.98001558282704,8.61086752755303
"10",1054,"Tuscany","gfdl-esm4","ssp585",0,0.842198002542968,9.6008980887277
"11",1055,"Tuscany","gfdl-esm4","ssp585",0,1.55375196348229,7.34553571428573
"12",1056,"Tuscany","gfdl-esm4","ssp585",0,0.937255031645432,11.6806372506278
"13",1057,"Tuscany","gfdl-esm4","ssp585",0,0,14.3625100272042
"14",1058,"Tuscany","gfdl-esm4","ssp585",NA,1.771752026642,12.9601913452149
"15",1059,"Tuscany","gfdl-esm4","ssp585",NA,3.1482693538497,12.0003742762974
"16",1060,"Tuscany","gfdl-esm4","ssp585",NA,0.120400482891065,13.2091679164342
"17",1061,"Tuscany","gfdl-esm4","ssp585",NA,0.250821697656127,13.1216805594308
"18",1062,"Tuscany","gfdl-esm4","ssp585",NA,1.04812121041635,13.3058628627233
"19",1063,"Tuscany","gfdl-esm4","ssp585",NA,6.70414682042195,14.992830984933
"20",1064,"Tuscany","gfdl-esm4","ssp585",NA,4.48826527707362,15.5917711530413
"21",1065,"Tuscany","gfdl-esm4","ssp585",NA,3.58061128003361,16.5239676339285
"22",1066,"Tuscany","gfdl-esm4","ssp585",NA,0.529677486325194,18.2153684343611
"23",1067,"Tuscany","gfdl-esm4","ssp585",NA,2.6186965807418,19.1847789219448
"24",1068,"Tuscany","gfdl-esm4","ssp585",NA,0.434733992486664,19.8937567574638
"25",1069,"Tuscany","gfdl-esm4","ssp585",34.5,0.16457829972621,23.7229727608817
"26",1070,"Tuscany","gfdl-esm4","ssp585",62,0.749719911514798,26.1537163870676
"27",1071,"Tuscany","gfdl-esm4","ssp585",67.5,1.36085998037743,21.7491394042969
"28",1072,"Tuscany","gfdl-esm4","ssp585",NA,0.798197254581672,22.9544475010463
"29",1073,"Tuscany","gfdl-esm4","ssp585",50.5,0.391909334406851,22.8258006504604
"30",1074,"Tuscany","gfdl-esm4","ssp585",47,0.468375665825858,22.7287547520229
"31",1075,"Tuscany","gfdl-esm4","ssp585",68.75,0,24.0065420968192
"32",1076,"Tuscany","gfdl-esm4","ssp585",87.3333333333333,1.26087362254371,25.8774069649833
"33",1077,"Tuscany","gfdl-esm4","ssp585",87,2.60509245862132,22.5746104649136
"34",1078,"Tuscany","gfdl-esm4","ssp585",96,1.20545286746555,23.2777986798968
"35",1079,"Tuscany","gfdl-esm4","ssp585",38.125,0.26039702878344,22.7400953020369
"36",1080,"Tuscany","gfdl-esm4","ssp585",22,1.6498695104279,22.5532089233399
"37",1081,"Tuscany","gfdl-esm4","ssp585",87,1.0257907079644,21.875870186942
"38",1082,"Tuscany","gfdl-esm4","ssp585",119.75,0.508503438491711,22.1921783447265
"39",1083,"Tuscany","gfdl-esm4","ssp585",49.25,0.0399681374022164,23.5718246459961
"40",1084,"Tuscany","gfdl-esm4","ssp585",11.875,6.30202812483601,20.4908833095006
"41",1085,"Tuscany","gfdl-esm4","ssp585",18.5,6.87413457968172,15.424104309082
"42",1086,"Tuscany","gfdl-esm4","ssp585",8,4.24282417786474,12.4195114135742
"43",1087,"Tuscany","gfdl-esm4","ssp585",9,3.79619949288618,14.197777230399
"44",1088,"Tuscany","gfdl-esm4","ssp585",29.5,6.30157168811171,12.1234418596541
"45",1089,"Tuscany","gfdl-esm4","ssp585",5.875,3.06580464322386,7.18880506243027
"46",1090,"Tuscany","gfdl-esm4","ssp585",5.875,0.757426665950334,7.79144548688619
"47",1091,"Tuscany","gfdl-esm4","ssp585",5.875,0.329302458950613,12.248686000279
"48",1092,"Tuscany","gfdl-esm4","ssp585",5.875,0.225797524217342,7.73123212541856
"49",1093,"Tuscany","gfdl-esm4","ssp585",0.25,1.95839464247131,5.01042218889511
"50",1094,"Tuscany","gfdl-esm4","ssp585",0.25,8.53486229654143,6.03527875627792
"51",1095,"Tuscany","gfdl-esm4","ssp585",0.25,2.20769198567723,3.52089843750002
"52",1096,"Tuscany","gfdl-esm4","ssp585",0.25,1.57605290779819,7.39181780133931
"53",1097,"Tuscany","gfdl-esm4","ssp585",0.0833333333333333,0.163793382671429,3.0942576090495
"54",1098,"Tuscany","gfdl-esm4","ssp585",0.0833333333333333,0.362578507546069,4.42893952869236
"55",1099,"Tuscany","gfdl-esm4","ssp585",0.0833333333333333,3.13669109621384,6.49190237862725
"56",1100,"Tuscany","gfdl-esm4","ssp585",0.0833333333333333,2.1286352255629,2.02304774693082
"57",1101,"Tuscany","gfdl-esm4","ssp585",0,21.2270905691964,7.20599626813619
"58",1102,"Tuscany","gfdl-esm4","ssp585",0,2.29500043689248,6.74952087402346
"59",1103,"Tuscany","gfdl-esm4","ssp585",0,6.51517739294961,7.61233273460754
