"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",941,"Veneto","gfdl-esm4","ssp585",0,0.0524494053993235,-2.18111603972197
"2",942,"Veneto","gfdl-esm4","ssp585",0,3.56902704806999,-3.67350091314933
"3",943,"Veneto","gfdl-esm4","ssp585",0,2.13120691504711,-1.50733983423801
"4",944,"Veneto","gfdl-esm4","ssp585",0,0.42228640815736,-3.20341567002331
"5",945,"Veneto","gfdl-esm4","ssp585",0,0.584021120656481,-4.89530187829746
"6",946,"Veneto","gfdl-esm4","ssp585",0,0.504889785564979,-6.7045479910714
"7",947,"Veneto","gfdl-esm4","ssp585",0,0,-8.88697295746243
"8",948,"Veneto","gfdl-esm4","ssp585",0,0.00404336273537149,-5.55173181310874
"9",949,"Veneto","gfdl-esm4","ssp585",0,0.130997410035758,-6.1321507837865
"10",950,"Veneto","gfdl-esm4","ssp585",NA,0.128118011093352,-6.03325520304888
"11",951,"Veneto","gfdl-esm4","ssp585",NA,0.652312525241317,-3.7371312525365
"12",952,"Veneto","gfdl-esm4","ssp585",NA,1.44502474899387,3.42472843318793
"13",953,"Veneto","gfdl-esm4","ssp585",NA,7.45997205484347,0.85830514090404
"14",954,"Veneto","gfdl-esm4","ssp585",NA,2.04945345075749,3.23999641715708
"15",955,"Veneto","gfdl-esm4","ssp585",NA,0.880050989205784,1.98652890688415
"16",956,"Veneto","gfdl-esm4","ssp585",NA,0.486496690238898,2.00387953721086
"17",957,"Veneto","gfdl-esm4","ssp585",NA,0.331454881073457,7.37643614929994
"18",958,"Veneto","gfdl-esm4","ssp585",NA,0.0170755032646506,10.2659094079749
"19",959,"Veneto","gfdl-esm4","ssp585",0,2.7404700746401,8.05223880123785
"20",960,"Veneto","gfdl-esm4","ssp585",0,0.041413834970898,8.50073503766744
"21",961,"Veneto","gfdl-esm4","ssp585",0.375,0.425329284954894,9.53936593191966
"22",962,"Veneto","gfdl-esm4","ssp585",0.5,5.007323898434,9.72119560737116
"23",963,"Veneto","gfdl-esm4","ssp585",3.25,7.67006150852396,10.0744207208807
"24",964,"Veneto","gfdl-esm4","ssp585",2.875,9.03923113589619,9.80297161944501
"25",965,"Veneto","gfdl-esm4","ssp585",5.5,4.21316531763106,11.1736484279881
"26",966,"Veneto","gfdl-esm4","ssp585",3.25,6.25308660025687,10.7154983322342
"27",967,"Veneto","gfdl-esm4","ssp585",13.3125,2.40479127272235,12.6431950556768
"28",968,"Veneto","gfdl-esm4","ssp585",16.4375,3.24614881207129,14.1203247070313
"29",969,"Veneto","gfdl-esm4","ssp585",17.1875,4.05042162435296,8.73206224317677
"30",970,"Veneto","gfdl-esm4","ssp585",17.375,5.90724558705561,11.2406563102425
"31",971,"Veneto","gfdl-esm4","ssp585",37.5625,2.03746246302394,12.5329528808594
"32",972,"Veneto","gfdl-esm4","ssp585",42.375,8.21617180228312,13.1350845138748
"33",973,"Veneto","gfdl-esm4","ssp585",58.9375,4.47178018976165,12.0290379115514
"34",974,"Veneto","gfdl-esm4","ssp585",59.375,5.13942836874162,13.3078183657164
"35",975,"Veneto","gfdl-esm4","ssp585",35.0625,6.94361375229034,11.1790385456828
"36",976,"Veneto","gfdl-esm4","ssp585",23.25,5.96485069055033,9.49843750000004
"37",977,"Veneto","gfdl-esm4","ssp585",30.9375,1.83088793420247,7.06757130808647
"38",978,"Veneto","gfdl-esm4","ssp585",33,2.03731799548849,7.00073424500307
"39",979,"Veneto","gfdl-esm4","ssp585",22.3125,0.65771214513833,4.88351186777092
"40",980,"Veneto","gfdl-esm4","ssp585",13.0625,1.15192744307059,6.15350682642555
"41",981,"Veneto","gfdl-esm4","ssp585",6.6875,15.6970746145439,4.88443175476869
"42",982,"Veneto","gfdl-esm4","ssp585",5.5625,3.60825989214804,0.87968686586853
"43",983,"Veneto","gfdl-esm4","ssp585",0,0.376702301412467,-0.135817649147703
"44",984,"Veneto","gfdl-esm4","ssp585",0,0.171652221152644,-1.06184224710834
"45",985,"Veneto","gfdl-esm4","ssp585",0,0.0503730535444459,-0.706602973442552
"46",986,"Veneto","gfdl-esm4","ssp585",0,4.31469035784766,-2.94686905501723
"47",987,"Veneto","gfdl-esm4","ssp585",0,2.50643543448706,-0.788162984476438
"48",988,"Veneto","gfdl-esm4","ssp585",0,0.183607241285847,-0.684827690619905
"49",989,"Veneto","gfdl-esm4","ssp585",0,0.133550790491568,0.507219428520721
"50",990,"Veneto","gfdl-esm4","ssp585",0,1.64309439049768,1.25974763151889
"51",991,"Veneto","gfdl-esm4","ssp585",0,0.390649779317802,-3.3917824485085
"52",992,"Veneto","gfdl-esm4","ssp585",0,1.92061090977392,-8.09878635158784
"53",993,"Veneto","gfdl-esm4","ssp585",0,0.779348411586917,-2.13748851957773
"54",994,"Veneto","gfdl-esm4","ssp585",0,1.73857750045759,-3.28419523693264
"55",995,"Veneto","gfdl-esm4","ssp585",0,3.70287584147653,0.0230713617234215
"56",996,"Veneto","gfdl-esm4","ssp585",0,2.00291863483082,-5.05209960937498
"57",997,"Veneto","gfdl-esm4","ssp585",0,1.73237013367335,-5.36408299037386
"58",998,"Veneto","gfdl-esm4","ssp585",0,2.7026400804451,-2.61212950206936
"59",999,"Veneto","gfdl-esm4","ssp585",0,3.25500050229104,-1.95929529099235
"60",1000,"Veneto","gfdl-esm4","ssp585",0,6.47832154471481,-4.30009126209075
"61",1001,"Veneto","gfdl-esm4","ssp585",0,1.08275263368601,-1.06885848272412
"62",1002,"Veneto","gfdl-esm4","ssp585",NA,0.0824532326337898,-0.204267156691754
"63",1003,"Veneto","gfdl-esm4","ssp585",NA,0.532730545676584,-0.215186273483981
"64",1004,"Veneto","gfdl-esm4","ssp585",NA,0,-2.43741128104071
"65",1005,"Veneto","gfdl-esm4","ssp585",NA,0.372661534921852,-0.558837091355074
"66",1006,"Veneto","gfdl-esm4","ssp585",NA,0.0694281722124808,1.07895885649184
"67",1007,"Veneto","gfdl-esm4","ssp585",NA,0.267750962510555,4.60158509754001
"68",1008,"Veneto","gfdl-esm4","ssp585",NA,0.979678303909689,6.68481016613191
"69",1009,"Veneto","gfdl-esm4","ssp585",NA,0.741271601288775,9.25338425409228
"70",1010,"Veneto","gfdl-esm4","ssp585",NA,3.9792725701253,7.33325420561293
"71",1011,"Veneto","gfdl-esm4","ssp585",NA,0.971068429342787,7.40764879499165
"72",1012,"Veneto","gfdl-esm4","ssp585",NA,1.63290913489098,10.7023076375326
"73",1013,"Veneto","gfdl-esm4","ssp585",NA,0,14.8225984845843
"74",1014,"Veneto","gfdl-esm4","ssp585",NA,4.74233276312849,12.5419828142439
"75",1015,"Veneto","gfdl-esm4","ssp585",16,7.91297001817708,10.2772642589751
"76",1016,"Veneto","gfdl-esm4","ssp585",10.7857142857143,6.18320724960151,6.75054975237167
"77",1017,"Veneto","gfdl-esm4","ssp585",12.9444444444444,2.18970002190742,10.8970730009533
"78",1018,"Veneto","gfdl-esm4","ssp585",13.6111111111111,0.419400581774555,14.7578772408622
"79",1019,"Veneto","gfdl-esm4","ssp585",9.44444444444444,0.248958468403414,14.4004735310873
"80",1020,"Veneto","gfdl-esm4","ssp585",8.05555555555556,3.60739143844902,13.6962778727214
"81",1021,"Veneto","gfdl-esm4","ssp585",15.1666666666667,2.40412652239164,12.79359261649
"82",1022,"Veneto","gfdl-esm4","ssp585",28.7222222222222,0.473622652667213,14.4248981294178
"83",1023,"Veneto","gfdl-esm4","ssp585",28.2777777777778,0.219741206508063,17.4327960059757
"84",1024,"Veneto","gfdl-esm4","ssp585",30,1.81537684659685,16.3721928187779
"85",1025,"Veneto","gfdl-esm4","ssp585",31.6,3.69946932037887,14.1187668573289
"86",1026,"Veneto","gfdl-esm4","ssp585",34.45,0.525747022142501,13.3892910185315
"87",1027,"Veneto","gfdl-esm4","ssp585",32.1,1.55672636730222,13.9184436616444
"88",1028,"Veneto","gfdl-esm4","ssp585",22.25,4.97307371926061,11.4008539109003
"89",1029,"Veneto","gfdl-esm4","ssp585",20.3,6.8618532346071,9.30205288841613
"90",1030,"Veneto","gfdl-esm4","ssp585",11.05,0.38749638353173,8.34729265485493
"91",1031,"Veneto","gfdl-esm4","ssp585",9.8,0.148855393854319,9.08006003243585
"92",1032,"Veneto","gfdl-esm4","ssp585",0.888888888888889,3.10437733477167,10.2138719831194
"93",1033,"Veneto","gfdl-esm4","ssp585",0.5,4.5860661666146,6.61340884254094
"94",1034,"Veneto","gfdl-esm4","ssp585",0,0.405776144063046,6.15047462100076
"95",1035,"Veneto","gfdl-esm4","ssp585",0,0.347352244872517,6.86317632765998
"96",1036,"Veneto","gfdl-esm4","ssp585",0,6.15216923545501,5.80950244721915
"97",1037,"Veneto","gfdl-esm4","ssp585",0,0.841604669507693,4.17537769135977
"98",1038,"Veneto","gfdl-esm4","ssp585",0,3.19726607906757,-0.247818283807643
"99",1039,"Veneto","gfdl-esm4","ssp585",0,4.69302674661906,-0.305388605026949
"100",1040,"Veneto","gfdl-esm4","ssp585",0,5.22476982049349,-1.98526393345422
"101",1041,"Veneto","gfdl-esm4","ssp585",0,1.85662269837589,-4.91992906842911
"102",1042,"Veneto","gfdl-esm4","ssp585",0,1.43922757124528,0.822097850981236
"103",1043,"Veneto","gfdl-esm4","ssp585",0,5.06377107542773,0.858401416596936
"104",1044,"Veneto","gfdl-esm4","ssp585",0,0.904061878645734,-3.91240357898528
"105",1045,"Veneto","gfdl-esm4","ssp585",0,5.84590065580934,-2.74417252313521
"106",1046,"Veneto","gfdl-esm4","ssp585",0,2.05248219642401,-3.94982139950705
"107",1047,"Veneto","gfdl-esm4","ssp585",0,1.14775535852719,-1.94470425560359
"108",1048,"Veneto","gfdl-esm4","ssp585",0,7.68124308654348,-2.50764857700891
"109",1049,"Veneto","gfdl-esm4","ssp585",0,0.351666543623911,-2.73322034563335
"110",1050,"Veneto","gfdl-esm4","ssp585",0,0.355031912593924,-7.16281629289898
"111",1051,"Veneto","gfdl-esm4","ssp585",0,3.3282636091956,-4.11032932826448
"112",1052,"Veneto","gfdl-esm4","ssp585",0,3.05994541097659,-2.76358751569473
"113",1053,"Veneto","gfdl-esm4","ssp585",NA,1.12602527806303,-0.72816968645366
"114",1054,"Veneto","gfdl-esm4","ssp585",NA,0.912296426018397,0.48355400448756
"115",1055,"Veneto","gfdl-esm4","ssp585",NA,0.37770615352721,-2.75015832810173
"116",1056,"Veneto","gfdl-esm4","ssp585",NA,1.57795738798865,2.10484284900486
"117",1057,"Veneto","gfdl-esm4","ssp585",NA,0.588093983294259,5.08921494256885
"118",1058,"Veneto","gfdl-esm4","ssp585",NA,2.21996621361801,2.81241578601658
"119",1059,"Veneto","gfdl-esm4","ssp585",NA,2.40115391773413,4.01206250871933
"120",1060,"Veneto","gfdl-esm4","ssp585",NA,0.375965464939197,4.39448663620724
"121",1061,"Veneto","gfdl-esm4","ssp585",0,0.707934117599506,4.14487428211033
"122",1062,"Veneto","gfdl-esm4","ssp585",0,1.66999775657521,4.16267620268325
