"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Fier","ipsl-cm6a-lr","ssp126",0,6.16820553259458,9.40348859514511
"2",1046,"Fier","ipsl-cm6a-lr","ssp126",0,1.94927919157115,9.61081630161833
"3",1047,"Fier","ipsl-cm6a-lr","ssp126",0,0.0218261489083359,6.94031459263395
"4",1048,"Fier","ipsl-cm6a-lr","ssp126",0,0,7.75267508370538
"5",1049,"Fier","ipsl-cm6a-lr","ssp126",0,6.60916159270398,7.01902814592636
"6",1050,"Fier","ipsl-cm6a-lr","ssp126",0,0.720001472966812,4.53017578125002
"7",1051,"Fier","ipsl-cm6a-lr","ssp126",0,2.37065501735612,4.45589163643975
"8",1052,"Fier","ipsl-cm6a-lr","ssp126",0,10.7290778756058,0.63186471121654
"9",1053,"Fier","ipsl-cm6a-lr","ssp126",0,8.75252778600303,5.00779331752234
"10",1054,"Fier","ipsl-cm6a-lr","ssp126",NA,10.6317677684794,9.65896432059154
"11",1055,"Fier","ipsl-cm6a-lr","ssp126",NA,8.75947017962712,6.32899082728797
"12",1056,"Fier","ipsl-cm6a-lr","ssp126",NA,3.89591156147487,11.8949567522322
"13",1057,"Fier","ipsl-cm6a-lr","ssp126",NA,6.67480929166361,11.0091360909598
"14",1058,"Fier","ipsl-cm6a-lr","ssp126",NA,0.882311284502586,13.3141767229353
"15",1059,"Fier","ipsl-cm6a-lr","ssp126",NA,0.960389548864831,13.9883449009487
"16",1060,"Fier","ipsl-cm6a-lr","ssp126",NA,8.44510158390871,12.8559378487723
"17",1061,"Fier","ipsl-cm6a-lr","ssp126",NA,0.5313433457299,14.9711155482701
"18",1062,"Fier","ipsl-cm6a-lr","ssp126",NA,0.737736174986432,16.0698311941964
"19",1063,"Fier","ipsl-cm6a-lr","ssp126",NA,0.104991038097069,18.9652866908482
"20",1064,"Fier","ipsl-cm6a-lr","ssp126",NA,1.04888319276922,16.2724155970982
"21",1065,"Fier","ipsl-cm6a-lr","ssp126",NA,2.69297750970249,19.4077479771206
"22",1066,"Fier","ipsl-cm6a-lr","ssp126",0,0.136095158190333,22.5566127232143
"23",1067,"Fier","ipsl-cm6a-lr","ssp126",0,0.879659544547654,20.7607927594866
"24",1068,"Fier","ipsl-cm6a-lr","ssp126",2,0.10108605534437,20.6151846749442
"25",1069,"Fier","ipsl-cm6a-lr","ssp126",0,1.55080519117681,21.3778625488281
"26",1070,"Fier","ipsl-cm6a-lr","ssp126",8.5,0,23.8216360909598
"27",1071,"Fier","ipsl-cm6a-lr","ssp126",20,0.0472667437861674,25.8557373046875
"28",1072,"Fier","ipsl-cm6a-lr","ssp126",7,0.136801988368721,24.9189697265625
"29",1073,"Fier","ipsl-cm6a-lr","ssp126",63,0.199822940131915,24.255029296875
"30",1074,"Fier","ipsl-cm6a-lr","ssp126",41,0.123435688250798,21.5348493303572
"31",1075,"Fier","ipsl-cm6a-lr","ssp126",93,0,27.3309090750558
"32",1076,"Fier","ipsl-cm6a-lr","ssp126",22,1.84407596409853,25.9675144740514
"33",1077,"Fier","ipsl-cm6a-lr","ssp126",67,0.0678816230252518,27.3750549316406
"34",1078,"Fier","ipsl-cm6a-lr","ssp126",85,0.909681155878518,27.9701695033482
"35",1079,"Fier","ipsl-cm6a-lr","ssp126",151,19.94234700022,23.8529863630023
"36",1080,"Fier","ipsl-cm6a-lr","ssp126",189,1.55205186269346,22.8832772391183
"37",1081,"Fier","ipsl-cm6a-lr","ssp126",88,5.67427564611925,20.0778878348214
"38",1082,"Fier","ipsl-cm6a-lr","ssp126",42,5.15091485077781,20.3240208217076
"39",1083,"Fier","ipsl-cm6a-lr","ssp126",55,5.76473805454693,17.579736328125
"40",1084,"Fier","ipsl-cm6a-lr","ssp126",25,0.376122445075972,20.0861755371094
"41",1085,"Fier","ipsl-cm6a-lr","ssp126",25,4.70859643204936,18.6864868164063
"42",1086,"Fier","ipsl-cm6a-lr","ssp126",2,1.66376280540135,18.8171761648996
"43",1087,"Fier","ipsl-cm6a-lr","ssp126",1,13.3250219315024,12.0105398995536
"44",1088,"Fier","ipsl-cm6a-lr","ssp126",0,0,14.109752546038
"45",1089,"Fier","ipsl-cm6a-lr","ssp126",0,8.86364590177046,14.255264718192
"46",1090,"Fier","ipsl-cm6a-lr","ssp126",0,14.1846881504794,9.83145839146208
