"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0.251796751308575,2.75541267395022
"2",524,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0.553463693826674,-0.107404817853633
"3",525,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,5.72952422394987,2.43895056588311
"4",526,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,1.04735763961799,3.49491653442385
"5",527,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0,1.68070400782996
"6",528,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0.00911137305398109,7.54486945016046
"7",529,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0,6.09885395595008
"8",530,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,0.00878066005368185,9.15351829528811
"9",531,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",0,2.10141896647786,7.64614830017092
"10",532,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,0.355797734976347,7.97124415806364
"11",533,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,0.245448177754172,8.25944072178434
"12",534,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,0,13.262809916905
"13",535,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,0,13.1298268454415
"14",536,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,1.93623030551992,12.1571384429932
"15",537,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,5.69749295097414,10.5894376482282
"16",538,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,2.68293679070796,10.3211241040912
"17",539,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,0.730303163592387,15.2007464272636
"18",540,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,3.12935730571553,14.5568157196045
"19",541,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",NA,3.07716404989996,15.2637156350272
"20",542,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",21.125,1.28127654946378,16.9532297951835
"21",543,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",23.8125,1.90478061872455,17.3422161102295
"22",544,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",38.90625,0.92710940824483,19.3936237880162
"23",545,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",41.0625,4.616813745916,22.11546560015
"24",546,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",89.59375,0.214968877851009,20.660270854405
"25",547,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",91.875,0.133921304937498,23.0418127877372
"26",548,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",130.25,0.287908367226919,22.3722097124373
"27",549,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",133.40625,1.15952893692923,23.0366980961391
"28",550,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",96.40625,2.36722400632061,23.4643191201346
"29",551,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",94.875,5.84646148645983,23.3041154588972
"30",552,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",76.5625,0.224842341744339,24.7772921425956
"31",553,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",76.03125,0.193558913062069,27.2246068137033
"32",554,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",161.25,1.04304985596043,22.7425116402762
"33",555,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",159.46875,1.74642366624279,23.0009088788714
"34",556,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",111.03125,2.08850915623121,25.5076412745885
"35",557,"Emilia-Romagna","ipsl-cm6a-lr","ssp585",105.90625,0.982268032456497,22.7694469451904
