"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1097,"Lezhe","ipsl-cm6a-lr","ssp585",0,4.72446189295234,5.2335885184152
"2",1098,"Lezhe","ipsl-cm6a-lr","ssp585",0,8.32106659987143,5.34792480468752
"3",1099,"Lezhe","ipsl-cm6a-lr","ssp585",0,4.28532962084449,7.67598876953127
"4",1100,"Lezhe","ipsl-cm6a-lr","ssp585",0,6.39459627314604,6.38533063616074
"5",1101,"Lezhe","ipsl-cm6a-lr","ssp585",0,0.0168138807306864,4.017720249721
"6",1102,"Lezhe","ipsl-cm6a-lr","ssp585",0,3.79348573374695,4.50026855468752
"7",1103,"Lezhe","ipsl-cm6a-lr","ssp585",0,6.68540020706132,4.82246006556922
"8",1104,"Lezhe","ipsl-cm6a-lr","ssp585",0,0.282609104345153,5.60388445172993
"9",1105,"Lezhe","ipsl-cm6a-lr","ssp585",0,5.27900058410264,5.47983485630583
"10",1106,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.68499210401205,6.69675380161833
"11",1107,"Lezhe","ipsl-cm6a-lr","ssp585",NA,3.05272362061909,11.0014456612723
"12",1108,"Lezhe","ipsl-cm6a-lr","ssp585",NA,9.52758145119463,9.18625575474333
"13",1109,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.0747089694154316,11.5232788085938
"14",1110,"Lezhe","ipsl-cm6a-lr","ssp585",NA,18.1071590790192,8.45992431640627
"15",1111,"Lezhe","ipsl-cm6a-lr","ssp585",NA,7.71141226287,10.8215401785715
"16",1112,"Lezhe","ipsl-cm6a-lr","ssp585",NA,7.66992657383006,10.7407296316965
"17",1113,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.88190318584176,11.9863568987165
"18",1114,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.08022878744773,14.1125906808036
"19",1115,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,19.0550868443081
"20",1116,"Lezhe","ipsl-cm6a-lr","ssp585",NA,3.10179522156042,16.5239719935826
"21",1117,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.58950682129112,17.7008823939732
"22",1118,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.214773114047213,19.1274788992746
"23",1119,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.50669549683308,21.3544991629464
"24",1120,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.99773118593813,20.6014997209822
"25",1121,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.30343045566406,22.1581229073661
"26",1122,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.43876918404463,24.566291155134
"27",1123,"Lezhe","ipsl-cm6a-lr","ssp585",72.5,0.0352570518901172,22.2720973423549
"28",1124,"Lezhe","ipsl-cm6a-lr","ssp585",33.5,0.0540883327630581,25.1259094238281
"29",1125,"Lezhe","ipsl-cm6a-lr","ssp585",30,0,29.1849042619978
"30",1126,"Lezhe","ipsl-cm6a-lr","ssp585",17,0,28.1301164899554
"31",1127,"Lezhe","ipsl-cm6a-lr","ssp585",18,9.94523691312809,24.6270342145648
"32",1128,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.10701741546758,22.648819405692
"33",1129,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.546949042472988,25.2392081124442
"34",1130,"Lezhe","ipsl-cm6a-lr","ssp585",40,1.14983751097628,23.8731410435268
"35",1131,"Lezhe","ipsl-cm6a-lr","ssp585",38,1.55128564261499,23.2525660923549
"36",1132,"Lezhe","ipsl-cm6a-lr","ssp585",70.5,1.29103963928563,23.4156433105469
"37",1133,"Lezhe","ipsl-cm6a-lr","ssp585",99.5,0.539326317084488,22.0310171944755
"38",1134,"Lezhe","ipsl-cm6a-lr","ssp585",192,0.772315064490873,21.1419006347656
"39",1135,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,20.378315952846
"40",1136,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,17.329723249163
"41",1137,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,18.865385219029
"42",1138,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,17.7053989955357
"43",1139,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.96557058038057,16.7574271065848
"44",1140,"Lezhe","ipsl-cm6a-lr","ssp585",NA,6.83575246616134,10.7887730189732
"45",1141,"Lezhe","ipsl-cm6a-lr","ssp585",0,0.236320805093523,12.0319458007813
"46",1142,"Lezhe","ipsl-cm6a-lr","ssp585",0,1.53812766740365,14.4245544433594
"47",1143,"Lezhe","ipsl-cm6a-lr","ssp585",0,10.8239767673825,10.9543090820313
"48",1144,"Lezhe","ipsl-cm6a-lr","ssp585",0,17.8999660885893,8.37576555524556
"49",1145,"Lezhe","ipsl-cm6a-lr","ssp585",0,2.82695484347641,0.0949035644531477
"50",1146,"Lezhe","ipsl-cm6a-lr","ssp585",0,9.22868104784616,4.54015066964288
"51",1147,"Lezhe","ipsl-cm6a-lr","ssp585",0,4.10642577252085,11.4376203264509
"52",1148,"Lezhe","ipsl-cm6a-lr","ssp585",0,0.685078511014581,10.7126447405134
"53",1149,"Lezhe","ipsl-cm6a-lr","ssp585",NA,7.45852856125566,8.31320452008931
"54",1150,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.92311097748045,3.58847743443083
"55",1151,"Lezhe","ipsl-cm6a-lr","ssp585",NA,8.72869071983067,5.29254411969868
"56",1152,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,7.19822736467636
"57",1153,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.53654476546217,8.17010323660717
"58",1154,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,8.59760654994422
"59",1155,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.13539952902024,8.99636666434154
"60",1156,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.48067093124181,5.60758143833708
"61",1157,"Lezhe","ipsl-cm6a-lr","ssp585",NA,8.40218439677431,5.13137642996654
"62",1158,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.5277608243549,7.73724626813618
"63",1159,"Lezhe","ipsl-cm6a-lr","ssp585",NA,6.05779412352214,10.8745186941965
"64",1160,"Lezhe","ipsl-cm6a-lr","ssp585",NA,7.75477936736674,8.7918640136719
"65",1161,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.5373266246835,7.26680036272324
"66",1162,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.42208887636662,8.82064208984377
"67",1163,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.3492424373648,12.9624834333148
"68",1164,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.91679943080193,15.562637765067
"69",1165,"Lezhe","ipsl-cm6a-lr","ssp585",NA,9.00829444040678,13.3700892857143
"70",1166,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.737043152496751,15.4944266183036
"71",1167,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.22798278159462,16.2136910574777
"72",1168,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.5783238451113,15.7667218889509
"73",1169,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.120563230146737,17.5663478306362
"74",1170,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.527526861281201,19.5110674176898
"75",1171,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,22.1762721470424
"76",1172,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.068433293763,18.4438328334264
"77",1173,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,21.9301522391183
"78",1174,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,23.3664140973773
"79",1175,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,22.0725559779576
"80",1176,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.831431199081375,25.2090523856027
"81",1177,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.199738387683673,23.279691859654
"82",1178,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.0641480220199,19.7593627929688
"83",1179,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,23.4324541364398
"84",1180,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,25.7196594238281
"85",1181,"Lezhe","ipsl-cm6a-lr","ssp585",NA,3.62452520057559,23.6406145368304
"86",1182,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.789219130196476,26.6208086286273
"87",1183,"Lezhe","ipsl-cm6a-lr","ssp585",NA,5.40208790043835,25.4601902553014
"88",1184,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.77111073540125,22.857080078125
"89",1185,"Lezhe","ipsl-cm6a-lr","ssp585",NA,18.3797634239974,19.8678527832031
"90",1186,"Lezhe","ipsl-cm6a-lr","ssp585",NA,12.8140983107317,18.8993861607143
"91",1187,"Lezhe","ipsl-cm6a-lr","ssp585",NA,12.2083206619469,19.0275512695313
"92",1188,"Lezhe","ipsl-cm6a-lr","ssp585",NA,3.72590826716208,16.4913051060268
"93",1189,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.017667348843783,18.243314906529
"94",1190,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.590945017029298,18.5857570103237
"95",1191,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.38196476384889,14.0734845842634
"96",1192,"Lezhe","ipsl-cm6a-lr","ssp585",NA,1.69363589988539,16.6325884137835
"97",1193,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,11.7359470912389
"98",1194,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0,11.0718061174665
"99",1195,"Lezhe","ipsl-cm6a-lr","ssp585",NA,9.91258579727271,10.2664646693639
"100",1196,"Lezhe","ipsl-cm6a-lr","ssp585",NA,17.5146012088849,10.5271676199777
"101",1197,"Lezhe","ipsl-cm6a-lr","ssp585",NA,11.8672476482711,3.78694196428574
"102",1198,"Lezhe","ipsl-cm6a-lr","ssp585",NA,4.04478652136666,4.92734026227681
"103",1199,"Lezhe","ipsl-cm6a-lr","ssp585",NA,6.4766918508602,2.16714303152904
"104",1200,"Lezhe","ipsl-cm6a-lr","ssp585",NA,6.37851967808924,2.07685459681922
"105",1201,"Lezhe","ipsl-cm6a-lr","ssp585",NA,8.79924634770889,-1.37367204938614
"106",1202,"Lezhe","ipsl-cm6a-lr","ssp585",NA,6.27000599550748,3.01468593052458
"107",1203,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.893076545824962,-0.685967145647299
"108",1204,"Lezhe","ipsl-cm6a-lr","ssp585",NA,2.37752818169871,5.00910557338172
"109",1205,"Lezhe","ipsl-cm6a-lr","ssp585",NA,15.4486242033142,5.92908848353797
"110",1206,"Lezhe","ipsl-cm6a-lr","ssp585",NA,9.63083099174712,3.06261160714288
"111",1207,"Lezhe","ipsl-cm6a-lr","ssp585",NA,0.806934310613932,3.10551060267859
