"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.256043763420166,0.284419904436408
"2",524,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,4.7752322254902,1.45335540771487
"3",525,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,11.0841448302381,1.3038999285017
"4",526,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.92537119777054,0.496375383649575
"5",527,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,7.7245565110778,1.1128620692662
"6",528,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,2.70778920891774,2.7091744559152
"7",529,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.52589006269669,3.6149852207729
"8",530,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,2.87685540809305,3.01956220354355
"9",531,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.76213256378313,3.21716570172993
"10",532,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,2.22491680862211,2.47214442661833
"11",533,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.429550500198923,3.18224269321989
"12",534,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.36738338419257,7.70221862792969
"13",535,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0,7.7766510009766
"14",536,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.37027331672601,8.19490312848774
"15",537,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,13.2708750213039,6.29854736328126
"16",538,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,6.20474110629792,8.17755279541018
"17",539,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.78655292411817,7.19578813825339
"18",540,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.241743772728244,6.9212149483817
"19",541,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.3855992003477,7.7806335449219
"20",542,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,12.0727996173498,9.56046774727957
"21",543,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.342916809144559,15.5261300223214
"22",544,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.57048257912018,11.1497545514788
"23",545,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,9.88988928126803,15.3172862461635
"24",546,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,8.67710749750716,14.0353125435966
"25",547,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.13054067665611,13.6063716343471
"26",548,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.60540083161322,16.4211975097656
"27",549,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,2.91649237460661,15.8680086408343
"28",550,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.476154190775041,17.148942565918
"29",551,"Canton of Ticino","mpi-esm1-2-hr","ssp126",2,2.93555206503048,19.1666155133929
"30",552,"Canton of Ticino","mpi-esm1-2-hr","ssp126",2.25,4.5154492049083,17.2489388602121
"31",553,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0.25,7.71024617268787,13.5548797607422
"32",554,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0.25,1.87315332456949,17.3779693603516
"33",555,"Canton of Ticino","mpi-esm1-2-hr","ssp126",14.5,4.86295657836828,18.8504577636719
"34",556,"Canton of Ticino","mpi-esm1-2-hr","ssp126",14.25,3.34716808216139,19.5742780412947
"35",557,"Canton of Ticino","mpi-esm1-2-hr","ssp126",1,6.7653306788478,17.5501331874303
"36",558,"Canton of Ticino","mpi-esm1-2-hr","ssp126",2.75,3.77037856143423,15.5868654523577
"37",559,"Canton of Ticino","mpi-esm1-2-hr","ssp126",5,0.251303623528137,13.6531529017857
"38",560,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0.333333333333333,0.0137365987549336,15.4638272966658
"39",561,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.70956614529652,15.3636184692383
"40",562,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,8.37473108289746,11.759419468471
"41",563,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,5.85522751706386,11.7107297624861
"42",564,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,2.21839339626188,9.48141523088728
"43",565,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0,8.63578730991909
"44",566,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,5.57301555215547,10.404570879255
"45",567,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.0510674244651455,5.7310021536691
"46",568,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,12.1282408833005,6.59864196777346
"47",569,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.655542401662907,0.95556902204243
"48",570,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.57113387161579,4.44910365513395
"49",571,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,11.2081507002585,4.35765882219589
"50",572,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.44831047572578,-0.15099618094306
"51",573,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.77644053882562,1.0856382097517
"52",574,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,7.3933213914123,0.633562796456497
"53",575,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,2.08309984280797,-1.23762904575891
"54",576,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.392614022569303,-1.74084211077007
"55",577,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.674015997797792,-2.64148123604908
"56",578,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.60546776725823,-1.96972394670756
"57",579,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.063972350276994,0.199243164062525
"58",580,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.997903741803644,2.03459974016464
"59",581,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.76184185204745,1.7890073503767
"60",582,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.98365002896961,3.18350154331754
"61",583,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.996380535889329,1.57916630336219
"62",584,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.68663071074531,1.05229884556364
"63",585,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.472473027288548,1.08450360979355
"64",586,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,2.60885685482728,5.16552559988842
"65",587,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,10.2293945890519,2.82189658028741
"66",588,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.04387602178966,3.83735809326174
"67",589,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.60320281174791,4.17810538155694
"68",590,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.62645731202896,4.33094068254746
"69",591,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,8.69764245773174,7.76562434605193
"70",592,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.03644400387566,8.60862775530136
"71",593,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.77861091417019,10.1020533970424
"72",594,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,2.56135973733242,11.1043705531529
"73",595,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,19.3804258374647,10.9510142735073
"74",596,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.80315878198547,9.35437818254748
"75",597,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,7.0449662034142,11.911996459961
"76",598,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.502188206506357,9.78438720703126
"77",599,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,8.82801848880004,14.6439529418945
"78",600,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.33294537526256,16.8599552699498
"79",601,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,8.46016234842993,14.7647273472377
"80",602,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,9.28527661903249,15.6454820905413
"81",603,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0.75,0.294599089413948,17.5558912004743
"82",604,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0.5,3.37830219609064,19.5538018362863
"83",605,"Canton of Ticino","mpi-esm1-2-hr","ssp126",5,5.39128291114009,18.333862740653
"84",606,"Canton of Ticino","mpi-esm1-2-hr","ssp126",4.25,3.6509615725663,16.7824144635882
"85",607,"Canton of Ticino","mpi-esm1-2-hr","ssp126",8.66666666666667,2.2807374036347,16.6584760393415
"86",608,"Canton of Ticino","mpi-esm1-2-hr","ssp126",10,1.09053221946981,15.3355749947684
"87",609,"Canton of Ticino","mpi-esm1-2-hr","ssp126",13,4.44757633096223,17.6531365530832
"88",610,"Canton of Ticino","mpi-esm1-2-hr","ssp126",20,5.10955012214253,15.9935426984515
"89",611,"Canton of Ticino","mpi-esm1-2-hr","ssp126",19.125,0.316647762416064,16.6548095703126
"90",612,"Canton of Ticino","mpi-esm1-2-hr","ssp126",12.5,14.2328163144286,12.7558489118304
"91",613,"Canton of Ticino","mpi-esm1-2-hr","ssp126",3.5,0.524882735901753,12.6107280186245
"92",614,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,4.26362028091326,13.1562493460519
"93",615,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,8.00801122760667,7.87717372349334
"94",616,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,7.12159854597953,11.3402921404158
"95",617,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,6.36729826910596,9.15907222202848
"96",618,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,7.02021770735622,10.1092402866909
"97",619,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.389003675757392,8.61560974121097
"98",620,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,3.000998447117,8.2128649030413
"99",621,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,11.4179847826563,7.0911084856306
"100",622,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.87484758199779,3.16985909598216
"101",623,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.362618013345387,0.101471383231047
"102",624,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.29669689877119,0.00893554687501985
"103",625,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.66704462346284,-0.488550022670177
"104",626,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.641235581497314,1.48599831717357
"105",627,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,12.1916585844052,2.92267979213172
"106",628,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.270290506107683,-2.28632420131136
"107",629,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.326423155586651,-3.66083809988837
"108",630,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.222886054481413,0.26669900076732
"109",631,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.620721021290851,-1.01320277622766
"110",632,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.435327086389796,-3.55606689453123
"111",633,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.32825434627739,-1.70827985491069
"112",634,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,1.65585554129523,-3.82385319301058
"113",635,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,0.916357371222278,-1.28920375279015
"114",636,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.256985080497024,7.55613098144535
"115",637,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.0786610986194448,10.07900390625
"116",638,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.0956759840067078,5.62121952601844
"117",639,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.417098492887038,0.813914053780713
"118",640,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.245029615351606,2.88237588065013
"119",641,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.0513407486453487,4.5923280988421
"120",642,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,0.197154944570294,10.1856563023159
"121",643,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,4.01177964002792,10.6502417428153
"122",644,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,10.6647188128721,7.0026064191546
"123",645,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,1.16531223182912,11.0091600690569
"124",646,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,9.58596786732803,12.0464481898717
"125",647,"Canton of Ticino","mpi-esm1-2-hr","ssp126",NA,2.27257370029942,14.2403666904995
"126",648,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.79057258052386,14.5515228271485
"127",649,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,4.70096089806507,12.160911996024
"128",650,"Canton of Ticino","mpi-esm1-2-hr","ssp126",0,6.7999251132278,15.0178118024554
"129",651,"Canton of Ticino","mpi-esm1-2-hr","ssp126",1.75,4.85729036037291,17.0307926722936
