"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.873352565603065,9.86532418387279
"2",1046,"Lushnje","mpi-esm1-2-hr","ssp126",0,0,10.2620570591518
"3",1047,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.360733395739641,8.22038312639511
"4",1048,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.067281314113643,5.41443132672993
"5",1049,"Lushnje","mpi-esm1-2-hr","ssp126",0,2.52508564112109,10.7706281389509
"6",1050,"Lushnje","mpi-esm1-2-hr","ssp126",0,0,8.72079729352681
"7",1051,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.489344128540584,10.986705671038
"8",1052,"Lushnje","mpi-esm1-2-hr","ssp126",0,3.73404917939167,13.081676374163
"9",1053,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.894318968390248,11.1784301757813
"10",1054,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,13.1939549037389
"11",1055,"Lushnje","mpi-esm1-2-hr","ssp126",NA,1.96245585767818,12.923468889509
"12",1056,"Lushnje","mpi-esm1-2-hr","ssp126",NA,1.84216525220628,10.697638811384
"13",1057,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0161140329769946,12.0124450683594
"14",1058,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,15.9668692452567
"15",1059,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0609293507295661,16.3372436523438
"16",1060,"Lushnje","mpi-esm1-2-hr","ssp126",NA,1.66130868518459,17.139533342634
"17",1061,"Lushnje","mpi-esm1-2-hr","ssp126",NA,6.52304078186197,17.5277692522322
"18",1062,"Lushnje","mpi-esm1-2-hr","ssp126",NA,6.00014288086511,18.733061000279
"19",1063,"Lushnje","mpi-esm1-2-hr","ssp126",NA,5.47120485695944,17.0632219587054
"20",1064,"Lushnje","mpi-esm1-2-hr","ssp126",NA,8.50352674190487,18.5934561593192
"21",1065,"Lushnje","mpi-esm1-2-hr","ssp126",NA,3.72182555812677,19.5933558872768
"22",1066,"Lushnje","mpi-esm1-2-hr","ssp126",NA,4.46280250991029,19.0878496442523
"23",1067,"Lushnje","mpi-esm1-2-hr","ssp126",NA,1.20109707209589,20.4136771065848
"24",1068,"Lushnje","mpi-esm1-2-hr","ssp126",NA,2.67805083130952,20.7944492885045
"25",1069,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,22.9052455357143
"26",1070,"Lushnje","mpi-esm1-2-hr","ssp126",NA,3.1317717179523,25.3980303083148
"27",1071,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0498617136534969,24.5054391043527
"28",1072,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,27.8293570382255
"29",1073,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,29.4108825683594
"30",1074,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0997780701124741,29.1885838099889
"31",1075,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.618136321593608,25.5443708147322
"32",1076,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0207028401096717,27.8358790806362
"33",1077,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,27.193501499721
"34",1078,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,28.0560154506139
"35",1079,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,27.3240339006697
"36",1080,"Lushnje","mpi-esm1-2-hr","ssp126",243,0,27.146133858817
"37",1081,"Lushnje","mpi-esm1-2-hr","ssp126",248,0,25.3466910226005
"38",1082,"Lushnje","mpi-esm1-2-hr","ssp126",245,0.401066102079182,22.0433724539621
"39",1083,"Lushnje","mpi-esm1-2-hr","ssp126",202,0.0721004584712708,23.2171657017299
"40",1084,"Lushnje","mpi-esm1-2-hr","ssp126",33,6.8345266128225,21.4943263462612
"41",1085,"Lushnje","mpi-esm1-2-hr","ssp126",34,7.48738982999514,17.7427176339286
"42",1086,"Lushnje","mpi-esm1-2-hr","ssp126",NA,17.2382618167571,18.7585475376674
"43",1087,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0864094196003862,17.3044416155134
"44",1088,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0.0945148668376662,13.8686941964286
"45",1089,"Lushnje","mpi-esm1-2-hr","ssp126",0,0,14.302392578125
"46",1090,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.80275207957519,15.1109601702009
"47",1091,"Lushnje","mpi-esm1-2-hr","ssp126",0,1.75869626130277,12.8451346261161
"48",1092,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.041583468243646,13.2775992257255
"49",1093,"Lushnje","mpi-esm1-2-hr","ssp126",0,2.23829666034102,14.3230529785156
"50",1094,"Lushnje","mpi-esm1-2-hr","ssp126",0,8.0857847966919,12.5881068638393
"51",1095,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.787353481324057,8.63627232142859
"52",1096,"Lushnje","mpi-esm1-2-hr","ssp126",0,0,6.90680193219868
"53",1097,"Lushnje","mpi-esm1-2-hr","ssp126",0,0.269375950197822,8.6928911481585
"54",1098,"Lushnje","mpi-esm1-2-hr","ssp126",0,2.70801541295701,12.2409737723215
"55",1099,"Lushnje","mpi-esm1-2-hr","ssp126",0,10.1005851756781,10.5378095354353
"56",1100,"Lushnje","mpi-esm1-2-hr","ssp126",0,5.31551437701897,11.2823207310268
"57",1101,"Lushnje","mpi-esm1-2-hr","ssp126",0,5.5379425242011,9.3229919433594
"58",1102,"Lushnje","mpi-esm1-2-hr","ssp126",0,2.86164734612352,11.8103794642857
"59",1103,"Lushnje","mpi-esm1-2-hr","ssp126",0,12.0078258598889,11.3846984863281
"60",1104,"Lushnje","mpi-esm1-2-hr","ssp126",0,3.49474141340969,7.33988560267859
"61",1105,"Lushnje","mpi-esm1-2-hr","ssp126",0,1.39084914574466,10.7644112723215
"62",1106,"Lushnje","mpi-esm1-2-hr","ssp126",NA,0,13.9643973214286
"63",1107,"Lushnje","mpi-esm1-2-hr","ssp126",NA,1.40192135170634,12.9009774344308
"64",1108,"Lushnje","mpi-esm1-2-hr","ssp126",NA,3.29033186639468,11.6971112932478
"65",1109,"Lushnje","mpi-esm1-2-hr","ssp126",NA,2.76839867801755,12.5141148158482
"66",1110,"Lushnje","mpi-esm1-2-hr","ssp126",NA,2.45280967626188,13.2143580845424
