"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",941,"Veneto","mpi-esm1-2-hr","ssp370",0,4.57895573139491,-5.68795395888289
"2",942,"Veneto","mpi-esm1-2-hr","ssp370",0,3.36437221659879,-4.78471766880578
"3",943,"Veneto","mpi-esm1-2-hr","ssp370",0,2.79711140822408,-9.56580556894275
"4",944,"Veneto","mpi-esm1-2-hr","ssp370",0,0.156178999640798,-6.79418921532567
"5",945,"Veneto","mpi-esm1-2-hr","ssp370",0,0.735743422282885,-4.57295460886767
"6",946,"Veneto","mpi-esm1-2-hr","ssp370",0,0.107175785283348,-8.04739633535408
"7",947,"Veneto","mpi-esm1-2-hr","ssp370",0,2.37141227060112,-2.43992571149552
"8",948,"Veneto","mpi-esm1-2-hr","ssp370",0,3.21913079195921,-0.551811872209798
"9",949,"Veneto","mpi-esm1-2-hr","ssp370",0,0.492182260684597,1.70503278459824
"10",950,"Veneto","mpi-esm1-2-hr","ssp370",NA,0.676821359579131,-1.15435846502128
"11",951,"Veneto","mpi-esm1-2-hr","ssp370",NA,3.29761897246262,-1.63291729022928
"12",952,"Veneto","mpi-esm1-2-hr","ssp370",NA,11.339363620965,-0.76098410866475
"13",953,"Veneto","mpi-esm1-2-hr","ssp370",NA,0.220912034897732,-0.252836707969741
"14",954,"Veneto","mpi-esm1-2-hr","ssp370",NA,0.603243988167945,0.0372098848417432
"15",955,"Veneto","mpi-esm1-2-hr","ssp370",NA,1.27620522850178,0.754663878601889
"16",956,"Veneto","mpi-esm1-2-hr","ssp370",NA,1.62853759156151,4.03719046456475
"17",957,"Veneto","mpi-esm1-2-hr","ssp370",NA,0.208229417434528,0.317557436460044
"18",958,"Veneto","mpi-esm1-2-hr","ssp370",NA,1.06019073180316,8.88763292981435
"19",959,"Veneto","mpi-esm1-2-hr","ssp370",0,0.0748983664096442,8.916583410486
"20",960,"Veneto","mpi-esm1-2-hr","ssp370",0,6.79769180390028,5.44484863281252
"21",961,"Veneto","mpi-esm1-2-hr","ssp370",0.375,5.82001893138573,9.89483864524151
"22",962,"Veneto","mpi-esm1-2-hr","ssp370",0.5,16.5342493457478,6.88745893998582
"23",963,"Veneto","mpi-esm1-2-hr","ssp370",3.25,2.33814614633508,9.69056071491984
"24",964,"Veneto","mpi-esm1-2-hr","ssp370",2.875,7.1422494495856,10.6432735294491
"25",965,"Veneto","mpi-esm1-2-hr","ssp370",5.5,12.0944088241751,7.95899531376828
"26",966,"Veneto","mpi-esm1-2-hr","ssp370",3.25,4.6958928568517,10.4452077097707
"27",967,"Veneto","mpi-esm1-2-hr","ssp370",13.3125,3.69057532145896,9.93935586508219
"28",968,"Veneto","mpi-esm1-2-hr","ssp370",16.4375,7.02474136561285,7.91809303977275
