"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",889,"Lazio","mri-esm2-0","ssp126",0,0,7.71024257114957
"2",890,"Lazio","mri-esm2-0","ssp126",0,10.3206488572011,9.68390808105474
"3",891,"Lazio","mri-esm2-0","ssp126",0,0.797932769637553,6.68899143763953
"4",892,"Lazio","mri-esm2-0","ssp126",0,0.284517976615462,8.07588893345427
"5",893,"Lazio","mri-esm2-0","ssp126",0,0.092945844724974,7.93399745396207
"6",894,"Lazio","mri-esm2-0","ssp126",0,2.52499142329075,7.87056012834823
"7",895,"Lazio","mri-esm2-0","ssp126",0,8.24205692551914,7.24227512904578
"8",896,"Lazio","mri-esm2-0","ssp126",0,0.236874932618646,10.1099705287389
"9",897,"Lazio","mri-esm2-0","ssp126",0,2.07573044816465,11.847817993164
"10",898,"Lazio","mri-esm2-0","ssp126",0,0,11.505748639788
"11",899,"Lazio","mri-esm2-0","ssp126",0,2.14252545660462,11.6285971505302
"12",900,"Lazio","mri-esm2-0","ssp126",0,4.85084816921569,12.0105529785157
"13",901,"Lazio","mri-esm2-0","ssp126",0,1.33213956058691,14.0990626743862
"14",902,"Lazio","mri-esm2-0","ssp126",NA,0.478541745022604,14.835589163644
"15",903,"Lazio","mri-esm2-0","ssp126",NA,0.705290750894554,14.7472952706473
"16",904,"Lazio","mri-esm2-0","ssp126",NA,4.28940819669411,15.3872554234097
"17",905,"Lazio","mri-esm2-0","ssp126",NA,0.916800205128049,14.3984030587333
"18",906,"Lazio","mri-esm2-0","ssp126",NA,0.625520708594455,16.2541159493583
"19",907,"Lazio","mri-esm2-0","ssp126",NA,5.1518427751684,16.2665910993304
"20",908,"Lazio","mri-esm2-0","ssp126",NA,1.79304548853127,18.307262311663
"21",909,"Lazio","mri-esm2-0","ssp126",NA,0.976320608918156,19.670061819894
"22",910,"Lazio","mri-esm2-0","ssp126",NA,0.860937763978393,19.8063925606864
"23",911,"Lazio","mri-esm2-0","ssp126",NA,0.0983768780705369,23.8884150913783
"24",912,"Lazio","mri-esm2-0","ssp126",NA,0,24.7079755510603
"25",913,"Lazio","mri-esm2-0","ssp126",NA,0,24.7902226039342
"26",914,"Lazio","mri-esm2-0","ssp126",NA,0.203029579383188,26.2704886300223
"27",915,"Lazio","mri-esm2-0","ssp126",NA,0,25.1115269252232
"28",916,"Lazio","mri-esm2-0","ssp126",NA,0.197076579622392,27.6316685267857
"29",917,"Lazio","mri-esm2-0","ssp126",NA,0.388032911048088,27.4101130894252
"30",918,"Lazio","mri-esm2-0","ssp126",NA,0.105787368478819,29.0040919712612
"31",919,"Lazio","mri-esm2-0","ssp126",NA,0.537386780238845,26.2681453159878
"32",920,"Lazio","mri-esm2-0","ssp126",NA,0.0102136553843074,27.3954450334822
"33",921,"Lazio","mri-esm2-0","ssp126",NA,0,27.6811745779855
"34",922,"Lazio","mri-esm2-0","ssp126",NA,0.154820707809579,28.3341025216239
"35",923,"Lazio","mri-esm2-0","ssp126",NA,0.807197324632268,26.746724155971
"36",924,"Lazio","mri-esm2-0","ssp126",NA,2.02705687209215,22.3632250104632
"37",925,"Lazio","mri-esm2-0","ssp126",NA,1.99404023065394,21.7858476911273
"38",926,"Lazio","mri-esm2-0","ssp126",NA,1.4710786480074,21.3749197823661
"39",927,"Lazio","mri-esm2-0","ssp126",0,0.265253064156111,19.5605756487166
"40",928,"Lazio","mri-esm2-0","ssp126",7,0.437532460533215,19.0625418526785
