"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",732,"Cote Azur","mri-esm2-0","ssp370",0,7.52224345602112,8.19539794921877
"2",733,"Cote Azur","mri-esm2-0","ssp370",0,0.0348714974409502,8.78895176478797
"3",734,"Cote Azur","mri-esm2-0","ssp370",0,0.0169191825989401,8.95064697265627
"4",735,"Cote Azur","mri-esm2-0","ssp370",0,0.195741889703121,7.50166364397324
"5",736,"Cote Azur","mri-esm2-0","ssp370",0,10.9526524819168,6.59235752650672
"6",737,"Cote Azur","mri-esm2-0","ssp370",0,0.500626413434345,9.35501360212056
"7",738,"Cote Azur","mri-esm2-0","ssp370",0,0,8.3892761230469
"8",739,"Cote Azur","mri-esm2-0","ssp370",0,1.66858720622258,9.52358834402904
"9",740,"Cote Azur","mri-esm2-0","ssp370",0,1.3084467342456,9.18218383789065
"10",741,"Cote Azur","mri-esm2-0","ssp370",NA,5.00727752888841,5.00005493164065
"11",742,"Cote Azur","mri-esm2-0","ssp370",NA,4.4488959615202,9.12531651088172
"12",743,"Cote Azur","mri-esm2-0","ssp370",NA,5.71053789213433,9.81897234235493
"13",744,"Cote Azur","mri-esm2-0","ssp370",NA,2.24409905245661,11.1562569754465
"14",745,"Cote Azur","mri-esm2-0","ssp370",NA,2.75387561913314,11.9135114397322
"15",746,"Cote Azur","mri-esm2-0","ssp370",NA,0.920368071196468,10.6238473074777
"16",747,"Cote Azur","mri-esm2-0","ssp370",NA,9.51637239195406,10.9834097726005
"17",748,"Cote Azur","mri-esm2-0","ssp370",0,2.03429312813179,12.5468601771764
"18",749,"Cote Azur","mri-esm2-0","ssp370",0,6.27342650799879,14.0590977260045
"19",750,"Cote Azur","mri-esm2-0","ssp370",0,4.98450858285651,12.6225655691965
"20",751,"Cote Azur","mri-esm2-0","ssp370",0,0.475707183691806,15.0771902901786
"21",752,"Cote Azur","mri-esm2-0","ssp370",0,1.98443636503985,15.9611580984933
"22",753,"Cote Azur","mri-esm2-0","ssp370",0,2.18308491915065,16.5538051060268
"23",754,"Cote Azur","mri-esm2-0","ssp370",5.5,1.33592566391079,16.6799734933036
"24",755,"Cote Azur","mri-esm2-0","ssp370",4.5,1.35172665385263,19.3609514508929
"25",756,"Cote Azur","mri-esm2-0","ssp370",6,0,18.2163373674665
"26",757,"Cote Azur","mri-esm2-0","ssp370",3.5,0,21.4536202566964
"27",758,"Cote Azur","mri-esm2-0","ssp370",51,0,22.5859008789063
"28",759,"Cote Azur","mri-esm2-0","ssp370",57,1.57470414498156,22.4405151367188
"29",760,"Cote Azur","mri-esm2-0","ssp370",58,0.557248590381018,22.2231515066964
"30",761,"Cote Azur","mri-esm2-0","ssp370",55.5,0.395494054204651,24.2169041224889
"31",762,"Cote Azur","mri-esm2-0","ssp370",184.5,0,24.2925920758929
"32",763,"Cote Azur","mri-esm2-0","ssp370",173,0,23.5931379045759
"33",764,"Cote Azur","mri-esm2-0","ssp370",159,0,26.2431753976005
"34",765,"Cote Azur","mri-esm2-0","ssp370",169,1.06738227384215,23.3985534667969
"35",766,"Cote Azur","mri-esm2-0","ssp370",62,3.83994980740161,23.9015921456473
"36",767,"Cote Azur","mri-esm2-0","ssp370",63.5,6.35426898183401,23.2907130650112
"37",768,"Cote Azur","mri-esm2-0","ssp370",76,3.96778236608952,20.762113734654
"38",769,"Cote Azur","mri-esm2-0","ssp370",74,0,21.750883265904
"39",770,"Cote Azur","mri-esm2-0","ssp370",13,0.925649040644722,21.9272574288505
"40",771,"Cote Azur","mri-esm2-0","ssp370",24.5,12.040790201198,18.4178100585938
"41",772,"Cote Azur","mri-esm2-0","ssp370",22.5,1.69271037780813,17.4725237165179
"42",773,"Cote Azur","mri-esm2-0","ssp370",22.5,4.26126112153205,15.7316048758371
"43",774,"Cote Azur","mri-esm2-0","ssp370",0,2.39650960013803,16.2502685546875
"44",775,"Cote Azur","mri-esm2-0","ssp370",0,2.51228630799492,11.7864711216518
"45",776,"Cote Azur","mri-esm2-0","ssp370",0,0.26314576389268,12.7279558454241
"46",777,"Cote Azur","mri-esm2-0","ssp370",0,2.28576080075332,10.7312604631697
"47",778,"Cote Azur","mri-esm2-0","ssp370",0,0.54927682233808,9.65739048549109
"48",779,"Cote Azur","mri-esm2-0","ssp370",0,1.95842972368285,12.1674176897322
"49",780,"Cote Azur","mri-esm2-0","ssp370",0,7.42906908562873,8.55422363281252
"50",781,"Cote Azur","mri-esm2-0","ssp370",0,2.2032210967674,10.3202627999442
"51",782,"Cote Azur","mri-esm2-0","ssp370",0,2.31753554793873,10.1030168805804
"52",783,"Cote Azur","mri-esm2-0","ssp370",0,23.0065012541932,10.3684805733817
"53",784,"Cote Azur","mri-esm2-0","ssp370",0,5.2636970400012,8.0631783621652
"54",785,"Cote Azur","mri-esm2-0","ssp370",0,12.9537520975906,7.67893589564734
"55",786,"Cote Azur","mri-esm2-0","ssp370",0,17.9388098391688,10.2458740234375
"56",787,"Cote Azur","mri-esm2-0","ssp370",0,14.7574814003227,8.26406250000002
"57",788,"Cote Azur","mri-esm2-0","ssp370",0,0,7.88919328962056
