"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.927785046938617,6.74352961948942
"2",524,"Emilia-Romagna","mri-esm2-0","ssp370",0,7.67002836957675,6.44073121207103
"3",525,"Emilia-Romagna","mri-esm2-0","ssp370",0,3.01509163469486,5.47603323800226
"4",526,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.965143220449655,6.30529365539553
"5",527,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.331333964965909,5.81530287606378
"6",528,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.0765418741398857,8.3299316951207
"7",529,"Emilia-Romagna","mri-esm2-0","ssp370",0,3.7317560259193,8.90085291181294
"8",530,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.826159675060419,4.2583311898368
"9",531,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.482965198768528,4.05541681562153
"10",532,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.7016891680214,9.12325139726914
"11",533,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.03567896986923,11.2022600446429
"12",534,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.9725638442521,12.0426403045655
"13",535,"Emilia-Romagna","mri-esm2-0","ssp370",NA,2.88189572419079,12.9025332859585
"14",536,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.398675336912545,9.89203523908344
"15",537,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.48045899920492,12.3454640524728
"16",538,"Emilia-Romagna","mri-esm2-0","ssp370",NA,4.9064292274904,12.9629144941057
"17",539,"Emilia-Romagna","mri-esm2-0","ssp370",NA,4.38166696402342,13.9888345445906
"18",540,"Emilia-Romagna","mri-esm2-0","ssp370",NA,2.70658290805191,14.4217991420201
"19",541,"Emilia-Romagna","mri-esm2-0","ssp370",NA,3.52197760602978,15.754659816197
"20",542,"Emilia-Romagna","mri-esm2-0","ssp370",21.125,1.16837994734981,18.7741065979004
"21",543,"Emilia-Romagna","mri-esm2-0","ssp370",23.8125,4.47643197261252,18.0956926618304
"22",544,"Emilia-Romagna","mri-esm2-0","ssp370",38.90625,0.156246661955655,21.5932267325265
"23",545,"Emilia-Romagna","mri-esm2-0","ssp370",41.0625,0.59996226846124,19.6937374659947
"24",546,"Emilia-Romagna","mri-esm2-0","ssp370",89.59375,0.217391055597156,23.0661200387137
"25",547,"Emilia-Romagna","mri-esm2-0","ssp370",91.875,0.338544473665284,25.1324393681118
"26",548,"Emilia-Romagna","mri-esm2-0","ssp370",130.25,0,23.9008986881801
"27",549,"Emilia-Romagna","mri-esm2-0","ssp370",133.40625,0.0911972556553208,22.851530783517
"28",550,"Emilia-Romagna","mri-esm2-0","ssp370",96.40625,0.00120171058110177,24.8523988996234
"29",551,"Emilia-Romagna","mri-esm2-0","ssp370",94.875,0.578564876351656,27.3855475289481
"30",552,"Emilia-Romagna","mri-esm2-0","ssp370",76.5625,0.664022666257681,27.7015131814139
"31",553,"Emilia-Romagna","mri-esm2-0","ssp370",76.03125,0.632450339578229,25.3306270599365
"32",554,"Emilia-Romagna","mri-esm2-0","ssp370",161.25,3.25798259859441,24.8165938786098
"33",555,"Emilia-Romagna","mri-esm2-0","ssp370",159.46875,0,23.2468443189349
"34",556,"Emilia-Romagna","mri-esm2-0","ssp370",111.03125,0.651612112970465,25.9415562765939
"35",557,"Emilia-Romagna","mri-esm2-0","ssp370",105.90625,0.612339784941339,24.1394998277937
"36",558,"Emilia-Romagna","mri-esm2-0","ssp370",76.1875,8.41310657777803,23.3379354749407
"37",559,"Emilia-Romagna","mri-esm2-0","ssp370",75.84375,6.78247063291824,17.5035186767578
"38",560,"Emilia-Romagna","mri-esm2-0","ssp370",39.3125,3.08923204691902,18.6053953443255
"39",561,"Emilia-Romagna","mri-esm2-0","ssp370",41.9375,1.08175530259424,18.6656667436873
"40",562,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.654962919348431,18.3000702449254
"41",563,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.47735098117729,17.8018874032157
"42",564,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.0428322599386125,12.0702167510987
"43",565,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.0745951431586685,15.9481507982527
"44",566,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.478009343471188,9.43146585736958
"45",567,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.00210870778118988,7.24516421726774
"46",568,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.444826936187123,6.59259866986958
"47",569,"Emilia-Romagna","mri-esm2-0","ssp370",0,4.17458649888951,12.1286837986538
"48",570,"Emilia-Romagna","mri-esm2-0","ssp370",0,3.41005379294594,10.503657913208
"49",571,"Emilia-Romagna","mri-esm2-0","ssp370",0,1.54394838171876,8.41214359828406
"50",572,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.1117087557889,2.43915519714358
"51",573,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.387328267087079,-0.232603454589821
"52",574,"Emilia-Romagna","mri-esm2-0","ssp370",0,0,0.631975337437244
"53",575,"Emilia-Romagna","mri-esm2-0","ssp370",0,2.05240965236449,4.7136318174731
"54",576,"Emilia-Romagna","mri-esm2-0","ssp370",0,2.36661644306909,4.50778972721904
"55",577,"Emilia-Romagna","mri-esm2-0","ssp370",0,3.99547451088438,4.9011797736673
"56",578,"Emilia-Romagna","mri-esm2-0","ssp370",0,7.5288576822879,6.69157196814275
"57",579,"Emilia-Romagna","mri-esm2-0","ssp370",0,0.0758027443867724,6.01101997439603
"58",580,"Emilia-Romagna","mri-esm2-0","ssp370",0,1.22124629702097,4.25862780659141
"59",581,"Emilia-Romagna","mri-esm2-0","ssp370",0,2.90421513567127,7.47083909491533
"60",582,"Emilia-Romagna","mri-esm2-0","ssp370",0,8.11741544915576,6.93774137096247
"61",583,"Emilia-Romagna","mri-esm2-0","ssp370",0,13.2263851620329,3.25437098911833
"62",584,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.455895995715962,7.3823922293527
"63",585,"Emilia-Romagna","mri-esm2-0","ssp370",NA,2.40607684330933,7.89397249622507
"64",586,"Emilia-Romagna","mri-esm2-0","ssp370",NA,7.6035607514092,9.74209856305806
"65",587,"Emilia-Romagna","mri-esm2-0","ssp370",NA,0.0920276407722507,10.7752070579208
"66",588,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.13820949857754,12.4162921296448
"67",589,"Emilia-Romagna","mri-esm2-0","ssp370",NA,3.14213037239243,13.1432013503644
"68",590,"Emilia-Romagna","mri-esm2-0","ssp370",NA,2.8939280285502,14.503832443622
"69",591,"Emilia-Romagna","mri-esm2-0","ssp370",NA,1.16153150337588,12.2074808585544
"70",592,"Emilia-Romagna","mri-esm2-0","ssp370",NA,2.74533617291333,16.1395405232406
"71",593,"Emilia-Romagna","mri-esm2-0","ssp370",NA,3.42248087266654,13.0989634281447
"72",594,"Emilia-Romagna","mri-esm2-0","ssp370",17.4705882352941,3.60948059702622,13.9474192899816
"73",595,"Emilia-Romagna","mri-esm2-0","ssp370",19.5294117647059,4.76177671637842,16.3125044109441
"74",596,"Emilia-Romagna","mri-esm2-0","ssp370",33.3823529411765,3.7228772754462,16.8642429896764
"75",597,"Emilia-Romagna","mri-esm2-0","ssp370",33.2352941176471,0.706523141548323,19.1059034844406
"76",598,"Emilia-Romagna","mri-esm2-0","ssp370",70.96875,0.670719034941681,20.4589818617877
"77",599,"Emilia-Romagna","mri-esm2-0","ssp370",70.25,4.76512447899078,20.1388452866498
"78",600,"Emilia-Romagna","mri-esm2-0","ssp370",138.333333333333,0.717060604319074,22.373869362198
"79",601,"Emilia-Romagna","mri-esm2-0","ssp370",143.866666666667,2.8590008268088,20.9913987103631
"80",602,"Emilia-Romagna","mri-esm2-0","ssp370",80.90625,0.196117331885768,24.6998989073169
"81",603,"Emilia-Romagna","mri-esm2-0","ssp370",80.21875,0.64726895598906,25.2747767344243
"82",604,"Emilia-Romagna","mri-esm2-0","ssp370",143.59375,0.183160041953915,21.232798395237
"83",605,"Emilia-Romagna","mri-esm2-0","ssp370",146.40625,0.993761407251043,23.4270471396567
"84",606,"Emilia-Romagna","mri-esm2-0","ssp370",145.392857142857,0.320037298486935,25.0413685518153
"85",607,"Emilia-Romagna","mri-esm2-0","ssp370",149.142857142857,0.0892661917639677,26.6988354081867
"86",608,"Emilia-Romagna","mri-esm2-0","ssp370",102.25,0.0553117480477271,24.3387302943639
"87",609,"Emilia-Romagna","mri-esm2-0","ssp370",98.90625,0.0839418717200217,23.7503398478532
"88",610,"Emilia-Romagna","mri-esm2-0","ssp370",103.15625,0.159384599030717,22.0665283716026
"89",611,"Emilia-Romagna","mri-esm2-0","ssp370",107.53125,0,20.6397990250788
"90",612,"Emilia-Romagna","mri-esm2-0","ssp370",76.78125,0.0242992006318091,22.660621758469
