"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Puglia","mri-esm2-0","ssp370",0,0.600596434835877,10.6946079799107
"2",524,"Puglia","mri-esm2-0","ssp370",0,6.70302171914955,10.9576285226005
"3",525,"Puglia","mri-esm2-0","ssp370",0,2.09326729610828,10.4277553013393
"4",526,"Puglia","mri-esm2-0","ssp370",0,0.0873156720938693,10.8549307686942
"5",527,"Puglia","mri-esm2-0","ssp370",0,1.00416997613917,10.2695643833706
"6",528,"Puglia","mri-esm2-0","ssp370",0,0.0352843206720925,11.7244594029018
"7",529,"Puglia","mri-esm2-0","ssp370",0,1.19327340077559,12.5322300502233
"8",530,"Puglia","mri-esm2-0","ssp370",0,3.44588224768813,7.05687081473216
"9",531,"Puglia","mri-esm2-0","ssp370",0,2.85962730596241,7.09660295758931
"10",532,"Puglia","mri-esm2-0","ssp370",NA,0.260244100562497,8.9626900809152
"11",533,"Puglia","mri-esm2-0","ssp370",NA,0.577599470541047,14.8903076171875
"12",534,"Puglia","mri-esm2-0","ssp370",NA,0.166630783746119,14.1166887555804
"13",535,"Puglia","mri-esm2-0","ssp370",NA,1.11683962259641,14.7671866280692
"14",536,"Puglia","mri-esm2-0","ssp370",NA,0.490113096124592,9.5400809151786
"15",537,"Puglia","mri-esm2-0","ssp370",NA,0.752203790949092,13.5372209821429
"16",538,"Puglia","mri-esm2-0","ssp370",0,1.45757069054525,14.1485020228795
"17",539,"Puglia","mri-esm2-0","ssp370",0,0.933874125891765,15.7557992117746
"18",540,"Puglia","mri-esm2-0","ssp370",0,2.7748383017024,15.3502380371094
"19",541,"Puglia","mri-esm2-0","ssp370",0,2.17965959080695,16.2714494977678
"20",542,"Puglia","mri-esm2-0","ssp370",0.5,2.55619918131352,18.1236659458705
"21",543,"Puglia","mri-esm2-0","ssp370",0.8,1.03559673392738,18.7114728655134
"22",544,"Puglia","mri-esm2-0","ssp370",17.9,0,23.0951416015626
"23",545,"Puglia","mri-esm2-0","ssp370",21.4,0.181632444062935,21.5589006696429
"24",546,"Puglia","mri-esm2-0","ssp370",14.5,0,24.5442103794643
"25",547,"Puglia","mri-esm2-0","ssp370",14.2,0,29.225834437779
"26",548,"Puglia","mri-esm2-0","ssp370",10.3,0,27.7853044782366
"27",549,"Puglia","mri-esm2-0","ssp370",9,0.0766503798409498,25.8270002092634
"28",550,"Puglia","mri-esm2-0","ssp370",61.8,0,27.2994881766184
"29",551,"Puglia","mri-esm2-0","ssp370",30.9,4.40236928908105,26.9356175013951
"30",552,"Puglia","mri-esm2-0","ssp370",31.2,1.42123605856406,28.6735499790736
"31",553,"Puglia","mri-esm2-0","ssp370",45.7,0.232761902516359,27.4400355747768
"32",554,"Puglia","mri-esm2-0","ssp370",47.3,0,28.7617562430246
"33",555,"Puglia","mri-esm2-0","ssp370",50.1,0,27.1518354143416
"34",556,"Puglia","mri-esm2-0","ssp370",78.4,0,27.116783796038
"35",557,"Puglia","mri-esm2-0","ssp370",41.5,0.386843404765906,27.4918448311942
"36",558,"Puglia","mri-esm2-0","ssp370",41.7,0.281993541866541,26.8838038853237
"37",559,"Puglia","mri-esm2-0","ssp370",63.4,0.618409051229329,22.8701433454241
"38",560,"Puglia","mri-esm2-0","ssp370",28.4,0.955083875160199,20.9528407505581
"39",561,"Puglia","mri-esm2-0","ssp370",31.9,1.1097185080871,23.227254813058
"40",562,"Puglia","mri-esm2-0","ssp370",67.6,0,20.341011265346
"41",563,"Puglia","mri-esm2-0","ssp370",17.4,5.23734975314125,20.9120047433036
"42",564,"Puglia","mri-esm2-0","ssp370",15.8,0.199760449676042,14.9908412388393
"43",565,"Puglia","mri-esm2-0","ssp370",6.4,0.277615439221595,17.6566519601005
"44",566,"Puglia","mri-esm2-0","ssp370",NA,0.473196092726929,13.7904436383929
"45",567,"Puglia","mri-esm2-0","ssp370",0,0.31275103957991,11.7784484863281
"46",568,"Puglia","mri-esm2-0","ssp370",0,2.60699950852931,11.5599504743304
"47",569,"Puglia","mri-esm2-0","ssp370",0,2.03154096558657,15.0735804966518
"48",570,"Puglia","mri-esm2-0","ssp370",0,0,14.6174246651786
"49",571,"Puglia","mri-esm2-0","ssp370",0,2.35733284851968,13.9056884765625
"50",572,"Puglia","mri-esm2-0","ssp370",0,0.347671717089335,8.97353690011163
"51",573,"Puglia","mri-esm2-0","ssp370",0,3.72874969416963,4.4812447684152
"52",574,"Puglia","mri-esm2-0","ssp370",0,0.091641526669264,6.91437901088172
"53",575,"Puglia","mri-esm2-0","ssp370",0,4.89784077088448,10.8720197405134
"54",576,"Puglia","mri-esm2-0","ssp370",0,3.62994243282758,9.76748046875002
"55",577,"Puglia","mri-esm2-0","ssp370",0,5.21910369263164,10.3460344587054
"56",578,"Puglia","mri-esm2-0","ssp370",0,2.53854001633174,9.29067731584824
"57",579,"Puglia","mri-esm2-0","ssp370",0,0.901870132906229,10.31220703125
"58",580,"Puglia","mri-esm2-0","ssp370",0,1.18740056699608,8.67900739397324
"59",581,"Puglia","mri-esm2-0","ssp370",0,1.66310607804917,10.8690246582032
"60",582,"Puglia","mri-esm2-0","ssp370",0,4.45723118160718,10.5502746582031
"61",583,"Puglia","mri-esm2-0","ssp370",NA,11.7182736479611,8.58554861886163
"62",584,"Puglia","mri-esm2-0","ssp370",NA,2.1583934534075,9.88005371093752
"63",585,"Puglia","mri-esm2-0","ssp370",NA,0.229535923520286,12.4063938685826
"64",586,"Puglia","mri-esm2-0","ssp370",NA,2.63686226913705,12.0780552455357
"65",587,"Puglia","mri-esm2-0","ssp370",NA,3.98188205261249,11.6794372558594
"66",588,"Puglia","mri-esm2-0","ssp370",NA,0.0293507692653552,13.4343566894531
"67",589,"Puglia","mri-esm2-0","ssp370",NA,0.210275073103341,14.2380353655134
"68",590,"Puglia","mri-esm2-0","ssp370",NA,0.0354924886986347,16.4010899135045
"69",591,"Puglia","mri-esm2-0","ssp370",NA,0.217216364918776,13.9802219935826
"70",592,"Puglia","mri-esm2-0","ssp370",NA,1.67343648333502,15.3211635044643
"71",593,"Puglia","mri-esm2-0","ssp370",NA,0.919532864312974,15.7391967773437
"72",594,"Puglia","mri-esm2-0","ssp370",NA,0.347180734482078,16.2348475864956
"73",595,"Puglia","mri-esm2-0","ssp370",NA,2.74038158386247,17.2465183803014
"74",596,"Puglia","mri-esm2-0","ssp370",NA,0.594519013206341,20.5464032854353
"75",597,"Puglia","mri-esm2-0","ssp370",NA,1.77455109028545,19.0787449428014
"76",598,"Puglia","mri-esm2-0","ssp370",NA,1.53648238250753,21.8173836844308
"77",599,"Puglia","mri-esm2-0","ssp370",NA,0.924665151334401,21.5036786760603
"78",600,"Puglia","mri-esm2-0","ssp370",NA,0.167371905824569,23.5782470703125
"79",601,"Puglia","mri-esm2-0","ssp370",NA,2.48754753997284,21.6521179199219
"80",602,"Puglia","mri-esm2-0","ssp370",NA,0,27.3345293317523
"81",603,"Puglia","mri-esm2-0","ssp370",NA,0,29.2895786830357
"82",604,"Puglia","mri-esm2-0","ssp370",NA,0.0115315742940376,25.5693525041853
"83",605,"Puglia","mri-esm2-0","ssp370",30.2,0.939692881241042,25.5666582380023
"84",606,"Puglia","mri-esm2-0","ssp370",32.4,0,26.3812203543527
"85",607,"Puglia","mri-esm2-0","ssp370",32.9,0,27.4145098005023
"86",608,"Puglia","mri-esm2-0","ssp370",31.5,0,25.6996346609933
"87",609,"Puglia","mri-esm2-0","ssp370",77.9,0,25.2806169782367
"88",610,"Puglia","mri-esm2-0","ssp370",34,0.0030971914280339,25.1939644949777
"89",611,"Puglia","mri-esm2-0","ssp370",25.3,0.0863636690025617,22.5989310128348
"90",612,"Puglia","mri-esm2-0","ssp370",74,0,24.3020350864955
"91",613,"Puglia","mri-esm2-0","ssp370",14.2,1.79133641604234,18.987788609096
"92",614,"Puglia","mri-esm2-0","ssp370",12.7,1.03286409214239,18.4754333496094
"93",615,"Puglia","mri-esm2-0","ssp370",20.7,1.19937926399871,16.7684770856585
"94",616,"Puglia","mri-esm2-0","ssp370",6,2.17930263174431,16.6984627859933
"95",617,"Puglia","mri-esm2-0","ssp370",4.7,0.387302018726976,17.5649771554129
"96",618,"Puglia","mri-esm2-0","ssp370",0,2.35831598402001,14.2637581961495
"97",619,"Puglia","mri-esm2-0","ssp370",0,1.13203987171541,16.7432294573103
"98",620,"Puglia","mri-esm2-0","ssp370",0,4.53829170354376,14.8646501813616
"99",621,"Puglia","mri-esm2-0","ssp370",0,4.78847119458286,12.8445190429688
"100",622,"Puglia","mri-esm2-0","ssp370",0,0,11.0033185686384
"101",623,"Puglia","mri-esm2-0","ssp370",0,0,11.884073311942
"102",624,"Puglia","mri-esm2-0","ssp370",0,3.88348723479014,10.320654296875
"103",625,"Puglia","mri-esm2-0","ssp370",0,2.23395325316233,9.91612636021208
"104",626,"Puglia","mri-esm2-0","ssp370",0,4.19235442523911,5.98572910853797
"105",627,"Puglia","mri-esm2-0","ssp370",NA,2.64268659021972,10.5228114536831
"106",628,"Puglia","mri-esm2-0","ssp370",NA,4.76334031149496,10.869291469029
"107",629,"Puglia","mri-esm2-0","ssp370",NA,2.50952594615228,9.92225908551902
"108",630,"Puglia","mri-esm2-0","ssp370",NA,6.56385180534147,7.76004507882256
"109",631,"Puglia","mri-esm2-0","ssp370",NA,1.92542236524916,5.53896484375002
"110",632,"Puglia","mri-esm2-0","ssp370",NA,6.00631381478576,7.28979971749444
"111",633,"Puglia","mri-esm2-0","ssp370",NA,1.45367581883745,9.18572823660717
"112",634,"Puglia","mri-esm2-0","ssp370",NA,0.727509141298859,7.31418980189734
"113",635,"Puglia","mri-esm2-0","ssp370",NA,1.68737871842625,9.21388288225449
"114",636,"Puglia","mri-esm2-0","ssp370",NA,2.26119104024422,9.65484008789065
"115",637,"Puglia","mri-esm2-0","ssp370",NA,2.81057420984975,5.96176627022882
"116",638,"Puglia","mri-esm2-0","ssp370",NA,0.336611879954165,8.70802350725449
"117",639,"Puglia","mri-esm2-0","ssp370",NA,1.75659886777534,10.9897225516183
"118",640,"Puglia","mri-esm2-0","ssp370",NA,0,14.4097141810826
"119",641,"Puglia","mri-esm2-0","ssp370",NA,0,15.1085056849889
"120",642,"Puglia","mri-esm2-0","ssp370",NA,0.44329576454142,14.3288295200893
"121",643,"Puglia","mri-esm2-0","ssp370",NA,0.730649454531626,13.6645839146206
"122",644,"Puglia","mri-esm2-0","ssp370",NA,1.28532559392624,12.2655404227121
"123",645,"Puglia","mri-esm2-0","ssp370",NA,4.86440670210868,14.3499367850167
"124",646,"Puglia","mri-esm2-0","ssp370",NA,0.640223122198742,17.3437940325056
"125",647,"Puglia","mri-esm2-0","ssp370",NA,1.23189808114797,19.4780888148717
"126",648,"Puglia","mri-esm2-0","ssp370",NA,4.00878999688367,20.5098161969866
"127",649,"Puglia","mri-esm2-0","ssp370",NA,1.7852503157753,19.544588797433
"128",650,"Puglia","mri-esm2-0","ssp370",NA,0.341162944667823,21.9406415666853
"129",651,"Puglia","mri-esm2-0","ssp370",NA,2.90117262962407,21.7651153564453
"130",652,"Puglia","mri-esm2-0","ssp370",NA,0.225886490495343,22.7153063092913
"131",653,"Puglia","mri-esm2-0","ssp370",NA,0.140078199287278,23.6493883405413
"132",654,"Puglia","mri-esm2-0","ssp370",NA,0,27.221588570731
"133",655,"Puglia","mri-esm2-0","ssp370",NA,0,28.2549486432757
"134",656,"Puglia","mri-esm2-0","ssp370",NA,6.07011730608065,27.5692709786551
"135",657,"Puglia","mri-esm2-0","ssp370",NA,2.22393190155604,25.3619410923549
"136",658,"Puglia","mri-esm2-0","ssp370",NA,0.100242989304077,27.3401515415737
"137",659,"Puglia","mri-esm2-0","ssp370",NA,0,26.9841748918806
"138",660,"Puglia","mri-esm2-0","ssp370",NA,0.0255242576843427,25.5334237234933
"139",661,"Puglia","mri-esm2-0","ssp370",NA,3.97746018913625,24.9681008475168
"140",662,"Puglia","mri-esm2-0","ssp370",NA,0.0413935493790112,23.9115670340402
"141",663,"Puglia","mri-esm2-0","ssp370",NA,0.235727825202047,24.082650756836
"142",664,"Puglia","mri-esm2-0","ssp370",NA,0.246591355452048,23.0677145821708
"143",665,"Puglia","mri-esm2-0","ssp370",NA,0.664274987736593,22.617798287528
"144",666,"Puglia","mri-esm2-0","ssp370",NA,2.02760165557265,19.3347739083427
"145",667,"Puglia","mri-esm2-0","ssp370",NA,0.0758301747867205,20.416417149135
"146",668,"Puglia","mri-esm2-0","ssp370",NA,2.4878858783008,19.9318132672991
"147",669,"Puglia","mri-esm2-0","ssp370",NA,2.02053474858986,19.1281633649553
"148",670,"Puglia","mri-esm2-0","ssp370",NA,0.247203831687719,16.4403865269253
"149",671,"Puglia","mri-esm2-0","ssp370",NA,0.606127391646231,16.5107513427735
"150",672,"Puglia","mri-esm2-0","ssp370",NA,0,15.724034336635
"151",673,"Puglia","mri-esm2-0","ssp370",NA,0.216278494502019,13.9343157087054
"152",674,"Puglia","mri-esm2-0","ssp370",NA,5.83739863229442,13.6421077183315
"153",675,"Puglia","mri-esm2-0","ssp370",NA,4.47194024886162,12.6120261056083
"154",676,"Puglia","mri-esm2-0","ssp370",NA,0.657510528773335,14.5962136404855
"155",677,"Puglia","mri-esm2-0","ssp370",NA,0.21044374693052,13.1465436662947
"156",678,"Puglia","mri-esm2-0","ssp370",NA,2.23695283826341,11.8404022216797
"157",679,"Puglia","mri-esm2-0","ssp370",NA,0.278051514656648,9.75326145717078
"158",680,"Puglia","mri-esm2-0","ssp370",0,0.3340019020834,11.5895847865514
"159",681,"Puglia","mri-esm2-0","ssp370",0,5.0955320923822,9.90932355608261
"160",682,"Puglia","mri-esm2-0","ssp370",0,0.552620138623752,6.89151436941966
"161",683,"Puglia","mri-esm2-0","ssp370",0,0.73334577676308,11.5517743791853
"162",684,"Puglia","mri-esm2-0","ssp370",0,5.75126346454323,10.2383972167969
"163",685,"Puglia","mri-esm2-0","ssp370",0,0.0246182782575488,10.0849714006697
"164",686,"Puglia","mri-esm2-0","ssp370",0,3.29598804378682,10.1548627580915
"165",687,"Puglia","mri-esm2-0","ssp370",0,1.89220519954688,9.97366856166297
"166",688,"Puglia","mri-esm2-0","ssp370",NA,3.71066880561037,8.42296404157368
"167",689,"Puglia","mri-esm2-0","ssp370",NA,0.137658466389569,10.3076058523996
"168",690,"Puglia","mri-esm2-0","ssp370",NA,4.31249436356925,9.65652553013396
"169",691,"Puglia","mri-esm2-0","ssp370",NA,3.26304939151409,9.63146885463172
"170",692,"Puglia","mri-esm2-0","ssp370",NA,0.212099339883675,11.3589983258929
"171",693,"Puglia","mri-esm2-0","ssp370",0,0,14.6202584402902
"172",694,"Puglia","mri-esm2-0","ssp370",0,0.534157220224318,13.6953587123327
"173",695,"Puglia","mri-esm2-0","ssp370",0,0.203779906587443,14.0038112095425
"174",696,"Puglia","mri-esm2-0","ssp370",1.4,1.03924891782559,15.2878278459822
"175",697,"Puglia","mri-esm2-0","ssp370",6.1,5.91743366252298,16.4870962960379
"176",698,"Puglia","mri-esm2-0","ssp370",7.3,2.57607822131831,17.373717389788
"177",699,"Puglia","mri-esm2-0","ssp370",12.8,0.196869899851403,20.9813319614956
"178",700,"Puglia","mri-esm2-0","ssp370",0,0.432571137955944,21.9574846540178
"179",701,"Puglia","mri-esm2-0","ssp370",0,0.190665212867316,24.8412623814175
"180",702,"Puglia","mri-esm2-0","ssp370",14.1,0.0843489633241137,21.6866594587054
"181",703,"Puglia","mri-esm2-0","ssp370",6.5,0.452665767058663,23.7674996512277
"182",704,"Puglia","mri-esm2-0","ssp370",5.4,0.561070510344247,23.564058140346
"183",705,"Puglia","mri-esm2-0","ssp370",5.2,2.74153648476515,22.0327410016742
"184",706,"Puglia","mri-esm2-0","ssp370",6.3,0,25.5632472446986
"185",707,"Puglia","mri-esm2-0","ssp370",5.8,0.0697834491646582,26.9403913225447
"186",708,"Puglia","mri-esm2-0","ssp370",29.6,1.25889114210232,26.1383771623884
"187",709,"Puglia","mri-esm2-0","ssp370",12.8,0.359191744002081,27.8779767717634
"188",710,"Puglia","mri-esm2-0","ssp370",13.7,0.15245698192822,28.4668683733259
"189",711,"Puglia","mri-esm2-0","ssp370",6.1,0.0626105089551336,25.4603934151786
"190",712,"Puglia","mri-esm2-0","ssp370",6.7,0.112423705702115,27.7525861467634
"191",713,"Puglia","mri-esm2-0","ssp370",5.9,4.7475586879591,23.2899527413504
"192",714,"Puglia","mri-esm2-0","ssp370",5.5,0.978372197964096,24.9120867047991
"193",715,"Puglia","mri-esm2-0","ssp370",5.9,2.99458281569449,21.3617789132255
"194",716,"Puglia","mri-esm2-0","ssp370",4.1,1.0878140288904,21.1489842006138
"195",717,"Puglia","mri-esm2-0","ssp370",11,0.50649528059044,19.6090305873326
"196",718,"Puglia","mri-esm2-0","ssp370",7.8,0,21.9939540318081
"197",719,"Puglia","mri-esm2-0","ssp370",17,0,23.5199994768415
"198",720,"Puglia","mri-esm2-0","ssp370",21.9,0,22.026513671875
"199",721,"Puglia","mri-esm2-0","ssp370",22.4,1.96786092793835,20.6424246651786
"200",722,"Puglia","mri-esm2-0","ssp370",39.4,0,16.0385750906808
"201",723,"Puglia","mri-esm2-0","ssp370",0,0.115614537394971,15.7008536202567
"202",724,"Puglia","mri-esm2-0","ssp370",0,0.311387441355951,13.1685712541853
"203",725,"Puglia","mri-esm2-0","ssp370",0,0,13.3755545479911
"204",726,"Puglia","mri-esm2-0","ssp370",0,2.16345228969917,10.5837629045759
"205",727,"Puglia","mri-esm2-0","ssp370",0,0.937485056513518,8.37420915876119
"206",728,"Puglia","mri-esm2-0","ssp370",0,1.51785892390763,10.4050048828125
"207",729,"Puglia","mri-esm2-0","ssp370",0,0.514319076236071,10.1836748395647
"208",730,"Puglia","mri-esm2-0","ssp370",0,1.02392165958008,9.86831229073663
"209",731,"Puglia","mri-esm2-0","ssp370",0,1.55850873195699,9.60032697405136
"210",732,"Puglia","mri-esm2-0","ssp370",NA,3.5587137373763,10.7922934395926
"211",733,"Puglia","mri-esm2-0","ssp370",NA,1.86687600128477,9.46301967075895
"212",734,"Puglia","mri-esm2-0","ssp370",NA,0.147493770756617,8.64888262067524
"213",735,"Puglia","mri-esm2-0","ssp370",NA,2.75691775043794,7.45584150041855
"214",736,"Puglia","mri-esm2-0","ssp370",NA,2.15239790491718,8.17732500348774
"215",737,"Puglia","mri-esm2-0","ssp370",NA,0.200544290133362,11.2141117640905
"216",738,"Puglia","mri-esm2-0","ssp370",NA,1.7379163436999,9.93567810058596
"217",739,"Puglia","mri-esm2-0","ssp370",NA,1.09382877708413,11.3782418387277
"218",740,"Puglia","mri-esm2-0","ssp370",NA,1.7030094542341,11.4093719482422
"219",741,"Puglia","mri-esm2-0","ssp370",NA,3.71909018623617,11.244766671317
"220",742,"Puglia","mri-esm2-0","ssp370",NA,0.50289563971871,12.0375239780972
"221",743,"Puglia","mri-esm2-0","ssp370",NA,1.95751740310308,13.5036298479353
"222",744,"Puglia","mri-esm2-0","ssp370",NA,2.85913411103788,11.5480852399554
"223",745,"Puglia","mri-esm2-0","ssp370",NA,0.217344891487821,14.460085623605
"224",746,"Puglia","mri-esm2-0","ssp370",NA,3.43679804412074,13.6438428606306
"225",747,"Puglia","mri-esm2-0","ssp370",NA,1.20429254311602,14.7906345912388
"226",748,"Puglia","mri-esm2-0","ssp370",NA,1.46261659195131,18.1446297781808
"227",749,"Puglia","mri-esm2-0","ssp370",NA,0.814245043277748,16.0372841971261
"228",750,"Puglia","mri-esm2-0","ssp370",NA,0.0358299138107603,19.3038094656808
"229",751,"Puglia","mri-esm2-0","ssp370",NA,2.76800077242244,19.4548060825893
"230",752,"Puglia","mri-esm2-0","ssp370",NA,0.702496483037456,19.350970023019
"231",753,"Puglia","mri-esm2-0","ssp370",NA,1.69207487963701,19.9889726911273
"232",754,"Puglia","mri-esm2-0","ssp370",NA,2.24300167025961,19.507230922154
"233",755,"Puglia","mri-esm2-0","ssp370",NA,4.08196548846068,20.147620500837
"234",756,"Puglia","mri-esm2-0","ssp370",NA,0.928225496422133,21.766510445731
"235",757,"Puglia","mri-esm2-0","ssp370",NA,0.0259835878491035,22.7149618966239
"236",758,"Puglia","mri-esm2-0","ssp370",NA,0.740809424106764,26.1275115966797
"237",759,"Puglia","mri-esm2-0","ssp370",NA,0,25.2528908865793
