"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1097,"Lezhe","mri-esm2-0","ssp585",0,1.01642864423671,6.85931222098217
"2",1098,"Lezhe","mri-esm2-0","ssp585",0,0.520856417382934,7.89311261858261
"3",1099,"Lezhe","mri-esm2-0","ssp585",0,0.39991713960522,6.96067417689734
"4",1100,"Lezhe","mri-esm2-0","ssp585",0,2.69760190110121,8.22636457170761
"5",1101,"Lezhe","mri-esm2-0","ssp585",0,15.7398424801483,6.80736258370538
"6",1102,"Lezhe","mri-esm2-0","ssp585",0,9.3357135583314,5.87831159319199
"7",1103,"Lezhe","mri-esm2-0","ssp585",0,1.29619242455062,2.3949654715402
"8",1104,"Lezhe","mri-esm2-0","ssp585",0,14.2891128347921,8.17639421735493
"9",1105,"Lezhe","mri-esm2-0","ssp585",0,14.9645831996687,5.44794834681922
"10",1106,"Lezhe","mri-esm2-0","ssp585",NA,7.22672083148999,3.718403843471
"11",1107,"Lezhe","mri-esm2-0","ssp585",NA,0.032359233383821,4.31199253627234
"12",1108,"Lezhe","mri-esm2-0","ssp585",NA,0,6.55872279575895
"13",1109,"Lezhe","mri-esm2-0","ssp585",NA,0.967638064841075,8.60296020507815
"14",1110,"Lezhe","mri-esm2-0","ssp585",NA,0.733737850012923,8.89240635463172
"15",1111,"Lezhe","mri-esm2-0","ssp585",NA,0.116546231116185,11.5582693917411
"16",1112,"Lezhe","mri-esm2-0","ssp585",NA,0.365435940901599,12.9738185337612
"17",1113,"Lezhe","mri-esm2-0","ssp585",NA,0.884565621215318,12.8093854631697
"18",1114,"Lezhe","mri-esm2-0","ssp585",NA,8.44816931556644,14.9637041364398
"19",1115,"Lezhe","mri-esm2-0","ssp585",NA,4.36067073824233,16.0241856166295
"20",1116,"Lezhe","mri-esm2-0","ssp585",NA,1.81624825418112,18.6985717773438
"21",1117,"Lezhe","mri-esm2-0","ssp585",NA,5.42262290837243,18.5731837681362
"22",1118,"Lezhe","mri-esm2-0","ssp585",NA,8.53983738218501,19.2056780133929
"23",1119,"Lezhe","mri-esm2-0","ssp585",NA,0.859277978763982,20.0474836077009
"24",1120,"Lezhe","mri-esm2-0","ssp585",NA,0.0143903619443466,21.9583635602679
"25",1121,"Lezhe","mri-esm2-0","ssp585",NA,8.28364655109388,24.2057434082031
"26",1122,"Lezhe","mri-esm2-0","ssp585",NA,1.67641651933081,24.248672921317
"27",1123,"Lezhe","mri-esm2-0","ssp585",72.5,1.36670766493938,22.9121119907924
"28",1124,"Lezhe","mri-esm2-0","ssp585",33.5,0.0165568289958173,21.8672424316406
"29",1125,"Lezhe","mri-esm2-0","ssp585",30,0.846504446651254,24.5323948451451
"30",1126,"Lezhe","mri-esm2-0","ssp585",17,0.655306712204557,24.7265869140625
"31",1127,"Lezhe","mri-esm2-0","ssp585",18,0,26.6230189732143
"32",1128,"Lezhe","mri-esm2-0","ssp585",NA,0.235237248125486,28.5838038853237
"33",1129,"Lezhe","mri-esm2-0","ssp585",NA,0,27.3127205984933
"34",1130,"Lezhe","mri-esm2-0","ssp585",40,0,28.3821132114956
"35",1131,"Lezhe","mri-esm2-0","ssp585",38,0.030344587763206,24.124889264788
"36",1132,"Lezhe","mri-esm2-0","ssp585",70.5,0.059369182937579,26.7732962472098
"37",1133,"Lezhe","mri-esm2-0","ssp585",99.5,4.82958591144,20.4090079171317
"38",1134,"Lezhe","mri-esm2-0","ssp585",192,8.33207718761904,20.1310189383371
"39",1135,"Lezhe","mri-esm2-0","ssp585",NA,16.8706576575849,17.8398071289063
"40",1136,"Lezhe","mri-esm2-0","ssp585",NA,1.35823663107918,20.8162780761719
"41",1137,"Lezhe","mri-esm2-0","ssp585",NA,2.61695354877572,20.0840436662947
"42",1138,"Lezhe","mri-esm2-0","ssp585",NA,0.760945361772818,17.9225838797433
"43",1139,"Lezhe","mri-esm2-0","ssp585",NA,1.40283221013046,17.7029532296317
"44",1140,"Lezhe","mri-esm2-0","ssp585",NA,1.73589319877335,12.7396702357701
"45",1141,"Lezhe","mri-esm2-0","ssp585",0,0.626841990742832,12.5977329799107
"46",1142,"Lezhe","mri-esm2-0","ssp585",0,13.3214120852894,13.448872593471
"47",1143,"Lezhe","mri-esm2-0","ssp585",0,3.62614428397917,12.2072867257255
"48",1144,"Lezhe","mri-esm2-0","ssp585",0,0.50547590944916,5.580708530971
"49",1145,"Lezhe","mri-esm2-0","ssp585",0,12.2768859171109,11.3325919015067
"50",1146,"Lezhe","mri-esm2-0","ssp585",0,6.2294577980148,9.50815080915181
"51",1147,"Lezhe","mri-esm2-0","ssp585",0,8.6582598831488,4.66969342912949
"52",1148,"Lezhe","mri-esm2-0","ssp585",0,0,7.03162754603797
"53",1149,"Lezhe","mri-esm2-0","ssp585",NA,1.22147753635155,5.87293613978797
"54",1150,"Lezhe","mri-esm2-0","ssp585",NA,5.47022232203744,7.54731358119422
"55",1151,"Lezhe","mri-esm2-0","ssp585",NA,1.61132626089966,7.83864746093752
"56",1152,"Lezhe","mri-esm2-0","ssp585",NA,1.18824770574325,6.69503173828127
"57",1153,"Lezhe","mri-esm2-0","ssp585",NA,0.341660592571965,6.75461512974333
"58",1154,"Lezhe","mri-esm2-0","ssp585",NA,10.598064210665,6.86764787946431
"59",1155,"Lezhe","mri-esm2-0","ssp585",NA,0.10948672892742,10.6876072474889
"60",1156,"Lezhe","mri-esm2-0","ssp585",NA,1.82361018544595,8.42936750139511
"61",1157,"Lezhe","mri-esm2-0","ssp585",NA,0.413401346720223,11.1547136579241
"62",1158,"Lezhe","mri-esm2-0","ssp585",NA,0,7.98826642717636
"63",1159,"Lezhe","mri-esm2-0","ssp585",NA,0.379062141291797,11.4938729422433
"64",1160,"Lezhe","mri-esm2-0","ssp585",NA,9.84249763122144,12.2290631975447
"65",1161,"Lezhe","mri-esm2-0","ssp585",NA,0.136678481119036,13.7438075474331
"66",1162,"Lezhe","mri-esm2-0","ssp585",NA,0.633781142927806,13.634916469029
"67",1163,"Lezhe","mri-esm2-0","ssp585",NA,7.91740562334391,13.8348763602121
"68",1164,"Lezhe","mri-esm2-0","ssp585",NA,5.24681185322281,16.5670846121652
"69",1165,"Lezhe","mri-esm2-0","ssp585",NA,1.35678904646608,14.1093688964844
"70",1166,"Lezhe","mri-esm2-0","ssp585",NA,1.74981376393199,15.2831752232143
"71",1167,"Lezhe","mri-esm2-0","ssp585",NA,0,18.7592276436942
"72",1168,"Lezhe","mri-esm2-0","ssp585",NA,2.49355568433072,19.3858276367188
"73",1169,"Lezhe","mri-esm2-0","ssp585",NA,5.72841663753414,19.8658865792411
"74",1170,"Lezhe","mri-esm2-0","ssp585",NA,2.12882606844817,18.8142769949777
"75",1171,"Lezhe","mri-esm2-0","ssp585",NA,1.58582485746592,19.9224661690848
"76",1172,"Lezhe","mri-esm2-0","ssp585",NA,6.60037502509242,19.008673967634
"77",1173,"Lezhe","mri-esm2-0","ssp585",NA,0.73782792314887,21.5632393973214
"78",1174,"Lezhe","mri-esm2-0","ssp585",NA,0.270521668426227,24.7951729910714
"79",1175,"Lezhe","mri-esm2-0","ssp585",NA,0.0269555691504918,26.5835684640067
"80",1176,"Lezhe","mri-esm2-0","ssp585",NA,0.258367697408955,24.2833583286831
"81",1177,"Lezhe","mri-esm2-0","ssp585",NA,0,26.4968505859375
"82",1178,"Lezhe","mri-esm2-0","ssp585",NA,0,28.2360560825893
"83",1179,"Lezhe","mri-esm2-0","ssp585",NA,5.09409065499702,23.5878060477121
"84",1180,"Lezhe","mri-esm2-0","ssp585",NA,6.76732144867336,24.2995588030134
"85",1181,"Lezhe","mri-esm2-0","ssp585",NA,23.3730520354584,25.6658264160156
"86",1182,"Lezhe","mri-esm2-0","ssp585",NA,3.66598778418847,26.0494716099331
"87",1183,"Lezhe","mri-esm2-0","ssp585",NA,3.96437554902929,25.7283220563616
"88",1184,"Lezhe","mri-esm2-0","ssp585",NA,0.49419783141015,24.1758710588728
"89",1185,"Lezhe","mri-esm2-0","ssp585",NA,13.6067291538244,20.2553475516183
"90",1186,"Lezhe","mri-esm2-0","ssp585",NA,7.00144326006661,20.8691563197545
"91",1187,"Lezhe","mri-esm2-0","ssp585",NA,8.5694634565568,18.2262642996652
"92",1188,"Lezhe","mri-esm2-0","ssp585",NA,15.6559981586595,16.8589372907366
"93",1189,"Lezhe","mri-esm2-0","ssp585",NA,15.4485043570665,18.4320966448103
"94",1190,"Lezhe","mri-esm2-0","ssp585",NA,7.71442332687522,17.138565499442
"95",1191,"Lezhe","mri-esm2-0","ssp585",NA,8.90023623194013,17.3380153111049
"96",1192,"Lezhe","mri-esm2-0","ssp585",NA,3.7255529549189,15.3959333147322
"97",1193,"Lezhe","mri-esm2-0","ssp585",NA,1.1048820227318,6.27878069196431
"98",1194,"Lezhe","mri-esm2-0","ssp585",NA,3.55526313983968,13.436909702846
"99",1195,"Lezhe","mri-esm2-0","ssp585",NA,0,11.5643990652902
"100",1196,"Lezhe","mri-esm2-0","ssp585",NA,6.2104885033997,10.855109514509
"101",1197,"Lezhe","mri-esm2-0","ssp585",NA,2.21058769374005,2.98351876395092
"102",1198,"Lezhe","mri-esm2-0","ssp585",NA,0,4.85474330357145
"103",1199,"Lezhe","mri-esm2-0","ssp585",NA,1.0707639199349,1.59480765206475
"104",1200,"Lezhe","mri-esm2-0","ssp585",NA,6.54525984511046,7.34944196428574
"105",1201,"Lezhe","mri-esm2-0","ssp585",NA,12.9018589305425,9.85889805385047
"106",1202,"Lezhe","mri-esm2-0","ssp585",NA,9.45916177734034,9.74926583426342
"107",1203,"Lezhe","mri-esm2-0","ssp585",NA,17.6769116560795,5.80284598214288
"108",1204,"Lezhe","mri-esm2-0","ssp585",NA,12.6869703202309,3.60473458426342
"109",1205,"Lezhe","mri-esm2-0","ssp585",NA,17.605925116056,8.80784214564734
"110",1206,"Lezhe","mri-esm2-0","ssp585",NA,1.41333260939323,6.95916137695315
"111",1207,"Lezhe","mri-esm2-0","ssp585",NA,5.60047411127016,2.40817522321431
"112",1208,"Lezhe","mri-esm2-0","ssp585",NA,3.81246302110542,2.36885114397324
"113",1209,"Lezhe","mri-esm2-0","ssp585",NA,0,2.47662179129467
"114",1210,"Lezhe","mri-esm2-0","ssp585",NA,9.88701170842562,7.06401105608261
"115",1211,"Lezhe","mri-esm2-0","ssp585",NA,0.66121700635579,4.61206316266743
"116",1212,"Lezhe","mri-esm2-0","ssp585",NA,0,8.617817905971
"117",1213,"Lezhe","mri-esm2-0","ssp585",NA,0,14.5894409179688
"118",1214,"Lezhe","mri-esm2-0","ssp585",NA,7.50095419186567,13.9920462472098
"119",1215,"Lezhe","mri-esm2-0","ssp585",NA,3.24057239839541,9.86113455636163
"120",1216,"Lezhe","mri-esm2-0","ssp585",NA,0,12.4280203683036
"121",1217,"Lezhe","mri-esm2-0","ssp585",NA,3.57903990121226,15.0292166573661
"122",1218,"Lezhe","mri-esm2-0","ssp585",NA,3.91301137361942,15.9194231305804
"123",1219,"Lezhe","mri-esm2-0","ssp585",NA,9.76661617995497,18.0589102608817
"124",1220,"Lezhe","mri-esm2-0","ssp585",NA,0.444714162170255,19.6630711146764
"125",1221,"Lezhe","mri-esm2-0","ssp585",NA,3.37549152037744,17.9900102887835
"126",1222,"Lezhe","mri-esm2-0","ssp585",NA,10.6025229939925,16.4526654924665
"127",1223,"Lezhe","mri-esm2-0","ssp585",NA,5.09907927189488,20.9904288155692
"128",1224,"Lezhe","mri-esm2-0","ssp585",NA,0.84450503719771,23.0490312848773
"129",1225,"Lezhe","mri-esm2-0","ssp585",NA,4.98706558719277,22.0908926827567
"130",1226,"Lezhe","mri-esm2-0","ssp585",NA,0,24.0895978655134
"131",1227,"Lezhe","mri-esm2-0","ssp585",NA,0.0196441846908004,23.9743068150112
"132",1228,"Lezhe","mri-esm2-0","ssp585",NA,0.444994550863547,22.9997105189732
"133",1229,"Lezhe","mri-esm2-0","ssp585",NA,1.03724611482383,24.4849356515067
"134",1230,"Lezhe","mri-esm2-0","ssp585",NA,0.410218898988595,25.2575142996652
"135",1231,"Lezhe","mri-esm2-0","ssp585",NA,0.0872023738338612,26.8638419015067
"136",1232,"Lezhe","mri-esm2-0","ssp585",NA,0,27.5536568777902
"137",1233,"Lezhe","mri-esm2-0","ssp585",NA,0.553744535760156,27.8547127859933
"138",1234,"Lezhe","mri-esm2-0","ssp585",NA,0.619163703439491,23.8090410505023
"139",1235,"Lezhe","mri-esm2-0","ssp585",NA,0,26.0168265206473
"140",1236,"Lezhe","mri-esm2-0","ssp585",NA,0.102869245373378,25.8699584960938
"141",1237,"Lezhe","mri-esm2-0","ssp585",NA,0.524044129997492,27.2076834542411
"142",1238,"Lezhe","mri-esm2-0","ssp585",NA,0.0273795353548069,24.4477216448103
"143",1239,"Lezhe","mri-esm2-0","ssp585",NA,3.9821643648403,19.7821594238281
"144",1240,"Lezhe","mri-esm2-0","ssp585",NA,0.765577970430188,21.8791224888393
"145",1241,"Lezhe","mri-esm2-0","ssp585",NA,0,18.7278206961496
"146",1242,"Lezhe","mri-esm2-0","ssp585",NA,0.309905288408377,16.0421779087612
"147",1243,"Lezhe","mri-esm2-0","ssp585",NA,0,12.7796613420759
"148",1244,"Lezhe","mri-esm2-0","ssp585",NA,0,14.6623517717634
"149",1245,"Lezhe","mri-esm2-0","ssp585",NA,0,12.346098109654
"150",1246,"Lezhe","mri-esm2-0","ssp585",NA,2.47109076985258,11.4167419433594
"151",1247,"Lezhe","mri-esm2-0","ssp585",NA,3.21709235639511,11.4586600167411
"152",1248,"Lezhe","mri-esm2-0","ssp585",NA,7.75132458823334,3.06890694754467
"153",1249,"Lezhe","mri-esm2-0","ssp585",NA,0,-1.17501133510042
"154",1250,"Lezhe","mri-esm2-0","ssp585",NA,11.7444597118135,0.442315673828148
"155",1251,"Lezhe","mri-esm2-0","ssp585",NA,5.69083025662362,1.42906668526788
"156",1252,"Lezhe","mri-esm2-0","ssp585",NA,3.87415746372426,9.46211722237726
"157",1253,"Lezhe","mri-esm2-0","ssp585",NA,7.78227787897257,5.71834716796877
"158",1254,"Lezhe","mri-esm2-0","ssp585",NA,0,1.67447160993306
"159",1255,"Lezhe","mri-esm2-0","ssp585",NA,3.4092777643569,8.09880981445315
"160",1256,"Lezhe","mri-esm2-0","ssp585",NA,3.39640152773687,8.78539864676342
"161",1257,"Lezhe","mri-esm2-0","ssp585",NA,1.39884234938238,8.55227486746654
"162",1258,"Lezhe","mri-esm2-0","ssp585",NA,0,5.91768798828127
"163",1259,"Lezhe","mri-esm2-0","ssp585",NA,0,8.27858886718752
