"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",732,"Tirane","mri-esm2-0","ssp585",0,4.24507201766703,9.06183994838172
"2",733,"Tirane","mri-esm2-0","ssp585",0,1.73305001745965,7.38891645159043
"3",734,"Tirane","mri-esm2-0","ssp585",0,0.737932127698771,6.97822614397323
"4",735,"Tirane","mri-esm2-0","ssp585",0,4.0942661830091,5.0562443324498
"5",736,"Tirane","mri-esm2-0","ssp585",0,1.841666342807,7.54905090332034
"6",737,"Tirane","mri-esm2-0","ssp585",0,1.40189978701528,9.58753138950896
"7",738,"Tirane","mri-esm2-0","ssp585",0,3.49982563732607,8.75974208286833
"8",739,"Tirane","mri-esm2-0","ssp585",0,0.706377263746357,10.0100973946708
"9",740,"Tirane","mri-esm2-0","ssp585",0,3.68620964384588,10.108054460798
"10",741,"Tirane","mri-esm2-0","ssp585",NA,2.02198421071184,10.7674368722098
"11",742,"Tirane","mri-esm2-0","ssp585",NA,0.96551385998152,10.7909266880581
"12",743,"Tirane","mri-esm2-0","ssp585",NA,16.8523349865739,12.9347364153181
"13",744,"Tirane","mri-esm2-0","ssp585",NA,1.30000918683696,11.4187430245536
"14",745,"Tirane","mri-esm2-0","ssp585",NA,1.22941757196843,13.1523398263114
"15",746,"Tirane","mri-esm2-0","ssp585",NA,7.52985821673064,13.7836656842913
"16",747,"Tirane","mri-esm2-0","ssp585",NA,4.6020160223374,14.6000675746373
"17",748,"Tirane","mri-esm2-0","ssp585",NA,1.43713680653101,19.083167375837
"18",749,"Tirane","mri-esm2-0","ssp585",NA,2.07541644672996,15.1267682756697
"19",750,"Tirane","mri-esm2-0","ssp585",NA,0,18.5435315813337
"20",751,"Tirane","mri-esm2-0","ssp585",NA,3.40086053417638,20.5970354352678
"21",752,"Tirane","mri-esm2-0","ssp585",0,2.11673094288146,18.7221422467913
"22",753,"Tirane","mri-esm2-0","ssp585",10,4.11133616128479,19.2814684186663
"23",754,"Tirane","mri-esm2-0","ssp585",0,3.70329603839699,18.3669503348214
"24",755,"Tirane","mri-esm2-0","ssp585",43.5,2.95555240424749,19.2191101074218
"25",756,"Tirane","mri-esm2-0","ssp585",37.5,1.08453924055668,20.5535239083426
"26",757,"Tirane","mri-esm2-0","ssp585",26,0,22.9248617989676
"27",758,"Tirane","mri-esm2-0","ssp585",26,0.334346690734882,25.1719778878348
"28",759,"Tirane","mri-esm2-0","ssp585",281,0.872623205317985,23.3806483677456
"29",760,"Tirane","mri-esm2-0","ssp585",542.5,0,25.0259185791016
"30",761,"Tirane","mri-esm2-0","ssp585",295,0,26.5859575544085
"31",762,"Tirane","mri-esm2-0","ssp585",68,0,26.9640638078962
"32",763,"Tirane","mri-esm2-0","ssp585",640.5,0,27.787979561942
"33",764,"Tirane","mri-esm2-0","ssp585",680.25,0,27.2750095912388
"34",765,"Tirane","mri-esm2-0","ssp585",701,1.85586630879178,26.1277862548828
"35",766,"Tirane","mri-esm2-0","ssp585",1047.5,1.1564810803975,24.1898917061942
"36",767,"Tirane","mri-esm2-0","ssp585",221,0.41802645095491,24.4713095528739
