"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",889,"Lazio","ukesm1-0-ll","ssp126",0,0,6.69845406668529
"2",890,"Lazio","ukesm1-0-ll","ssp126",0,0.085947052866686,10.5266793387277
"3",891,"Lazio","ukesm1-0-ll","ssp126",0,6.27914405860273,11.8016187395368
"4",892,"Lazio","ukesm1-0-ll","ssp126",0,2.24276193917571,9.98829476492747
"5",893,"Lazio","ukesm1-0-ll","ssp126",0,0.23723446645038,10.4407788957868
"6",894,"Lazio","ukesm1-0-ll","ssp126",0,0.0606273475308885,8.38459603445873
"7",895,"Lazio","ukesm1-0-ll","ssp126",0,3.50289661042292,10.3097342354911
"8",896,"Lazio","ukesm1-0-ll","ssp126",0,0.0845769547855265,8.5456503731864
"9",897,"Lazio","ukesm1-0-ll","ssp126",0,0.150268178133826,12.7144365583148
"10",898,"Lazio","ukesm1-0-ll","ssp126",0,0.0221341080759885,14.0065638950893
"11",899,"Lazio","ukesm1-0-ll","ssp126",0,1.13086958379946,13.1321066720146
"12",900,"Lazio","ukesm1-0-ll","ssp126",0,3.69671111025777,11.9691079275949
"13",901,"Lazio","ukesm1-0-ll","ssp126",0,2.42277283998972,14.1240674700056
"14",902,"Lazio","ukesm1-0-ll","ssp126",NA,1.27056414894468,13.7622924804687
"15",903,"Lazio","ukesm1-0-ll","ssp126",NA,3.15275564976868,14.9770315987723
"16",904,"Lazio","ukesm1-0-ll","ssp126",NA,4.9216325893732,14.562162562779
"17",905,"Lazio","ukesm1-0-ll","ssp126",NA,3.88925165295534,17.6265306745257
"18",906,"Lazio","ukesm1-0-ll","ssp126",NA,2.10136097032643,17.4287440708706
"19",907,"Lazio","ukesm1-0-ll","ssp126",NA,0.0971813672679543,18.5069322858538
"20",908,"Lazio","ukesm1-0-ll","ssp126",NA,0,20.3288513183594
"21",909,"Lazio","ukesm1-0-ll","ssp126",NA,0,22.5966103690011
"22",910,"Lazio","ukesm1-0-ll","ssp126",NA,1.54450894125537,23.9144008091518
"23",911,"Lazio","ukesm1-0-ll","ssp126",NA,1.87749932686399,23.8684391566686
"24",912,"Lazio","ukesm1-0-ll","ssp126",NA,1.4162080535503,24.3825731549944
"25",913,"Lazio","ukesm1-0-ll","ssp126",NA,1.36889016448549,25.5346575055804
"26",914,"Lazio","ukesm1-0-ll","ssp126",NA,4.5129382500558,23.899802507673
"27",915,"Lazio","ukesm1-0-ll","ssp126",NA,0.0544769602648947,27.7382380894253
