"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",1045,"Vlore","ukesm1-0-ll","ssp126",0,3.18411149076252,7.37381025041855
"2",1046,"Vlore","ukesm1-0-ll","ssp126",0,6.96729864201708,10.6918164934431
"3",1047,"Vlore","ukesm1-0-ll","ssp126",0,5.42836060080195,10.2415645054409
"4",1048,"Vlore","ukesm1-0-ll","ssp126",0,14.5681840023566,9.14013715471543
"5",1049,"Vlore","ukesm1-0-ll","ssp126",0,0.0097808215286932,9.55218767438619
"6",1050,"Vlore","ukesm1-0-ll","ssp126",0,2.87358324476372,10.1053536551339
"7",1051,"Vlore","ukesm1-0-ll","ssp126",0,4.22291390049005,10.5592481340681
"8",1052,"Vlore","ukesm1-0-ll","ssp126",0,0,11.7862945556641
"9",1053,"Vlore","ukesm1-0-ll","ssp126",0,1.46847765551814,13.990601021903
"10",1054,"Vlore","ukesm1-0-ll","ssp126",NA,5.23052824386728,10.2436070033482
"11",1055,"Vlore","ukesm1-0-ll","ssp126",NA,0.035643057474642,13.9762686593192
"12",1056,"Vlore","ukesm1-0-ll","ssp126",NA,2.1789318905316,14.0165671212333
"13",1057,"Vlore","ukesm1-0-ll","ssp126",NA,6.86471483833365,12.209370640346
"14",1058,"Vlore","ukesm1-0-ll","ssp126",NA,14.5996651874156,11.0615304129464
"15",1059,"Vlore","ukesm1-0-ll","ssp126",NA,0.888803548878059,14.3183554513114
"16",1060,"Vlore","ukesm1-0-ll","ssp126",NA,3.81789322444612,16.2564156668527
"17",1061,"Vlore","ukesm1-0-ll","ssp126",NA,2.81719220698246,17.7155526297433
"18",1062,"Vlore","ukesm1-0-ll","ssp126",NA,0.0519093658242905,19.3183685302734
"19",1063,"Vlore","ukesm1-0-ll","ssp126",NA,0.00750216981292135,19.4450360979353
"20",1064,"Vlore","ukesm1-0-ll","ssp126",NA,1.16402571095802,19.422736467634
"21",1065,"Vlore","ukesm1-0-ll","ssp126",20,2.29234035245359,21.5929744175502
"22",1066,"Vlore","ukesm1-0-ll","ssp126",16,0,23.3391880580358
"23",1067,"Vlore","ukesm1-0-ll","ssp126",6.5,6.62552183473183,17.1718405587333
"24",1068,"Vlore","ukesm1-0-ll","ssp126",14,0,24.547246006557
"25",1069,"Vlore","ukesm1-0-ll","ssp126",40,0.35642972860452,26.3696685791016
"26",1070,"Vlore","ukesm1-0-ll","ssp126",39,0.0101391829697865,26.7837354387556
"27",1071,"Vlore","ukesm1-0-ll","ssp126",23,0.26911733106577,27.2283046177456
"28",1072,"Vlore","ukesm1-0-ll","ssp126",29.5,0.0289902597744783,28.3208382742746
"29",1073,"Vlore","ukesm1-0-ll","ssp126",31.75,0.0710913900547892,27.8306235177177
"30",1074,"Vlore","ukesm1-0-ll","ssp126",32.5,0,27.6212838309152
"31",1075,"Vlore","ukesm1-0-ll","ssp126",63.5,0.0072274732831699,24.2108115059989
"32",1076,"Vlore","ukesm1-0-ll","ssp126",42.5,0.069033711874259,25.3609601702009
"33",1077,"Vlore","ukesm1-0-ll","ssp126",33.75,0,26.4197762625558
"34",1078,"Vlore","ukesm1-0-ll","ssp126",13.75,6.28552034821561,24.265503365653
"35",1079,"Vlore","ukesm1-0-ll","ssp126",83.5,1.10586379991478,25.2810542515346
"36",1080,"Vlore","ukesm1-0-ll","ssp126",114,2.18658259753803,21.6885467529297
"37",1081,"Vlore","ukesm1-0-ll","ssp126",83.5,7.2802494140238,19.1428444998605
"38",1082,"Vlore","ukesm1-0-ll","ssp126",24,0,21.2531873430525
"39",1083,"Vlore","ukesm1-0-ll","ssp126",12,0.72195445266386,22.2485072544643
"40",1084,"Vlore","ukesm1-0-ll","ssp126",24,0,21.762120274135
"41",1085,"Vlore","ukesm1-0-ll","ssp126",39,0,19.026509312221
"42",1086,"Vlore","ukesm1-0-ll","ssp126",5,6.32534877503141,16.7880929129464
"43",1087,"Vlore","ukesm1-0-ll","ssp126",3,10.7642404907633,16.6453469412668
"44",1088,"Vlore","ukesm1-0-ll","ssp126",5,2.91918405231887,15.7164158412388
"45",1089,"Vlore","ukesm1-0-ll","ssp126",0,3.74856191057396,14.4815198625837
"46",1090,"Vlore","ukesm1-0-ll","ssp126",0,5.45375236360996,15.451571219308
"47",1091,"Vlore","ukesm1-0-ll","ssp126",0,0.603942851116049,14.271122959682
"48",1092,"Vlore","ukesm1-0-ll","ssp126",0,0.703184634247529,13.5202314104353
"49",1093,"Vlore","ukesm1-0-ll","ssp126",0,0.36077919825662,11.0131208147322
"50",1094,"Vlore","ukesm1-0-ll","ssp126",0,4.09513021877501,9.90925423758373
"51",1095,"Vlore","ukesm1-0-ll","ssp126",0,5.91427525588577,6.4878130231585
"52",1096,"Vlore","ukesm1-0-ll","ssp126",0,0.0077149387185013,6.70683332170761
"53",1097,"Vlore","ukesm1-0-ll","ssp126",0,0.245116351912397,7.93425249372213
"54",1098,"Vlore","ukesm1-0-ll","ssp126",0,1.2766276901987,8.99658682686944
"55",1099,"Vlore","ukesm1-0-ll","ssp126",0,0.0461009314416774,8.30540509905136
"56",1100,"Vlore","ukesm1-0-ll","ssp126",0,0.0655350400068398,7.71362130301342
"57",1101,"Vlore","ukesm1-0-ll","ssp126",0,3.48931158543045,9.21425999232703
"58",1102,"Vlore","ukesm1-0-ll","ssp126",0,3.5120508217785,10.1265699114118
