"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",523,"Puglia","ukesm1-0-ll","ssp370",0,3.58868489058555,11.305326625279
"2",524,"Puglia","ukesm1-0-ll","ssp370",0,1.6506280428231,10.0093069893974
"3",525,"Puglia","ukesm1-0-ll","ssp370",0,1.58209344297315,9.28791765485493
"4",526,"Puglia","ukesm1-0-ll","ssp370",0,1.21013662883862,11.5162109375
"5",527,"Puglia","ukesm1-0-ll","ssp370",0,2.02297876954877,9.66440691266743
"6",528,"Puglia","ukesm1-0-ll","ssp370",0,1.9996868076331,10.2842555454799
"7",529,"Puglia","ukesm1-0-ll","ssp370",0,3.398860294297,10.4102085658482
"8",530,"Puglia","ukesm1-0-ll","ssp370",0,0.73339542157815,10.5649039132255
"9",531,"Puglia","ukesm1-0-ll","ssp370",0,0.545242198859341,10.4603524344308
"10",532,"Puglia","ukesm1-0-ll","ssp370",NA,1.25328162094645,11.1333574567522
"11",533,"Puglia","ukesm1-0-ll","ssp370",NA,0.061035053076921,12.974307686942
"12",534,"Puglia","ukesm1-0-ll","ssp370",NA,1.82305201299771,12.7196541922434
"13",535,"Puglia","ukesm1-0-ll","ssp370",NA,0.277573864607672,14.6274911063058
"14",536,"Puglia","ukesm1-0-ll","ssp370",NA,0.311616750862283,15.1530491420201
"15",537,"Puglia","ukesm1-0-ll","ssp370",NA,0.402818952799342,10.8322256905692
"16",538,"Puglia","ukesm1-0-ll","ssp370",0,6.43448946531862,14.6402282714844
"17",539,"Puglia","ukesm1-0-ll","ssp370",0,0.0396014256070235,16.6631042480469
"18",540,"Puglia","ukesm1-0-ll","ssp370",0,0.220405628372516,15.4117562430246
"19",541,"Puglia","ukesm1-0-ll","ssp370",0,0.534483862148981,17.9560634068081
"20",542,"Puglia","ukesm1-0-ll","ssp370",0.5,0.0569772680423089,21.0098894391742
"21",543,"Puglia","ukesm1-0-ll","ssp370",0.8,3.40883063322898,20.6431440080916
"22",544,"Puglia","ukesm1-0-ll","ssp370",17.9,0.51240916979233,19.6839207240513
"23",545,"Puglia","ukesm1-0-ll","ssp370",21.4,0,20.5362313406808
"24",546,"Puglia","ukesm1-0-ll","ssp370",14.5,0.465672956135157,23.2186218261719
"25",547,"Puglia","ukesm1-0-ll","ssp370",14.2,0.448156237668757,24.1054818289621
"26",548,"Puglia","ukesm1-0-ll","ssp370",10.3,0.303208586327465,25.5206045968193
"27",549,"Puglia","ukesm1-0-ll","ssp370",9,0,26.7675929478237
"28",550,"Puglia","ukesm1-0-ll","ssp370",61.8,1.03199311997741,25.9066964285714
"29",551,"Puglia","ukesm1-0-ll","ssp370",30.9,0,27.5908203125001
"30",552,"Puglia","ukesm1-0-ll","ssp370",31.2,0.122252742865905,28.4000906808036
"31",553,"Puglia","ukesm1-0-ll","ssp370",45.7,1.07933152230024,27.9061331612724
"32",554,"Puglia","ukesm1-0-ll","ssp370",47.3,0.0619363420992159,29.4772269112723
"33",555,"Puglia","ukesm1-0-ll","ssp370",50.1,0,28.9236790248326
"34",556,"Puglia","ukesm1-0-ll","ssp370",78.4,0.00983920630200634,28.509219796317
"35",557,"Puglia","ukesm1-0-ll","ssp370",41.5,0.223444904965748,27.7435023716518
"36",558,"Puglia","ukesm1-0-ll","ssp370",41.7,0.253964263829402,26.918696812221
"37",559,"Puglia","ukesm1-0-ll","ssp370",63.4,7.56586874352901,22.4229343959263
"38",560,"Puglia","ukesm1-0-ll","ssp370",28.4,6.2469865847379,21.7850821358817
"39",561,"Puglia","ukesm1-0-ll","ssp370",31.9,7.43228913517669,19.0206656319754
"40",562,"Puglia","ukesm1-0-ll","ssp370",67.6,0.00820856990425714,17.4277273995536
"41",563,"Puglia","ukesm1-0-ll","ssp370",17.4,1.5941937279006,18.3353149414063
"42",564,"Puglia","ukesm1-0-ll","ssp370",15.8,0.03053879458873,17.8129255022322
"43",565,"Puglia","ukesm1-0-ll","ssp370",6.4,2.77084235911649,18.2107160295759
"44",566,"Puglia","ukesm1-0-ll","ssp370",NA,0.160195050910781,15.3834803989956
"45",567,"Puglia","ukesm1-0-ll","ssp370",0,0,14.631485421317
"46",568,"Puglia","ukesm1-0-ll","ssp370",0,0.0116606009708318,15.6706961495536
"47",569,"Puglia","ukesm1-0-ll","ssp370",0,0.205433746076389,15.2634216308594
"48",570,"Puglia","ukesm1-0-ll","ssp370",0,8.96562283087405,10.4754499162947
"49",571,"Puglia","ukesm1-0-ll","ssp370",0,0.0158481709825407,6.29709385463172
"50",572,"Puglia","ukesm1-0-ll","ssp370",0,0.335733055648493,8.16061139787949
"51",573,"Puglia","ukesm1-0-ll","ssp370",0,0,8.65594569614958
"52",574,"Puglia","ukesm1-0-ll","ssp370",0,2.71789149140074,8.62635410853797
"53",575,"Puglia","ukesm1-0-ll","ssp370",0,2.33692761377565,5.43933192661833
"54",576,"Puglia","ukesm1-0-ll","ssp370",0,2.78834340220783,10.4462140764509
"55",577,"Puglia","ukesm1-0-ll","ssp370",0,1.06654391364178,12.6325840541295
"56",578,"Puglia","ukesm1-0-ll","ssp370",0,0.00522587059614514,7.41958966936387
"57",579,"Puglia","ukesm1-0-ll","ssp370",0,0.583597144910267,10.0763209751674
"58",580,"Puglia","ukesm1-0-ll","ssp370",0,7.37894495741264,11.1375113351004
"59",581,"Puglia","ukesm1-0-ll","ssp370",0,1.13737430386079,7.35934186662949
"60",582,"Puglia","ukesm1-0-ll","ssp370",0,0.845745700124618,8.06130371093753
"61",583,"Puglia","ukesm1-0-ll","ssp370",NA,4.5476810508574,12.3891889299665
"62",584,"Puglia","ukesm1-0-ll","ssp370",NA,4.04241248293797,9.73609444754467
"63",585,"Puglia","ukesm1-0-ll","ssp370",NA,0.453660132812469,12.4535853794643
"64",586,"Puglia","ukesm1-0-ll","ssp370",NA,2.60111969513154,9.98910260881699
"65",587,"Puglia","ukesm1-0-ll","ssp370",NA,2.85556374330814,14.2900460379465
"66",588,"Puglia","ukesm1-0-ll","ssp370",NA,0.243925188707571,15.0613342285157
"67",589,"Puglia","ukesm1-0-ll","ssp370",NA,0.013814872353188,14.0641828264509
"68",590,"Puglia","ukesm1-0-ll","ssp370",NA,1.32426422970768,14.3135219029018
"69",591,"Puglia","ukesm1-0-ll","ssp370",NA,2.09360101166697,17.282075718471
"70",592,"Puglia","ukesm1-0-ll","ssp370",NA,0.766310061943452,18.9589660644531
"71",593,"Puglia","ukesm1-0-ll","ssp370",NA,0.585251167940442,16.5234967912946
"72",594,"Puglia","ukesm1-0-ll","ssp370",NA,0.346529885220142,19.6697457449777
"73",595,"Puglia","ukesm1-0-ll","ssp370",NA,0,20.5467433384487
"74",596,"Puglia","ukesm1-0-ll","ssp370",NA,0.121146276079734,23.3985717773438
"75",597,"Puglia","ukesm1-0-ll","ssp370",NA,0,24.3741420200893
"76",598,"Puglia","ukesm1-0-ll","ssp370",NA,0,26.0609104701451
"77",599,"Puglia","ukesm1-0-ll","ssp370",NA,0,23.2729500906808
"78",600,"Puglia","ukesm1-0-ll","ssp370",NA,0.0270111759683849,26.4991245814732
"79",601,"Puglia","ukesm1-0-ll","ssp370",NA,0,27.1466692243304
"80",602,"Puglia","ukesm1-0-ll","ssp370",NA,0,29.1254490443638
"81",603,"Puglia","ukesm1-0-ll","ssp370",NA,0.0301100512608952,28.9436758858817
"82",604,"Puglia","ukesm1-0-ll","ssp370",NA,2.48369118049075,24.5800606863839
"83",605,"Puglia","ukesm1-0-ll","ssp370",30.2,0.50312455211367,25.1719037737166
"84",606,"Puglia","ukesm1-0-ll","ssp370",32.4,0,27.4668221609933
"85",607,"Puglia","ukesm1-0-ll","ssp370",32.9,0.215463517566345,27.4650922502791
"86",608,"Puglia","ukesm1-0-ll","ssp370",31.5,0,27.6437142508371
"87",609,"Puglia","ukesm1-0-ll","ssp370",77.9,3.27107899356633,26.8780290876116
"88",610,"Puglia","ukesm1-0-ll","ssp370",34,0.106590374260642,23.5585074288505
"89",611,"Puglia","ukesm1-0-ll","ssp370",25.3,0.0179404478071124,24.3489850725446
