"","Week_index","Region","gcm","ssp","value","pr","tas"
"1",941,"Veneto","ukesm1-0-ll","ssp370",0,7.69879034400125,-1.16863355760448
"2",942,"Veneto","ukesm1-0-ll","ssp370",0,9.46130058895884,0.238390082817598
"3",943,"Veneto","ukesm1-0-ll","ssp370",0,0.0647725438201715,-3.38016357421873
"4",944,"Veneto","ukesm1-0-ll","ssp370",0,0.382726465368132,-1.1987797724736
"5",945,"Veneto","ukesm1-0-ll","ssp370",0,0.759595739292343,-0.0780954336190932
"6",946,"Veneto","ukesm1-0-ll","ssp370",0,3.34090960578496,0.139994276963295
"7",947,"Veneto","ukesm1-0-ll","ssp370",0,2.05756330653056,-0.620605230950667
"8",948,"Veneto","ukesm1-0-ll","ssp370",0,0.443446169867764,-2.48928452528914
"9",949,"Veneto","ukesm1-0-ll","ssp370",0,6.7291180531297,-1.17668346058236
"10",950,"Veneto","ukesm1-0-ll","ssp370",NA,2.30489824786094,0.153951114803187
"11",951,"Veneto","ukesm1-0-ll","ssp370",NA,2.85385349073637,-1.06717132964689
"12",952,"Veneto","ukesm1-0-ll","ssp370",NA,0.739628802939596,-0.699341375177534
"13",953,"Veneto","ukesm1-0-ll","ssp370",NA,1.32122335089189,-2.49216546393058
"14",954,"Veneto","ukesm1-0-ll","ssp370",NA,3.71511849553389,1.8099950220678
"15",955,"Veneto","ukesm1-0-ll","ssp370",NA,1.11133930265417,4.76707343559763
"16",956,"Veneto","ukesm1-0-ll","ssp370",NA,2.12536343013246,3.8361636471439
"17",957,"Veneto","ukesm1-0-ll","ssp370",NA,4.35198858489835,0.640772673371571
"18",958,"Veneto","ukesm1-0-ll","ssp370",NA,10.9533634503197,2.86364968039775
"19",959,"Veneto","ukesm1-0-ll","ssp370",0,4.32438101411031,4.09388657607044
"20",960,"Veneto","ukesm1-0-ll","ssp370",0,2.09962206695368,5.58885910232348
"21",961,"Veneto","ukesm1-0-ll","ssp370",0.375,3.03493475952233,5.63434020203432
"22",962,"Veneto","ukesm1-0-ll","ssp370",0.5,4.0426135993738,5.89249988902701
"23",963,"Veneto","ukesm1-0-ll","ssp370",3.25,2.37181259254175,9.72000621448865
"24",964,"Veneto","ukesm1-0-ll","ssp370",2.875,5.8946634506332,11.6101029036881
"25",965,"Veneto","ukesm1-0-ll","ssp370",5.5,3.61580483026896,7.18859569995436
"26",966,"Veneto","ukesm1-0-ll","ssp370",3.25,4.24180320643989,8.85683593750003
"27",967,"Veneto","ukesm1-0-ll","ssp370",13.3125,1.29386999682325,11.3443712903308
