"","Week_index","Region","value"
"1",523,"Autonomous Province of Trento",0
"2",523,"Canton of Ticino",0
"3",523,"Emilia-Romagna",0
"4",523,"Puglia",0
"5",523,"Sicily",0
"6",524,"Autonomous Province of Trento",0
"7",524,"Canton of Ticino",0
"8",524,"Emilia-Romagna",0
"9",524,"Puglia",0
"10",524,"Sicily",0
"11",525,"Autonomous Province of Trento",0
"12",525,"Canton of Ticino",0
"13",525,"Emilia-Romagna",0
"14",525,"Puglia",0
"15",525,"Sicily",0
"16",526,"Autonomous Province of Trento",0
"17",526,"Canton of Ticino",0
"18",526,"Emilia-Romagna",0
"19",526,"Puglia",0
"20",526,"Sicily",0
"21",527,"Autonomous Province of Trento",0
"22",527,"Canton of Ticino",0
"23",527,"Emilia-Romagna",0
"24",527,"Puglia",0
"25",527,"Sicily",0
"26",528,"Autonomous Province of Trento",0
"27",528,"Canton of Ticino",0
"28",528,"Emilia-Romagna",0
"29",528,"Puglia",0
"30",528,"Sicily",0
"31",529,"Autonomous Province of Trento",0
"32",529,"Canton of Ticino",0
"33",529,"Emilia-Romagna",0
"34",529,"Puglia",0
"35",529,"Sicily",0
"36",530,"Autonomous Province of Trento",0
"37",530,"Canton of Ticino",0
"38",530,"Emilia-Romagna",0
"39",530,"Puglia",0
"40",530,"Sicily",0
"41",531,"Autonomous Province of Trento",0
"42",531,"Canton of Ticino",0
"43",531,"Emilia-Romagna",0
"44",531,"Puglia",0
"45",531,"Sicily",0
"46",532,"Autonomous Province of Trento",NA
"47",532,"Canton of Ticino",NA
"48",532,"Emilia-Romagna",NA
"49",532,"Puglia",NA
"50",532,"Sicily",0
"51",533,"Autonomous Province of Trento",NA
"52",533,"Canton of Ticino",NA
"53",533,"Emilia-Romagna",NA
"54",533,"Puglia",NA
"55",533,"Sicily",0
"56",534,"Autonomous Province of Trento",NA
"57",534,"Canton of Ticino",NA
"58",534,"Emilia-Romagna",NA
"59",534,"Puglia",NA
"60",534,"Sicily",0
"61",535,"Autonomous Province of Trento",NA
"62",535,"Canton of Ticino",NA
"63",535,"Emilia-Romagna",NA
"64",535,"Puglia",NA
"65",535,"Sicily",0
"66",536,"Autonomous Province of Trento",NA
"67",536,"Canton of Ticino",NA
"68",536,"Emilia-Romagna",NA
"69",536,"Puglia",NA
"70",536,"Sicily",0
"71",537,"Autonomous Province of Trento",NA
"72",537,"Canton of Ticino",NA
"73",537,"Emilia-Romagna",NA
"74",537,"Puglia",NA
"75",537,"Sicily",0
"76",538,"Autonomous Province of Trento",NA
"77",538,"Canton of Ticino",NA
"78",538,"Emilia-Romagna",NA
"79",538,"Puglia",0
"80",538,"Sicily",0
"81",539,"Autonomous Province of Trento",NA
"82",539,"Canton of Ticino",0
"83",539,"Emilia-Romagna",NA
"84",539,"Puglia",0
"85",539,"Sicily",0
"86",540,"Autonomous Province of Trento",NA
"87",540,"Canton of Ticino",0
"88",540,"Emilia-Romagna",NA
"89",540,"Puglia",0
"90",540,"Sicily",0
"91",541,"Autonomous Province of Trento",NA
"92",541,"Canton of Ticino",0
"93",541,"Emilia-Romagna",NA
"94",541,"Puglia",0
"95",541,"Sicily",0
"96",542,"Autonomous Province of Trento",NA
"97",542,"Canton of Ticino",0
"98",542,"Emilia-Romagna",21.125
"99",542,"Puglia",0.5
"100",542,"Sicily",11
"101",543,"Autonomous Province of Trento",0
"102",543,"Canton of Ticino",0
"103",543,"Emilia-Romagna",23.8125
"104",543,"Puglia",0.8
"105",543,"Sicily",13
"106",544,"Autonomous Province of Trento",0
"107",544,"Canton of Ticino",0
"108",544,"Emilia-Romagna",38.90625
"109",544,"Puglia",17.9
"110",544,"Sicily",18
"111",545,"Autonomous Province of Trento",0
"112",545,"Canton of Ticino",0
"113",545,"Emilia-Romagna",41.0625
"114",545,"Puglia",21.4
"115",545,"Sicily",8
"116",546,"Autonomous Province of Trento",0
"117",546,"Canton of Ticino",0
"118",546,"Emilia-Romagna",89.59375
"119",546,"Puglia",14.5
"120",546,"Sicily",NA
"121",547,"Autonomous Province of Trento",0
"122",547,"Canton of Ticino",0
"123",547,"Emilia-Romagna",91.875
"124",547,"Puglia",14.2
"125",547,"Sicily",33
"126",548,"Autonomous Province of Trento",1.8
"127",548,"Canton of Ticino",0
"128",548,"Emilia-Romagna",130.25
"129",548,"Puglia",10.3
"130",548,"Sicily",6.5
"131",549,"Autonomous Province of Trento",8.7
"132",549,"Canton of Ticino",0
"133",549,"Emilia-Romagna",133.40625
"134",549,"Puglia",9
"135",549,"Sicily",9
"136",550,"Autonomous Province of Trento",29.5
"137",550,"Canton of Ticino",0
"138",550,"Emilia-Romagna",96.40625
"139",550,"Puglia",61.8
"140",550,"Sicily",9
