name,postal,geometry,ref_lon,ref_lat
Florida,FL,"c(-80.75, 25.25)",-80.75,25.25
Florida,FL,"c(-81.25, 25.75)",-81.25,25.75
Florida,FL,"c(-80.75, 25.75)",-80.75,25.75
Florida,FL,"c(-80.25, 25.75)",-80.25,25.75
Texas,TX,"c(-98.25, 26.25)",-98.25,26.25
Texas,TX,"c(-97.75, 26.25)",-97.75,26.25
Florida,FL,"c(-81.75, 26.25)",-81.75,26.25
Florida,FL,"c(-81.25, 26.25)",-81.25,26.25
Florida,FL,"c(-80.75, 26.25)",-80.75,26.25
Florida,FL,"c(-80.25, 26.25)",-80.25,26.25
Texas,TX,"c(-98.75, 26.75)",-98.75,26.75
Texas,TX,"c(-98.25, 26.75)",-98.25,26.75
Texas,TX,"c(-97.75, 26.75)",-97.75,26.75
Florida,FL,"c(-81.75, 26.75)",-81.75,26.75
Florida,FL,"c(-81.25, 26.75)",-81.25,26.75
Florida,FL,"c(-80.75, 26.75)",-80.75,26.75
Florida,FL,"c(-80.25, 26.75)",-80.25,26.75
Texas,TX,"c(-99.25, 27.25)",-99.25,27.25
Texas,TX,"c(-98.75, 27.25)",-98.75,27.25
Texas,TX,"c(-98.25, 27.25)",-98.25,27.25
Texas,TX,"c(-97.75, 27.25)",-97.75,27.25
Florida,FL,"c(-82.25, 27.25)",-82.25,27.25
Florida,FL,"c(-81.75, 27.25)",-81.75,27.25
Florida,FL,"c(-81.25, 27.25)",-81.25,27.25
Florida,FL,"c(-80.75, 27.25)",-80.75,27.25
Florida,FL,"c(-80.25, 27.25)",-80.25,27.25
Texas,TX,"c(-99.75, 27.75)",-99.75,27.75
Texas,TX,"c(-99.25, 27.75)",-99.25,27.75
Texas,TX,"c(-98.75, 27.75)",-98.75,27.75
Texas,TX,"c(-98.25, 27.75)",-98.25,27.75
Texas,TX,"c(-97.75, 27.75)",-97.75,27.75
Florida,FL,"c(-82.25, 27.75)",-82.25,27.75
Florida,FL,"c(-81.75, 27.75)",-81.75,27.75
Florida,FL,"c(-81.25, 27.75)",-81.25,27.75
Florida,FL,"c(-80.75, 27.75)",-80.75,27.75
Texas,TX,"c(-99.75, 28.25)",-99.75,28.25
Texas,TX,"c(-99.25, 28.25)",-99.25,28.25
Texas,TX,"c(-98.75, 28.25)",-98.75,28.25
Texas,TX,"c(-98.25, 28.25)",-98.25,28.25
Texas,TX,"c(-97.75, 28.25)",-97.75,28.25
Texas,TX,"c(-97.25, 28.25)",-97.25,28.25
Florida,FL,"c(-82.25, 28.25)",-82.25,28.25
Florida,FL,"c(-81.75, 28.25)",-81.75,28.25
Florida,FL,"c(-81.25, 28.25)",-81.25,28.25
Florida,FL,"c(-80.75, 28.25)",-80.75,28.25
Texas,TX,"c(-100.25, 28.75)",-100.25,28.75
Texas,TX,"c(-99.75, 28.75)",-99.75,28.75
Texas,TX,"c(-99.25, 28.75)",-99.25,28.75
Texas,TX,"c(-98.75, 28.75)",-98.75,28.75
Texas,TX,"c(-98.25, 28.75)",-98.25,28.75
Texas,TX,"c(-97.75, 28.75)",-97.75,28.75
Texas,TX,"c(-97.25, 28.75)",-97.25,28.75
Texas,TX,"c(-96.75, 28.75)",-96.75,28.75
Texas,TX,"c(-96.25, 28.75)",-96.25,28.75
Texas,TX,"c(-95.75, 28.75)",-95.75,28.75
Florida,FL,"c(-82.25, 28.75)",-82.25,28.75
Florida,FL,"c(-81.75, 28.75)",-81.75,28.75
Florida,FL,"c(-81.25, 28.75)",-81.25,28.75
