"","Week_index","state","gcm","ssp","aegypti_trapnight","pr","tas"
"1",941,"Arizona","gfdl-esm4","ssp585",0.0642556179775281,0.00335369816451868,2.0036534595128
"2",942,"Arizona","gfdl-esm4","ssp585",0.0642556179775281,0.177199982405763,6.30426178943043
"3",943,"Arizona","gfdl-esm4","ssp585",0.0642556179775281,1.2152173286924,6.78676267833688
"4",944,"Arizona","gfdl-esm4","ssp585",0.0642556179775281,2.66573522080147,6.48717713096804
"5",945,"Arizona","gfdl-esm4","ssp585",0.0600952886635608,0.00188314940258446,4.58208405968515
"6",946,"Arizona","gfdl-esm4","ssp585",0.0559349593495935,0.00171644171566983,8.49761665045238
"7",947,"Arizona","gfdl-esm4","ssp585",0.0559349593495935,1.48388901075634,9.51129215206722
"8",948,"Arizona","gfdl-esm4","ssp585",0.0559349593495935,0.866544654759142,6.91436245962886
"9",949,"Arizona","gfdl-esm4","ssp585",0.0344842370509067,0.0637855522024625,10.7166594031487
"10",950,"Arizona","gfdl-esm4","ssp585",0.01303351475222,7.48676729829453,9.21069528070927
"11",951,"Arizona","gfdl-esm4","ssp585",0.01303351475222,0.0652761451978597,7.81680586437512
"12",952,"Arizona","gfdl-esm4","ssp585",0.01303351475222,0.604494594296524,12.2845768326905
"13",953,"Arizona","gfdl-esm4","ssp585",0.0209184123729273,2.13449683040647,13.6951884929209
"14",954,"Arizona","gfdl-esm4","ssp585",0.0288033099936346,2.38455766445823,8.3748727135351
"15",955,"Arizona","gfdl-esm4","ssp585",0.0288033099936346,0.739295659546682,9.65082862747909
"16",956,"Arizona","gfdl-esm4","ssp585",0.0288033099936346,0.323629969525554,16.1694524521472
"17",957,"Arizona","gfdl-esm4","ssp585",0.0288033099936346,0.420671521527473,20.8100345886462
"18",958,"Arizona","gfdl-esm4","ssp585",0.0981825357701793,1.14733411504853,15.3557060540702
"19",959,"Arizona","gfdl-esm4","ssp585",0.167561761546724,1.00854452749904,18.943886962582
"20",960,"Arizona","gfdl-esm4","ssp585",0.167561761546724,0.685434153175977,20.6849240154744
"21",961,"Arizona","gfdl-esm4","ssp585",0.167561761546724,3.58984042119146,15.5646044705822
"22",962,"Arizona","gfdl-esm4","ssp585",0.310268976011457,0.105600546248407,15.7249897760326
"23",963,"Arizona","gfdl-esm4","ssp585",0.45297619047619,0.117329126233856,22.5850393263941
"24",964,"Arizona","gfdl-esm4","ssp585",0.45297619047619,0.143214926050142,21.0786094540139
"25",965,"Arizona","gfdl-esm4","ssp585",0.45297619047619,0.224142706123732,23.1856423167001
"26",966,"Arizona","gfdl-esm4","ssp585",0.568509525878118,0.13980434588809,26.8649889534855
"27",967,"Arizona","gfdl-esm4","ssp585",0.684042861280046,0.446793409363269,27.3560143934942
"28",968,"Arizona","gfdl-esm4","ssp585",0.684042861280046,0.0742624935194159,29.9076417250217
"29",969,"Arizona","gfdl-esm4","ssp585",0.684042861280046,0.0525435731506104,29.0109048758988
"30",970,"Arizona","gfdl-esm4","ssp585",0.684042861280046,0.175098249947018,26.1333815621667
"31",971,"Arizona","gfdl-esm4","ssp585",0.870928324350542,2.63152970420366,27.5431905830856
"32",972,"Arizona","gfdl-esm4","ssp585",1.05781378742104,1.98182613963356,26.9323274364062
"33",973,"Arizona","gfdl-esm4","ssp585",1.05781378742104,5.42423909407622,25.4866616115257
"34",974,"Arizona","gfdl-esm4","ssp585",1.05781378742104,0.123974838024924,26.3848009574881
"35",975,"Arizona","gfdl-esm4","ssp585",1.33896719202851,0.71739733064512,26.4012855037878
"36",976,"Arizona","gfdl-esm4","ssp585",1.62012059663599,0.432135434463705,25.884085549838
"37",977,"Arizona","gfdl-esm4","ssp585",1.62012059663599,2.81712694677814,23.5469575942241
"38",978,"Arizona","gfdl-esm4","ssp585",1.62012059663599,0.0436006970688333,21.4940923138605
"39",979,"Arizona","gfdl-esm4","ssp585",1.62012059663599,0.00166498219637629,21.5433856100861
"40",980,"Arizona","gfdl-esm4","ssp585",2.69001701644923,0.000673893230424001,23.9566153775877
"41",981,"Arizona","gfdl-esm4","ssp585",2.69001701644923,0.192974496807364,20.47135069952
"42",982,"Arizona","gfdl-esm4","ssp585",2.69001701644923,0.564430915035496,16.3349676428794
"43",983,"Arizona","gfdl-esm4","ssp585",2.69001701644923,0.960642115224327,15.7278145231881
"44",984,"Arizona","gfdl-esm4","ssp585",1.87593705979537,0.510031557502843,14.1711526786332
"45",985,"Arizona","gfdl-esm4","ssp585",1.06185710314151,0.0109389544266955,11.8121198536021
"46",986,"Arizona","gfdl-esm4","ssp585",1.06185710314151,0.0220455642852961,9.43160720613002
"47",987,"Arizona","gfdl-esm4","ssp585",1.06185710314151,0.0856099441671004,9.17629097457483
"48",988,"Arizona","gfdl-esm4","ssp585",0.608511152992752,0.77950164543568,5.2593492124536
"49",989,"Arizona","gfdl-esm4","ssp585",0.155165202843998,1.55896730645156,7.48840501016072
"50",990,"Arizona","gfdl-esm4","ssp585",0.155165202843998,0.0329322538311153,5.8157653731432
"51",991,"Arizona","gfdl-esm4","ssp585",0.155165202843998,1.06679783455848,10.2796563651258
"52",992,"Arizona","gfdl-esm4","ssp585",0.155165202843998,2.6045922548009,8.5896504900097
"53",993,"Arizona","gfdl-esm4","ssp585",0.0841722532280519,0.0252273077989708,6.02726152615363
"54",994,"Arizona","gfdl-esm4","ssp585",0.0131793036121054,0.590555782529088,3.89480435724658
"55",995,"Arizona","gfdl-esm4","ssp585",0.0131793036121054,0.00228008554624211,3.20808519828789
"56",996,"Arizona","gfdl-esm4","ssp585",0.0131793036121054,0.0642886478428119,2.07059131723592
"57",997,"Arizona","gfdl-esm4","ssp585",0.00899499010524576,0.00455595188194373,5.75578479019341
"58",998,"Arizona","gfdl-esm4","ssp585",0.0048106765983861,0.00151841921598857,10.6662359148453
"59",999,"Arizona","gfdl-esm4","ssp585",0.0048106765983861,1.6783213086023,9.70883849248877
"60",1000,"Arizona","gfdl-esm4","ssp585",0.0048106765983861,0.923353507715695,5.65928531458648
"61",1001,"Arizona","gfdl-esm4","ssp585",0.012139578101418,0.182754467325448,7.73657106189754
"62",1002,"Arizona","gfdl-esm4","ssp585",0.0194684796044499,0.387979312424851,5.88827525451122
"63",1003,"Arizona","gfdl-esm4","ssp585",0.0194684796044499,1.33007734948294,6.8773569447051
"64",1004,"Arizona","gfdl-esm4","ssp585",0.0194684796044499,1.73528076896813,12.3797736976903
"65",1005,"Arizona","gfdl-esm4","ssp585",0.0194684796044499,0.0155316475485315,13.9959774977037
"66",1006,"Arizona","gfdl-esm4","ssp585",0.142794376098418,0.0443203027493556,14.2824880954439
"67",1007,"Arizona","gfdl-esm4","ssp585",0.142794376098418,0.00552109384986318,15.3582726171134
"68",1008,"Arizona","gfdl-esm4","ssp585",0.142794376098418,0.0442705481180086,16.223839251763
"69",1009,"Arizona","gfdl-esm4","ssp585",0.142794376098418,0.172951825874804,15.0536975035927
"70",1010,"Arizona","gfdl-esm4","ssp585",0.438108417995733,0.970739657212834,15.425520550406
"71",1011,"Arizona","gfdl-esm4","ssp585",0.733422459893048,0.00968387076519997,21.4953399079488
"72",1012,"Arizona","gfdl-esm4","ssp585",0.733422459893048,0.0395677646072695,21.6141317606274
"73",1013,"Arizona","gfdl-esm4","ssp585",0.733422459893048,0.00241539977795848,23.1402009098328
"74",1014,"Arizona","gfdl-esm4","ssp585",0.850138371910251,0.00524229432229767,22.8511387184809
"75",1015,"Arizona","gfdl-esm4","ssp585",0.966854283927455,0.0149224515702689,20.8568300731867
"76",1016,"Arizona","gfdl-esm4","ssp585",0.966854283927455,0.0238923815550324,25.6746667140956
"77",1017,"Arizona","gfdl-esm4","ssp585",0.966854283927455,0.0493081119634869,27.8533046949076
"78",1018,"Arizona","gfdl-esm4","ssp585",0.966854283927455,0.3148377170708,27.8546283707456
