"","Week_index","state","gcm","ssp","aegypti_trapnight","pr","tas"
"1",680,"California","gfdl-esm4","ssp585",0,0.0149819740956892,9.03971837953082
"2",681,"California","gfdl-esm4","ssp585",0,1.90546177087931,7.98755843964132
"3",682,"California","gfdl-esm4","ssp585",0,11.6014009321625,8.19207016447456
"4",683,"California","gfdl-esm4","ssp585",0,13.3192692418204,7.61180318027638
"5",684,"California","gfdl-esm4","ssp585",0,0.866397938883035,7.08294701053457
"6",685,"California","gfdl-esm4","ssp585",0,0.0461394743571414,8.3124189966145
"7",686,"California","gfdl-esm4","ssp585",0,0.0795902115784952,8.93268844249639
"8",687,"California","gfdl-esm4","ssp585",0,6.17522672824526,9.66304911363167
"9",688,"California","gfdl-esm4","ssp585",0,11.1510832689325,8.69064273263927
"10",689,"California","gfdl-esm4","ssp585",0,12.3726286647532,9.45626529934401
"11",690,"California","gfdl-esm4","ssp585",0,2.26527433890947,13.6087750203586
"12",691,"California","gfdl-esm4","ssp585",0,4.62230739490632,11.8654710687276
"13",692,"California","gfdl-esm4","ssp585",0,0.867653747240866,12.861204006664
"14",693,"California","gfdl-esm4","ssp585",0,0.706172845903014,8.01719154028404
"15",694,"California","gfdl-esm4","ssp585",0,0.0147878111256976,12.7304340806119
"16",695,"California","gfdl-esm4","ssp585",0,0.0164334695329786,14.9830212311095
"17",696,"California","gfdl-esm4","ssp585",0,0.712241810554911,14.747040712477
"18",697,"California","gfdl-esm4","ssp585",0,1.82690737374257,11.1888189271439
"19",698,"California","gfdl-esm4","ssp585",0,4.24903188412226,15.3692216385243
"20",699,"California","gfdl-esm4","ssp585",0,0.0524425912394433,17.1202435211486
"21",700,"California","gfdl-esm4","ssp585",0,0.154572987906421,15.2674277726994
"22",701,"California","gfdl-esm4","ssp585",0.000642325895875591,0.00827921711550099,18.5377916152295
"23",702,"California","gfdl-esm4","ssp585",0.00124321141137211,0.000833789032076673,21.4640341014165
"24",703,"California","gfdl-esm4","ssp585",0.00124321141137211,0.00330332329856575,20.9672629068064
"25",704,"California","gfdl-esm4","ssp585",0.00124321141137211,0.407961031471489,18.1237130199952
"26",705,"California","gfdl-esm4","ssp585",0.00124321141137211,0.438752878481528,17.8289935393983
"27",706,"California","gfdl-esm4","ssp585",0.0022104381187573,0.00445677333662394,21.8080528791561
"28",707,"California","gfdl-esm4","ssp585",0.0022104381187573,0.529923088842197,22.237059157869
"29",708,"California","gfdl-esm4","ssp585",0.0022104381187573,0.793219340347639,19.1670253462174
"30",709,"California","gfdl-esm4","ssp585",0.0022104381187573,0.173537761834887,23.8653312302903
"31",710,"California","gfdl-esm4","ssp585",0.00187120757759529,1.27103863782201,25.8315627443434
"32",711,"California","gfdl-esm4","ssp585",0.0015619091430064,0.0751677663972329,24.7846309674539
"33",712,"California","gfdl-esm4","ssp585",0.0015619091430064,0.0332543095352241,21.059194196023
"34",713,"California","gfdl-esm4","ssp585",0.0015619091430064,0.380256295808442,23.594586881213
"35",714,"California","gfdl-esm4","ssp585",0.00189503656793814,0.0964263826936195,22.8811929442954
"36",715,"California","gfdl-esm4","ssp585",0.00222816399286988,0.00472813048736951,21.9605402696173
"37",716,"California","gfdl-esm4","ssp585",0.00222816399286988,0.0244441716145909,21.7769871505788
"38",717,"California","gfdl-esm4","ssp585",0.00222816399286988,0.0390935645932843,20.1445680840071
"39",718,"California","gfdl-esm4","ssp585",0.00222816399286988,0.023607671935987,21.6453005058821
"40",719,"California","gfdl-esm4","ssp585",0.00143511618921455,0.751548341695736,16.8540056349035
"41",720,"California","gfdl-esm4","ssp585",0.000436463399426363,3.65262626012697,13.9176201348289
"42",721,"California","gfdl-esm4","ssp585",0.000436463399426363,0.0241078107521323,15.2279180279602
"43",722,"California","gfdl-esm4","ssp585",0.000436463399426363,5.09595100104245,15.5527919173637
"44",723,"California","gfdl-esm4","ssp585",0.000261878039655817,0.215596963204442,15.7775407759454
"45",724,"California","gfdl-esm4","ssp585",0,2.24314277439073,15.0689364512498
"46",725,"California","gfdl-esm4","ssp585",0,2.85815629159724,10.264877805995
"47",726,"California","gfdl-esm4","ssp585",0,3.23591575941742,9.90013224452835
"48",727,"California","gfdl-esm4","ssp585",0,0.451200999721375,7.05199716764433
"49",728,"California","gfdl-esm4","ssp585",0,5.07543570666619,3.15215023205528
"50",729,"California","gfdl-esm4","ssp585",0,9.41667333650501,4.75762305022081
"51",730,"California","gfdl-esm4","ssp585",0,1.02927741643973,4.91841838241022
"52",731,"California","gfdl-esm4","ssp585",0,0.0981604452586012,6.90935336901898
"53",732,"California","gfdl-esm4","ssp585",0,2.30284891646846,8.14065032654825
"54",733,"California","gfdl-esm4","ssp585",0,1.67101857108314,3.11076312397804
"55",734,"California","gfdl-esm4","ssp585",0,0.921549549778763,2.27554676651561
"56",735,"California","gfdl-esm4","ssp585",0,1.20518409751056,5.86058866177685
"57",736,"California","gfdl-esm4","ssp585",0,0.879505229953116,7.46611806673071
"58",737,"California","gfdl-esm4","ssp585",0,2.6605667105063,8.68615114839372
"59",738,"California","gfdl-esm4","ssp585",0,0.0384382674392297,5.51564507975533
"60",739,"California","gfdl-esm4","ssp585",0,2.23729404268371,8.77643783417257
"61",740,"California","gfdl-esm4","ssp585",0,2.85741640750182,10.775938298932
"62",741,"California","gfdl-esm4","ssp585",0,1.6287184977136,14.2550635404365
"63",742,"California","gfdl-esm4","ssp585",0,0.698475659284964,11.0053693245416
"64",743,"California","gfdl-esm4","ssp585",0,1.11070939390816,9.75359606061665
"65",744,"California","gfdl-esm4","ssp585",0,0.878776701345341,15.3354933019493
"66",745,"California","gfdl-esm4","ssp585",0,0.010882662703251,15.9843556400946
"67",746,"California","gfdl-esm4","ssp585",0,2.45349027465449,9.24034474014842
"68",747,"California","gfdl-esm4","ssp585",0,0.26663424550831,12.2394077693901
"69",748,"California","gfdl-esm4","ssp585",0,0.262564597387397,14.8196851964805
"70",749,"California","gfdl-esm4","ssp585",0.000340411372689686,1.09944537770392,16.0877354568025
"71",750,"California","gfdl-esm4","ssp585",0.000635434562354081,0.127760003578263,14.2983452223464
"72",751,"California","gfdl-esm4","ssp585",0.000635434562354081,0.000683384633548998,23.2892026983622
"73",752,"California","gfdl-esm4","ssp585",0.000635434562354081,0.00290413192935098,18.0918417946445
"74",753,"California","gfdl-esm4","ssp585",0.000365619306415685,0.101642739896019,17.3963182823207
"75",754,"California","gfdl-esm4","ssp585",0.000104507768410785,0.0879172590194563,17.1758430506304
"76",755,"California","gfdl-esm4","ssp585",0.000104507768410785,0.00401125520076307,21.1942620058789
"77",756,"California","gfdl-esm4","ssp585",0.000104507768410785,0.0298291725516191,21.3889233966207
"78",757,"California","gfdl-esm4","ssp585",0.000104507768410785,0.0689569378437982,21.0888775087274
"79",758,"California","gfdl-esm4","ssp585",0.00309270279089719,0.00491447942062393,23.487884780022
"80",759,"California","gfdl-esm4","ssp585",0.00589979508474806,0.00800260646259589,24.0150213450689
"81",760,"California","gfdl-esm4","ssp585",0.00589979508474806,0.0433377633948281,26.0580094853905
"82",761,"California","gfdl-esm4","ssp585",0.00589979508474806,0.00266893614351651,22.095716411806
"83",762,"California","gfdl-esm4","ssp585",0.00479760974945892,0.201149844682569,23.2178756156237
"84",763,"California","gfdl-esm4","ssp585",0.00362431568286079,0.0223009540160663,27.3459684352938
"85",764,"California","gfdl-esm4","ssp585",0.00362431568286079,1.51417214572188,23.0477792277289
"86",765,"California","gfdl-esm4","ssp585",0.00362431568286079,0.0564200721897801,23.1446611322042
"87",766,"California","gfdl-esm4","ssp585",0.00362431568286079,0.362226502633548,25.4382302217705
"88",767,"California","gfdl-esm4","ssp585",0.01004291721977,0.0587452568966469,23.4220785907733
"89",768,"California","gfdl-esm4","ssp585",0.01004291721977,0.01339557796886,22.3489964938243
"90",769,"California","gfdl-esm4","ssp585",0.01004291721977,0.463566472275143,21.110498046875
"91",770,"California","gfdl-esm4","ssp585",0.01004291721977,0.474358702661409,19.0999372412596
"92",771,"California","gfdl-esm4","ssp585",0.0103852406105436,0.00217225773413639,19.7802833278314
"93",772,"California","gfdl-esm4","ssp585",0.0107782785777281,0.00444660570768448,20.3194794816432
"94",773,"California","gfdl-esm4","ssp585",0.0107782785777281,0.0788661852033648,19.5048251028473
"95",774,"California","gfdl-esm4","ssp585",0.0107782785777281,5.95736674653006,14.131060684559
"96",775,"California","gfdl-esm4","ssp585",0.0350069589740552,6.58680478294525,12.3980264555973
"97",776,"California","gfdl-esm4","ssp585",0.0758928571428571,1.4426512219819,13.7271187158122
"98",777,"California","gfdl-esm4","ssp585",0.0758928571428571,1.18749988030964,10.0767321716512
"99",778,"California","gfdl-esm4","ssp585",0.0758928571428571,3.74869911299365,5.49882829735844
"100",779,"California","gfdl-esm4","ssp585",0.0758928571428571,0.458278372819304,5.09762066812612
"101",780,"California","gfdl-esm4","ssp585",0,2.95368516228753,5.9630093546009
