"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",545,"Connecticut","gfdl-esm4","ssp585",0,4.70381271760353,17.7835904802595
"2",546,"Connecticut","gfdl-esm4","ssp585",0,8.49656812635137,18.8939801897322
"3",547,"Connecticut","gfdl-esm4","ssp585",0,3.69742496390504,20.8035435267857
"4",548,"Connecticut","gfdl-esm4","ssp585",0,4.56959818064726,20.1735375540597
"5",549,"Connecticut","gfdl-esm4","ssp585",0.00265957446808511,0.737662525560674,22.6310963221959
"6",550,"Connecticut","gfdl-esm4","ssp585",0.00531914893617021,2.69077067620986,23.8279968261719
"7",551,"Connecticut","gfdl-esm4","ssp585",0.00531914893617021,1.52772684802715,20.7909811837333
"8",552,"Connecticut","gfdl-esm4","ssp585",0.00531914893617021,2.40458111329644,24.8631399972098
"9",553,"Connecticut","gfdl-esm4","ssp585",0.00347126277977342,3.00191321315911,22.0038445608957
"10",554,"Connecticut","gfdl-esm4","ssp585",0.00162337662337662,1.3896500518188,25.3750810895648
"11",555,"Connecticut","gfdl-esm4","ssp585",0.00162337662337662,0.952995158305775,22.7311928885324
"12",556,"Connecticut","gfdl-esm4","ssp585",0.00162337662337662,0.4690902530066,25.0568176269532
"13",557,"Connecticut","gfdl-esm4","ssp585",0.00162337662337662,2.84681334201845,20.4197773524693
"14",558,"Connecticut","gfdl-esm4","ssp585",0.000811688311688312,11.5768789000088,21.5705450875419
"15",559,"Connecticut","gfdl-esm4","ssp585",0,3.89598956930318,16.9299364362444
"16",560,"Connecticut","gfdl-esm4","ssp585",0,0.519174647212953,14.1048163277763
"17",561,"Connecticut","gfdl-esm4","ssp585",0,0.00424964560547128,19.2610990251814
"18",562,"Connecticut","gfdl-esm4","ssp585",0,0.605424538194451,18.3195205688477
"19",563,"Connecticut","gfdl-esm4","ssp585",0,8.79083397968706,13.1520695277623
"20",564,"Connecticut","gfdl-esm4","ssp585",0,5.54314998454564,11.4426742553711
"21",565,"Connecticut","gfdl-esm4","ssp585",0,2.56537884540323,8.80036751883373
"22",566,"Connecticut","gfdl-esm4","ssp585",0,9.4856762841508,6.83814719063898
"23",567,"Connecticut","gfdl-esm4","ssp585",NA,0.0503676521846649,8.24068852638714
"24",568,"Connecticut","gfdl-esm4","ssp585",NA,1.67192914558822,12.4610020851602
"25",569,"Connecticut","gfdl-esm4","ssp585",NA,2.48928543529028,4.74598550601884
"26",570,"Connecticut","gfdl-esm4","ssp585",NA,13.4655953272678,8.79306790098854
"27",571,"Connecticut","gfdl-esm4","ssp585",NA,0.00646007079105439,-0.481760017239295
"28",572,"Connecticut","gfdl-esm4","ssp585",NA,5.1843406399118,-1.09094256965479
"29",573,"Connecticut","gfdl-esm4","ssp585",NA,4.96849544703894,-1.67453924685106
"30",574,"Connecticut","gfdl-esm4","ssp585",NA,0.525044476196445,-5.10807009327166
"31",575,"Connecticut","gfdl-esm4","ssp585",NA,2.61314270617509,-3.06139096629861
"32",576,"Connecticut","gfdl-esm4","ssp585",NA,2.65648372430349,-2.21843130929127
"33",577,"Connecticut","gfdl-esm4","ssp585",NA,4.80414046763386,-6.46326916753027
"34",578,"Connecticut","gfdl-esm4","ssp585",NA,9.33679696966521,-0.116987765565187
"35",579,"Connecticut","gfdl-esm4","ssp585",NA,8.05015700675632,-2.07505100795199
"36",580,"Connecticut","gfdl-esm4","ssp585",NA,3.61374796186505,-5.25838753836493
"37",581,"Connecticut","gfdl-esm4","ssp585",NA,1.66611990094605,-4.16280554946586
"38",582,"Connecticut","gfdl-esm4","ssp585",NA,1.01931368321393,3.21482083067605
"39",583,"Connecticut","gfdl-esm4","ssp585",NA,4.41717836068591,6.0930040009168
"40",584,"Connecticut","gfdl-esm4","ssp585",NA,1.16139896696895,-1.92499140525349
"41",585,"Connecticut","gfdl-esm4","ssp585",NA,3.73003595412191,3.2856368707151
"42",586,"Connecticut","gfdl-esm4","ssp585",NA,16.4289686140754,3.7185109663983
"43",587,"Connecticut","gfdl-esm4","ssp585",NA,8.68647340510655,8.5505811418806
"44",588,"Connecticut","gfdl-esm4","ssp585",NA,5.90632146790716,2.88951870665261
"45",589,"Connecticut","gfdl-esm4","ssp585",NA,6.62851628220203,5.68859751175863
"46",590,"Connecticut","gfdl-esm4","ssp585",NA,8.04901295455145,10.2816375109614
"47",591,"Connecticut","gfdl-esm4","ssp585",NA,5.36549615101148,11.0177831533004
"48",592,"Connecticut","gfdl-esm4","ssp585",0,10.2269862039975,12.1407573154994
"49",593,"Connecticut","gfdl-esm4","ssp585",0,1.439432974647,14.4115550449917
"50",594,"Connecticut","gfdl-esm4","ssp585",0,2.64263512570843,12.5017148699079
"51",595,"Connecticut","gfdl-esm4","ssp585",0,2.39551713146804,18.2386337280274
"52",596,"Connecticut","gfdl-esm4","ssp585",0,15.5876597537177,14.7058066231864
"53",597,"Connecticut","gfdl-esm4","ssp585",0,1.74481604364181,19.8383117675781
"54",598,"Connecticut","gfdl-esm4","ssp585",0,1.30680195963058,18.3688358851842
"55",599,"Connecticut","gfdl-esm4","ssp585",0,9.7886336544564,19.6021852765764
"56",600,"Connecticut","gfdl-esm4","ssp585",0,6.02119799419337,21.5458738054548
"57",601,"Connecticut","gfdl-esm4","ssp585",0.00142045454545455,7.20453691610601,23.1612073625837
"58",602,"Connecticut","gfdl-esm4","ssp585",0.00284090909090909,1.38087257953105,20.8095522199358
"59",603,"Connecticut","gfdl-esm4","ssp585",0.00284090909090909,1.89128023861745,22.2139886038644
"60",604,"Connecticut","gfdl-esm4","ssp585",0.00284090909090909,5.2826133490141,23.6565458025252
"61",605,"Connecticut","gfdl-esm4","ssp585",0.00284090909090909,0.361568215755272,25.99635685512
"62",606,"Connecticut","gfdl-esm4","ssp585",0.00151515151515152,4.25181693678626,23.742565046038
"63",607,"Connecticut","gfdl-esm4","ssp585",0.00151515151515152,8.72118047097631,20.3982864379883
"64",608,"Connecticut","gfdl-esm4","ssp585",0.00151515151515152,11.2475805619657,21.0397866385324
"65",609,"Connecticut","gfdl-esm4","ssp585",0.00151515151515152,7.36379166074975,20.9851874215262
"66",610,"Connecticut","gfdl-esm4","ssp585",0.00287621982537237,0.752684032535659,20.3788205827986
"67",611,"Connecticut","gfdl-esm4","ssp585",0.00423728813559322,0.348894171267083,23.2828155517578
"68",612,"Connecticut","gfdl-esm4","ssp585",0.00423728813559322,5.87782756026302,18.5492340087891
"69",613,"Connecticut","gfdl-esm4","ssp585",0.00423728813559322,7.67823779491924,20.2742139543806
"70",614,"Connecticut","gfdl-esm4","ssp585",0.0057951146560319,0.618844071232161,16.7269062587193
"71",615,"Connecticut","gfdl-esm4","ssp585",0.00735294117647059,8.02823225094471,11.0385201590402
"72",616,"Connecticut","gfdl-esm4","ssp585",0.00735294117647059,0.0331005824331701,11.2363438197545
"73",617,"Connecticut","gfdl-esm4","ssp585",0.00735294117647059,6.544279287326,11.7797289167132
"74",618,"Connecticut","gfdl-esm4","ssp585",0.00735294117647059,2.14609747760862,9.67840946742468
"75",619,"Connecticut","gfdl-esm4","ssp585",0.00735294117647059,0.334501187405424,6.94632437569757
"76",620,"Connecticut","gfdl-esm4","ssp585",NA,8.47464795375827,8.30454624720985
"77",621,"Connecticut","gfdl-esm4","ssp585",NA,11.512340209328,3.69246141083389
"78",622,"Connecticut","gfdl-esm4","ssp585",NA,5.22499034376203,8.03218682736769
"79",623,"Connecticut","gfdl-esm4","ssp585",NA,16.2496500299312,4.6635867994659
"80",624,"Connecticut","gfdl-esm4","ssp585",NA,5.62251712728947,0.0812559789541045
"81",625,"Connecticut","gfdl-esm4","ssp585",NA,2.48958130370961,2.60536611128829
"82",626,"Connecticut","gfdl-esm4","ssp585",NA,7.93747924118569,-3.08403532067121
"83",627,"Connecticut","gfdl-esm4","ssp585",NA,0.853571195471069,-2.35992294622925
"84",628,"Connecticut","gfdl-esm4","ssp585",NA,4.96217148712295,-3.32513072733974
"85",629,"Connecticut","gfdl-esm4","ssp585",NA,2.0761509407971,-6.64866874850524
"86",630,"Connecticut","gfdl-esm4","ssp585",NA,4.48257212446318,-7.38743796835138
"87",631,"Connecticut","gfdl-esm4","ssp585",NA,3.91320338518682,-5.13688865194513
"88",632,"Connecticut","gfdl-esm4","ssp585",NA,1.40529126076254,-5.1396545410156
"89",633,"Connecticut","gfdl-esm4","ssp585",NA,0.243186599923041,-6.8816091109295
"90",634,"Connecticut","gfdl-esm4","ssp585",NA,3.80246557412035,-7.15268181002868
"91",635,"Connecticut","gfdl-esm4","ssp585",NA,8.78990068176419,0.131273355289403
"92",636,"Connecticut","gfdl-esm4","ssp585",NA,0.443825500688221,-0.859866893534734
"93",637,"Connecticut","gfdl-esm4","ssp585",NA,5.38631467842402,0.112658878248587
"94",638,"Connecticut","gfdl-esm4","ssp585",NA,2.28473918794741,0.981364783462236
"95",639,"Connecticut","gfdl-esm4","ssp585",NA,1.47600098399027,-0.621944692183493
"96",640,"Connecticut","gfdl-esm4","ssp585",NA,2.14384135419541,5.14634685905615
"97",641,"Connecticut","gfdl-esm4","ssp585",NA,5.27436828014455,5.38476076709983
"98",642,"Connecticut","gfdl-esm4","ssp585",NA,0.0167622821116273,6.10642581861849
"99",643,"Connecticut","gfdl-esm4","ssp585",NA,4.69244453457317,9.38395672233739
"100",644,"Connecticut","gfdl-esm4","ssp585",NA,4.58031982937854,18.2018377810108
"101",645,"Connecticut","gfdl-esm4","ssp585",NA,2.4205257701545,13.7263701769771
"102",646,"Connecticut","gfdl-esm4","ssp585",NA,3.79482299777381,13.0893023432518
"103",647,"Connecticut","gfdl-esm4","ssp585",NA,4.32436290239839,13.6971056879783
"104",648,"Connecticut","gfdl-esm4","ssp585",NA,2.50021384584086,15.3981645233777
"105",649,"Connecticut","gfdl-esm4","ssp585",0,0.296238724383459,14.8632718767439
"106",650,"Connecticut","gfdl-esm4","ssp585",0,7.76559869056136,19.1877325875419
"107",651,"Connecticut","gfdl-esm4","ssp585",0,3.28802041089408,19.7004758562361
"108",652,"Connecticut","gfdl-esm4","ssp585",0,1.38587398292397,19.46387525286
"109",653,"Connecticut","gfdl-esm4","ssp585",0.0119047619047619,1.6909626233038,24.1521752493722
"110",654,"Connecticut","gfdl-esm4","ssp585",0.0238095238095238,2.95505395650772,24.0487359183175
"111",655,"Connecticut","gfdl-esm4","ssp585",0.0238095238095238,7.76308141981384,23.3827715192523
"112",656,"Connecticut","gfdl-esm4","ssp585",0.0238095238095238,1.59996593976237,20.5290684291295
"113",657,"Connecticut","gfdl-esm4","ssp585",0.0238095238095238,7.65853020852124,22.0309648786273
"114",658,"Connecticut","gfdl-esm4","ssp585",0.0260290556900726,3.43142868441646,21.1277241298131
"115",659,"Connecticut","gfdl-esm4","ssp585",0.0282485875706215,1.07919319956896,19.910551234654
"116",660,"Connecticut","gfdl-esm4","ssp585",0.0282485875706215,1.08240439648008,22.8859137398856
"117",661,"Connecticut","gfdl-esm4","ssp585",0.0282485875706215,0.977135935045226,21.4753073556083
"118",662,"Connecticut","gfdl-esm4","ssp585",0.0309028172752436,2.78352408258798,19.9577684674944
"119",663,"Connecticut","gfdl-esm4","ssp585",0.0335570469798658,0.35950466720221,22.6462166922433
"120",664,"Connecticut","gfdl-esm4","ssp585",0.0335570469798658,1.79382284737325,16.9592572893416
