"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",906,"New Jersey","gfdl-esm4","ssp585",0.125,6.90448863450521,14.4585699172247
"2",907,"New Jersey","gfdl-esm4","ssp585",0.125,2.96441409731674,18.8244456457714
"3",908,"New Jersey","gfdl-esm4","ssp585",0.125,2.07132880771366,16.6325540209574
"4",909,"New Jersey","gfdl-esm4","ssp585",0.125,2.42431042918594,22.9512897794209
"5",910,"New Jersey","gfdl-esm4","ssp585",0.415740740740741,4.58254805796189,19.7172083294581
"6",911,"New Jersey","gfdl-esm4","ssp585",0.561111111111111,5.35779393955766,18.0795498318143
"7",912,"New Jersey","gfdl-esm4","ssp585",0.561111111111111,2.25187218607711,25.4715607173859
"8",913,"New Jersey","gfdl-esm4","ssp585",0.561111111111111,8.08074789903393,25.3505013602121
"9",914,"New Jersey","gfdl-esm4","ssp585",1.0037037037037,2.3875472925803,25.5196297781808
"10",915,"New Jersey","gfdl-esm4","ssp585",1.35777777777778,0.526868442830164,23.7089637393043
"11",916,"New Jersey","gfdl-esm4","ssp585",1.35777777777778,4.14183012450979,24.1361701117622
"12",917,"New Jersey","gfdl-esm4","ssp585",1.35777777777778,3.07393950570258,22.6374644445995
"13",918,"New Jersey","gfdl-esm4","ssp585",1.35777777777778,3.73428864815131,24.8061147538443
"14",919,"New Jersey","gfdl-esm4","ssp585",1.07881593714927,3.90151240436742,25.318497140067
"15",920,"New Jersey","gfdl-esm4","ssp585",0.730113636363636,0.932051028524127,25.2550433446491
"16",921,"New Jersey","gfdl-esm4","ssp585",0.730113636363636,3.12180421564595,21.9410266694569
"17",922,"New Jersey","gfdl-esm4","ssp585",0.730113636363636,0.950724700305727,26.6262121775794
"18",923,"New Jersey","gfdl-esm4","ssp585",0.540537587412587,6.37731457697685,21.3433563716828
"19",924,"New Jersey","gfdl-esm4","ssp585",0.350961538461538,3.18443869681297,21.6067826528398
"20",925,"New Jersey","gfdl-esm4","ssp585",0.350961538461538,1.14186667061793,20.3889423673115
"21",926,"New Jersey","gfdl-esm4","ssp585",0.350961538461538,1.3229058365271,18.6249493311322
