"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",893,"North Carolina","gfdl-esm4","ssp585",0,0.97802664097516,5.46027180647652
"2",894,"North Carolina","gfdl-esm4","ssp585",0,5.47909804336698,5.46766312970503
"3",895,"North Carolina","gfdl-esm4","ssp585",0,6.06684074823648,3.5961225579099
"4",896,"North Carolina","gfdl-esm4","ssp585",0,13.1558249478802,8.48785260197831
"5",897,"North Carolina","gfdl-esm4","ssp585",0,7.00840663673315,10.2887960140111
"6",898,"North Carolina","gfdl-esm4","ssp585",0,3.90204960110298,7.45614654797468
"7",899,"North Carolina","gfdl-esm4","ssp585",0,1.91491952311725,14.0186521043965
"8",900,"North Carolina","gfdl-esm4","ssp585",0,5.86911636206775,11.1273766611137
"9",901,"North Carolina","gfdl-esm4","ssp585",0.0102040816326531,5.95389124525866,11.0423875995711
"10",902,"North Carolina","gfdl-esm4","ssp585",0.0142857142857143,8.84324131142375,16.4988500429469
"11",903,"North Carolina","gfdl-esm4","ssp585",0.0142857142857143,5.3080102490395,16.0941079703366
"12",904,"North Carolina","gfdl-esm4","ssp585",0.0142857142857143,4.38419789666916,14.982198729101
"13",905,"North Carolina","gfdl-esm4","ssp585",0.0142857142857143,12.0814274412792,20.2777051396731
"14",906,"North Carolina","gfdl-esm4","ssp585",0.407834151663939,5.15405419223918,19.9859862426416
"15",907,"North Carolina","gfdl-esm4","ssp585",0.407834151663939,1.54090921894734,23.3418996773514
"16",908,"North Carolina","gfdl-esm4","ssp585",0.407834151663939,2.31415645331338,20.8228390135351
"17",909,"North Carolina","gfdl-esm4","ssp585",0.407834151663939,0.477723892294032,25.7734295158493
"18",910,"North Carolina","gfdl-esm4","ssp585",12.1455180662218,2.79089701566476,24.4781172381062
"19",911,"North Carolina","gfdl-esm4","ssp585",19.4815705128205,0.260506320798314,21.6755589589352
"20",912,"North Carolina","gfdl-esm4","ssp585",19.4815705128205,1.97094109554055,24.6549884016107
"21",913,"North Carolina","gfdl-esm4","ssp585",19.4815705128205,2.22037030587427,26.6485842408253
"22",914,"North Carolina","gfdl-esm4","ssp585",23.5365581854043,8.94573801292494,26.414028528892
"23",915,"North Carolina","gfdl-esm4","ssp585",30.0245384615385,2.96780033418718,25.3047943200718
"24",916,"North Carolina","gfdl-esm4","ssp585",30.0245384615385,3.82291649802631,27.5276106805027
"25",917,"North Carolina","gfdl-esm4","ssp585",30.0245384615385,14.2017613105436,25.9128683480228
"26",918,"North Carolina","gfdl-esm4","ssp585",30.0245384615385,4.37553933511443,26.3666702911634
"27",919,"North Carolina","gfdl-esm4","ssp585",46.808043040293,8.52249579326758,26.4037222213104
"28",920,"North Carolina","gfdl-esm4","ssp585",63.5915476190476,1.58115111243962,24.937192225523
"29",921,"North Carolina","gfdl-esm4","ssp585",63.5915476190476,0.388803651009514,23.185323729101
"30",922,"North Carolina","gfdl-esm4","ssp585",63.5915476190476,1.76974335404912,26.3769632633327
"31",923,"North Carolina","gfdl-esm4","ssp585",57.8662966419545,4.72893346974283,24.7729540571111
"32",924,"North Carolina","gfdl-esm4","ssp585",53.0952541610436,2.37572329700191,22.9297877378491
"33",925,"North Carolina","gfdl-esm4","ssp585",53.0952541610436,0.946337649238099,22.6623569862516
"34",926,"North Carolina","gfdl-esm4","ssp585",53.0952541610436,1.5359249736313,21.6800385461802
"35",927,"North Carolina","gfdl-esm4","ssp585",45.5024881916329,4.55550133342245,19.3731367693562
"36",928,"North Carolina","gfdl-esm4","ssp585",37.9097222222222,1.54273612094256,15.0033515994289
"37",929,"North Carolina","gfdl-esm4","ssp585",37.9097222222222,10.9783083585653,17.2814316180574
"38",930,"North Carolina","gfdl-esm4","ssp585",37.9097222222222,0.890372182683899,16.5277117218958
