"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",906,"New Jersey","ipsl-cm6a-lr","ssp585",0.125,4.22603574656283,16.4168020097036
"2",907,"New Jersey","ipsl-cm6a-lr","ssp585",0.125,2.50161850110869,14.6524199955047
"3",908,"New Jersey","ipsl-cm6a-lr","ssp585",0.125,4.91603600541046,20.6993085588728
"4",909,"New Jersey","ipsl-cm6a-lr","ssp585",0.125,4.34277468708128,14.8928864009797
"5",910,"New Jersey","ipsl-cm6a-lr","ssp585",0.415740740740741,0.924133942109101,22.3692231677828
"6",911,"New Jersey","ipsl-cm6a-lr","ssp585",0.561111111111111,0.281421517450196,21.1050799657428
"7",912,"New Jersey","ipsl-cm6a-lr","ssp585",0.561111111111111,2.55584052429185,22.1560104127914
"8",913,"New Jersey","ipsl-cm6a-lr","ssp585",0.561111111111111,5.98310263043718,25.4514854794457
"9",914,"New Jersey","ipsl-cm6a-lr","ssp585",1.0037037037037,10.2296831142407,22.4813776894221
"10",915,"New Jersey","ipsl-cm6a-lr","ssp585",1.35777777777778,2.22229939245153,26.6203290666853
"11",916,"New Jersey","ipsl-cm6a-lr","ssp585",1.35777777777778,0.112935737083067,24.4441389780196
"12",917,"New Jersey","ipsl-cm6a-lr","ssp585",1.35777777777778,7.89313584796867,26.0972471206908
"13",918,"New Jersey","ipsl-cm6a-lr","ssp585",1.35777777777778,1.1825541001599,28.7338244241382
"14",919,"New Jersey","ipsl-cm6a-lr","ssp585",1.07881593714927,2.27103935160683,27.5453342982701
"15",920,"New Jersey","ipsl-cm6a-lr","ssp585",0.730113636363636,4.14666465564681,24.6460316491506
"16",921,"New Jersey","ipsl-cm6a-lr","ssp585",0.730113636363636,2.15806110380592,23.6330447242374
"17",922,"New Jersey","ipsl-cm6a-lr","ssp585",0.730113636363636,0.807151823807674,20.4083762517051
"18",923,"New Jersey","ipsl-cm6a-lr","ssp585",0.540537587412587,0.505150024920502,20.6605924091642
"19",924,"New Jersey","ipsl-cm6a-lr","ssp585",0.350961538461538,6.0750040482422,21.2692272367932
"20",925,"New Jersey","ipsl-cm6a-lr","ssp585",0.350961538461538,0.0638517093778188,21.4637850322421
"21",926,"New Jersey","ipsl-cm6a-lr","ssp585",0.350961538461538,6.5983686765581,17.8049265059214
"22",927,"New Jersey","ipsl-cm6a-lr","ssp585",0.418269230769231,0.985944693301073,22.9069540356833
"23",928,"New Jersey","ipsl-cm6a-lr","ssp585",0.6875,6.00036723538194,19.1335150824653
"24",929,"New Jersey","ipsl-cm6a-lr","ssp585",0.6875,2.40484353063428,20.2202223036024
"25",930,"New Jersey","ipsl-cm6a-lr","ssp585",0.6875,0.95272671553955,18.2171405126178
"26",931,"New Jersey","ipsl-cm6a-lr","ssp585",0.6875,9.70341338470461,15.5981466626364
"27",932,"New Jersey","ipsl-cm6a-lr","ssp585",0.6875,4.74110431886012,15.2479870024182
"28",933,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.956965696810664,7.75308021561208
"29",934,"New Jersey","ipsl-cm6a-lr","ssp585",NA,2.63949174839141,6.19595667995037
"30",935,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.112323284376758,7.79712339918561
"31",936,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.45861837858466,2.55427342132507
"32",937,"New Jersey","ipsl-cm6a-lr","ssp585",NA,2.18785212706754,5.52038551472731
"33",938,"New Jersey","ipsl-cm6a-lr","ssp585",NA,4.42299259816056,5.1402601411871
"34",939,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.7882707280348,0.0783232947561041
"35",940,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.158117082496828,-0.890850539434502
"36",941,"New Jersey","ipsl-cm6a-lr","ssp585",NA,3.42733152001472,-5.05334918730992
"37",942,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.65415089174511,-5.59873274335207
"38",943,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.31558641707828,-5.28658157885689
"39",944,"New Jersey","ipsl-cm6a-lr","ssp585",NA,3.37889919551711,-4.25810728843165
"40",945,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.29450450859051,-7.60600382486976
"41",946,"New Jersey","ipsl-cm6a-lr","ssp585",NA,9.42432168360582,-3.97450775083299
"42",947,"New Jersey","ipsl-cm6a-lr","ssp585",NA,7.40340118761383,-3.39625391989759
"43",948,"New Jersey","ipsl-cm6a-lr","ssp585",NA,7.36371916211724,-2.22136033336566
"44",949,"New Jersey","ipsl-cm6a-lr","ssp585",NA,3.25660594382995,0.390930706521762
"45",950,"New Jersey","ipsl-cm6a-lr","ssp585",NA,2.06548155449963,6.67824119425711
"46",951,"New Jersey","ipsl-cm6a-lr","ssp585",NA,8.16837777162184,4.3664482164087
"47",952,"New Jersey","ipsl-cm6a-lr","ssp585",NA,5.56653633164907,4.5100066317288
"48",953,"New Jersey","ipsl-cm6a-lr","ssp585",NA,9.07992806669032,6.62614743566416
"49",954,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.10323476058833,4.56207979253609
"50",955,"New Jersey","ipsl-cm6a-lr","ssp585",NA,6.80204865487252,6.84367894395787
"51",956,"New Jersey","ipsl-cm6a-lr","ssp585",NA,6.14550927708049,12.3544231533264
"52",957,"New Jersey","ipsl-cm6a-lr","ssp585",NA,3.63066179846592,12.2646068881017
"53",958,"New Jersey","ipsl-cm6a-lr","ssp585",0,1.52668060982251,14.1206085689484
"54",959,"New Jersey","ipsl-cm6a-lr","ssp585",0,6.97080068660269,14.463267202226
"55",960,"New Jersey","ipsl-cm6a-lr","ssp585",0,6.57495162683647,13.0843217153398
"56",961,"New Jersey","ipsl-cm6a-lr","ssp585",0,0.565665260676594,20.174716234964
"57",962,"New Jersey","ipsl-cm6a-lr","ssp585",0.242690058479532,1.57490371504017,19.2857522631449
"58",963,"New Jersey","ipsl-cm6a-lr","ssp585",0.388304093567251,2.49772017819591,21.7799868629092
"59",964,"New Jersey","ipsl-cm6a-lr","ssp585",0.388304093567251,7.14192150065044,21.4403683617002
"60",965,"New Jersey","ipsl-cm6a-lr","ssp585",0.388304093567251,2.36644652302078,19.9159431578621
"61",966,"New Jersey","ipsl-cm6a-lr","ssp585",0.602964158584868,0.571248497518744,22.9943883502294
"62",967,"New Jersey","ipsl-cm6a-lr","ssp585",0.817624223602484,4.97405634476828,23.8855408683656
"63",968,"New Jersey","ipsl-cm6a-lr","ssp585",0.817624223602484,2.2255270583368,26.407849217975
"64",969,"New Jersey","ipsl-cm6a-lr","ssp585",0.817624223602484,1.65255998004536,25.0941803462922
"65",970,"New Jersey","ipsl-cm6a-lr","ssp585",0.817624223602484,3.98360473253498,25.2336078946553
"66",971,"New Jersey","ipsl-cm6a-lr","ssp585",2.03243314354727,1.45414928535632,22.5883529420883
"67",972,"New Jersey","ipsl-cm6a-lr","ssp585",3.24724206349206,1.27420260650979,23.2423887222532
"68",973,"New Jersey","ipsl-cm6a-lr","ssp585",3.24724206349206,0.263863423190612,24.5496532621838
"69",974,"New Jersey","ipsl-cm6a-lr","ssp585",3.24724206349206,4.17232484609745,23.3306906079489
"70",975,"New Jersey","ipsl-cm6a-lr","ssp585",2.00060515873016,4.36056983484637,23.1461542038691
"71",976,"New Jersey","ipsl-cm6a-lr","ssp585",0.753968253968254,2.37689825423461,23.0187820676773
"72",977,"New Jersey","ipsl-cm6a-lr","ssp585",0.753968253968254,6.04857013219901,19.4269556439112
"73",978,"New Jersey","ipsl-cm6a-lr","ssp585",0.753968253968254,0.67002819580791,22.0489276219928
"74",979,"New Jersey","ipsl-cm6a-lr","ssp585",0.753968253968254,1.24835496140544,22.4237876286583
"75",980,"New Jersey","ipsl-cm6a-lr","ssp585",0.693333333333333,1.35946785111238,19.4171963161893
"76",981,"New Jersey","ipsl-cm6a-lr","ssp585",0.693333333333333,1.18596193876458,17.4969402010479
"77",982,"New Jersey","ipsl-cm6a-lr","ssp585",0.693333333333333,0.051385979583886,15.9252306741382
"78",983,"New Jersey","ipsl-cm6a-lr","ssp585",0.693333333333333,5.80559596195859,13.1976359049479
"79",984,"New Jersey","ipsl-cm6a-lr","ssp585",0.693333333333333,0.133993370400276,11.5674677773128
"80",985,"New Jersey","ipsl-cm6a-lr","ssp585",NA,9.448013711169,13.718282025892
"81",986,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.92001708149613,7.6730094830689
"82",987,"New Jersey","ipsl-cm6a-lr","ssp585",NA,3.26309755989726,10.8834801209886
"83",988,"New Jersey","ipsl-cm6a-lr","ssp585",NA,1.41703465898154,4.64647188996185
"84",989,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.537603668369077,7.05619963020027
"85",990,"New Jersey","ipsl-cm6a-lr","ssp585",NA,0.401547880841836,5.33112661547298
"86",991,"New Jersey","ipsl-cm6a-lr","ssp585",NA,2.64157929954794,3.32070236679932
