"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",893,"North Carolina","mpi-esm1-2-hr","ssp370",0,3.16319563406512,5.3647590530353
"2",894,"North Carolina","mpi-esm1-2-hr","ssp370",0,0.854751039921265,7.46168476179537
"3",895,"North Carolina","mpi-esm1-2-hr","ssp370",0,11.6617007346653,8.32473084692864
"4",896,"North Carolina","mpi-esm1-2-hr","ssp370",0,0.762562274944723,10.5549577643558
"5",897,"North Carolina","mpi-esm1-2-hr","ssp370",0,5.03918669605848,13.6084849125197
"6",898,"North Carolina","mpi-esm1-2-hr","ssp370",0,4.6671014513792,10.019134487291
"7",899,"North Carolina","mpi-esm1-2-hr","ssp370",0,4.99166913975058,10.6525328905977
"8",900,"North Carolina","mpi-esm1-2-hr","ssp370",0,0.40409933515074,9.27942857074472
"9",901,"North Carolina","mpi-esm1-2-hr","ssp370",0.0102040816326531,6.26810494605332,14.0017122840347
"10",902,"North Carolina","mpi-esm1-2-hr","ssp370",0.0142857142857143,1.3099350535214,10.3451309503294
"11",903,"North Carolina","mpi-esm1-2-hr","ssp370",0.0142857142857143,4.32313430743811,12.8068958442752
"12",904,"North Carolina","mpi-esm1-2-hr","ssp370",0.0142857142857143,5.46976120177617,11.7899611529182
"13",905,"North Carolina","mpi-esm1-2-hr","ssp370",0.0142857142857143,0.0585555568464128,18.6883699304917
"14",906,"North Carolina","mpi-esm1-2-hr","ssp370",0.407834151663939,4.24906549781577,19.1972730278635
"15",907,"North Carolina","mpi-esm1-2-hr","ssp370",0.407834151663939,0.410021586803315,21.0726860837109
"16",908,"North Carolina","mpi-esm1-2-hr","ssp370",0.407834151663939,3.82442344422746,21.1574092063583
"17",909,"North Carolina","mpi-esm1-2-hr","ssp370",0.407834151663939,4.64356738000085,17.3298264276414
"18",910,"North Carolina","mpi-esm1-2-hr","ssp370",12.1455180662218,3.55383526728153,20.196058650511
"19",911,"North Carolina","mpi-esm1-2-hr","ssp370",19.4815705128205,5.89566972524788,24.8714992491137
"20",912,"North Carolina","mpi-esm1-2-hr","ssp370",19.4815705128205,4.73690969025911,25.6048798205806
"21",913,"North Carolina","mpi-esm1-2-hr","ssp370",19.4815705128205,1.42591346388251,21.1798434730338
"22",914,"North Carolina","mpi-esm1-2-hr","ssp370",23.5365581854043,5.00316343305949,24.2198295358183
"23",915,"North Carolina","mpi-esm1-2-hr","ssp370",30.0245384615385,1.40433624123752,26.3039210215336
"24",916,"North Carolina","mpi-esm1-2-hr","ssp370",30.0245384615385,5.74606649765692,26.9126733603598
"25",917,"North Carolina","mpi-esm1-2-hr","ssp370",30.0245384615385,6.48634738969397,28.1325840541295
"26",918,"North Carolina","mpi-esm1-2-hr","ssp370",30.0245384615385,4.58942490053951,27.2817118326823
"27",919,"North Carolina","mpi-esm1-2-hr","ssp370",46.808043040293,4.73387315772115,24.328874056947
"28",920,"North Carolina","mpi-esm1-2-hr","ssp370",63.5915476190476,2.89263760184264,23.7998823577283
"29",921,"North Carolina","mpi-esm1-2-hr","ssp370",63.5915476190476,10.7423345744708,24.8318723876269
"30",922,"North Carolina","mpi-esm1-2-hr","ssp370",63.5915476190476,9.36977084382291,25.9722685485327
"31",923,"North Carolina","mpi-esm1-2-hr","ssp370",57.8662966419545,4.61331785620988,22.7270611760329
"32",924,"North Carolina","mpi-esm1-2-hr","ssp370",53.0952541610436,7.83975249230766,25.2877045618052
"33",925,"North Carolina","mpi-esm1-2-hr","ssp370",53.0952541610436,6.27895592829382,20.1807155748042
"34",926,"North Carolina","mpi-esm1-2-hr","ssp370",53.0952541610436,1.62742941911118,22.9778487347088
"35",927,"North Carolina","mpi-esm1-2-hr","ssp370",45.5024881916329,9.72266249348137,20.4699837478937
"36",928,"North Carolina","mpi-esm1-2-hr","ssp370",37.9097222222222,5.29708337387145,19.0458887436811
"37",929,"North Carolina","mpi-esm1-2-hr","ssp370",37.9097222222222,0.000707879732216184,14.9108490588618
"38",930,"North Carolina","mpi-esm1-2-hr","ssp370",37.9097222222222,0.0823825299295943,20.1687103698902
"39",931,"North Carolina","mpi-esm1-2-hr","ssp370",37.9097222222222,2.21435326390495,16.4927313967579
"40",932,"North Carolina","mpi-esm1-2-hr","ssp370",32.9067942942943,4.63201319732793,10.9908776034828
"41",933,"North Carolina","mpi-esm1-2-hr","ssp370",25.4024024024024,8.6636528145345,7.87111653987769
"42",934,"North Carolina","mpi-esm1-2-hr","ssp370",25.4024024024024,5.9936048800891,10.4905184876685
"43",935,"North Carolina","mpi-esm1-2-hr","ssp370",25.4024024024024,0.817950858416363,8.47633020737594
"44",936,"North Carolina","mpi-esm1-2-hr","ssp370",25.4024024024024,3.82910397591545,4.10719035172665
"45",937,"North Carolina","mpi-esm1-2-hr","ssp370",NA,3.20682374067972,10.9862432757337
"46",938,"North Carolina","mpi-esm1-2-hr","ssp370",NA,2.91746388931275,7.54302419160018
"47",939,"North Carolina","mpi-esm1-2-hr","ssp370",NA,0.255948387410334,3.59249916126659
"48",940,"North Carolina","mpi-esm1-2-hr","ssp370",NA,1.80235147587782,8.31558616708181
"49",941,"North Carolina","mpi-esm1-2-hr","ssp370",NA,4.67639241235982,1.86654347311
