"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",906,"New Jersey","mri-esm2-0","ssp370",0.125,7.96904838727122,17.0378269740514
"2",907,"New Jersey","mri-esm2-0","ssp370",0.125,3.22127998437541,18.3715686616444
"3",908,"New Jersey","mri-esm2-0","ssp370",0.125,0.152776076928214,16.2236664302766
"4",909,"New Jersey","mri-esm2-0","ssp370",0.125,10.4420649088882,21.2043095664373
"5",910,"New Jersey","mri-esm2-0","ssp370",0.415740740740741,8.06378527039279,19.1243724035839
"6",911,"New Jersey","mri-esm2-0","ssp370",0.561111111111111,3.35304057215191,19.7755976601253
"7",912,"New Jersey","mri-esm2-0","ssp370",0.561111111111111,1.26607746850433,22.7222151498946
"8",913,"New Jersey","mri-esm2-0","ssp370",0.561111111111111,3.68949073204671,26.2485087076823
"9",914,"New Jersey","mri-esm2-0","ssp370",1.0037037037037,2.4308510847082,24.9028477260045
"10",915,"New Jersey","mri-esm2-0","ssp370",1.35777777777778,8.46641412265723,19.1000891307044
"11",916,"New Jersey","mri-esm2-0","ssp370",1.35777777777778,2.50888146245935,26.466462828621
"12",917,"New Jersey","mri-esm2-0","ssp370",1.35777777777778,4.27737210453155,27.002104937841
"13",918,"New Jersey","mri-esm2-0","ssp370",1.35777777777778,4.71704150867091,27.1889805385045
"14",919,"New Jersey","mri-esm2-0","ssp370",1.07881593714927,6.88281795945451,24.3835843525236
"15",920,"New Jersey","mri-esm2-0","ssp370",0.730113636363636,6.79970487653918,25.1524965316531
"16",921,"New Jersey","mri-esm2-0","ssp370",0.730113636363636,0.140049988320763,24.3174440414187
"17",922,"New Jersey","mri-esm2-0","ssp370",0.730113636363636,11.5711568453012,21.8552354600695
"18",923,"New Jersey","mri-esm2-0","ssp370",0.540537587412587,2.44507848677001,23.4348253038195
"19",924,"New Jersey","mri-esm2-0","ssp370",0.350961538461538,1.79837047591198,20.459366765098
"20",925,"New Jersey","mri-esm2-0","ssp370",0.350961538461538,4.01070084106842,18.6550866505457
"21",926,"New Jersey","mri-esm2-0","ssp370",0.350961538461538,20.1656295527105,19.7754392593626
"22",927,"New Jersey","mri-esm2-0","ssp370",0.418269230769231,0.0998248620557466,16.2053888230097
"23",928,"New Jersey","mri-esm2-0","ssp370",0.6875,1.01454672814205,13.2398572164869
"24",929,"New Jersey","mri-esm2-0","ssp370",0.6875,0.493248234124622,13.3259250217014
"25",930,"New Jersey","mri-esm2-0","ssp370",0.6875,3.75625292820457,12.5288102407304
"26",931,"New Jersey","mri-esm2-0","ssp370",0.6875,3.16167155812894,13.9464185926649
"27",932,"New Jersey","mri-esm2-0","ssp370",0.6875,0.49258472089215,10.6331847175719
"28",933,"New Jersey","mri-esm2-0","ssp370",NA,0.435792696291218,13.3196202880354
"29",934,"New Jersey","mri-esm2-0","ssp370",NA,1.42655794817238,8.05750386176892
"30",935,"New Jersey","mri-esm2-0","ssp370",NA,3.87810110105025,8.73573593234426
"31",936,"New Jersey","mri-esm2-0","ssp370",NA,3.25998194856997,3.16037400524071
"32",937,"New Jersey","mri-esm2-0","ssp370",NA,0.0736972240204901,-1.79331591746326
"33",938,"New Jersey","mri-esm2-0","ssp370",NA,5.41595748157685,9.36079077552814
"34",939,"New Jersey","mri-esm2-0","ssp370",NA,5.736270530427,3.91116853638961
"35",940,"New Jersey","mri-esm2-0","ssp370",NA,7.15845676656178,2.05711616847828
"36",941,"New Jersey","mri-esm2-0","ssp370",NA,2.42073704507195,-2.02501680678213
"37",942,"New Jersey","mri-esm2-0","ssp370",NA,7.11333586539537,1.76971627624387
"38",943,"New Jersey","mri-esm2-0","ssp370",NA,17.4728464814964,3.93767529600158
"39",944,"New Jersey","mri-esm2-0","ssp370",NA,2.6112259372849,1.93410082199067
"40",945,"New Jersey","mri-esm2-0","ssp370",NA,3.62782971589345,3.50970436238356
"41",946,"New Jersey","mri-esm2-0","ssp370",NA,3.78349226237288,3.36342482793901
"42",947,"New Jersey","mri-esm2-0","ssp370",NA,3.02545445161933,9.0231818852711
"43",948,"New Jersey","mri-esm2-0","ssp370",NA,0.0885785212693302,6.42201289143377
"44",949,"New Jersey","mri-esm2-0","ssp370",NA,0.63106216738284,8.77798344392957
"45",950,"New Jersey","mri-esm2-0","ssp370",NA,10.0392405626153,3.02360932091504
"46",951,"New Jersey","mri-esm2-0","ssp370",NA,6.87990977939933,5.78795334083449
"47",952,"New Jersey","mri-esm2-0","ssp370",NA,0.074367280856067,0.984191414337496
"48",953,"New Jersey","mri-esm2-0","ssp370",NA,6.62533931358412,9.32439429873515
"49",954,"New Jersey","mri-esm2-0","ssp370",NA,1.33129314349361,7.54881039574035
"50",955,"New Jersey","mri-esm2-0","ssp370",NA,4.82168838904913,12.6414591092254
