"","Week_index","state","gcm","ssp","albopictus_trapnight","pr","tas"
"1",545,"Connecticut","ukesm1-0-ll","ssp585",0,0.867837370255333,18.0854736328125
"2",546,"Connecticut","ukesm1-0-ll","ssp585",0,0,18.1199236188616
"3",547,"Connecticut","ukesm1-0-ll","ssp585",0,0.156114782216069,25.4449717930385
"4",548,"Connecticut","ukesm1-0-ll","ssp585",0,0.713438796395037,22.4810751778739
"5",549,"Connecticut","ukesm1-0-ll","ssp585",0.00265957446808511,1.98643217558388,23.3402954101563
"6",550,"Connecticut","ukesm1-0-ll","ssp585",0.00531914893617021,0.237135659387734,19.2734815325056
"7",551,"Connecticut","ukesm1-0-ll","ssp585",0.00531914893617021,1.67353360512996,25.0800851004464
"8",552,"Connecticut","ukesm1-0-ll","ssp585",0.00531914893617021,7.54863072547128,23.9169326782227
"9",553,"Connecticut","ukesm1-0-ll","ssp585",0.00347126277977342,4.56282152138426,22.384160069057
"10",554,"Connecticut","ukesm1-0-ll","ssp585",0.00162337662337662,1.33639704212588,23.5104919433594
"11",555,"Connecticut","ukesm1-0-ll","ssp585",0.00162337662337662,0.635948902345262,28.3302573067802
"12",556,"Connecticut","ukesm1-0-ll","ssp585",0.00162337662337662,1.74306080786794,27.1194505964007
"13",557,"Connecticut","ukesm1-0-ll","ssp585",0.00162337662337662,7.20905589934253,19.6304031372071
"14",558,"Connecticut","ukesm1-0-ll","ssp585",0.000811688311688312,6.98703180210681,17.8351412091937
"15",559,"Connecticut","ukesm1-0-ll","ssp585",0,5.62489679744301,19.8414899553572
"16",560,"Connecticut","ukesm1-0-ll","ssp585",0,1.19501390820785,17.6626591273717
"17",561,"Connecticut","ukesm1-0-ll","ssp585",0,1.10274896495477,13.4539733886719
"18",562,"Connecticut","ukesm1-0-ll","ssp585",0,3.77194770808274,12.9081708635603
"19",563,"Connecticut","ukesm1-0-ll","ssp585",0,3.34508692564799,17.8027173723493
"20",564,"Connecticut","ukesm1-0-ll","ssp585",0,12.5110195941358,12.6899941580636
"21",565,"Connecticut","ukesm1-0-ll","ssp585",0,0,11.4676834106446
"22",566,"Connecticut","ukesm1-0-ll","ssp585",0,14.5100618585794,14.1019771030971
"23",567,"Connecticut","ukesm1-0-ll","ssp585",NA,1.07595072607795,7.80120457240516
"24",568,"Connecticut","ukesm1-0-ll","ssp585",NA,3.21010422099344,8.4686090586137
"25",569,"Connecticut","ukesm1-0-ll","ssp585",NA,3.01491093934824,8.32049448441488
"26",570,"Connecticut","ukesm1-0-ll","ssp585",NA,15.8158850644157,4.04650735660477
"27",571,"Connecticut","ukesm1-0-ll","ssp585",NA,1.25703559344995,-0.765301949637254
"28",572,"Connecticut","ukesm1-0-ll","ssp585",NA,3.90656221757776,1.66950814383373
"29",573,"Connecticut","ukesm1-0-ll","ssp585",NA,5.44438945629625,5.1008591632454
